date,lane,value,unit,flag,rule,url,published,available_from,retrieved,quote
2022-03-31,USEC_WI_FEU,1974.15,USD/box,SIBLING,"EUR->WI 2,500 x USEC/EUR ratio 0.790 (mean of 4 common months)",https://container-news.com/freight-rate-analysis-for-indian-shippers-reflects-easing-signs-on-some-trades/,2022-04-29,2022-09-30,2026-09-16,"Additionally, eastbound rates are at the same levels as they were at the end of March — at around US$2,300/20-foot container and US$2,500/40-foot container for cargo shipped from Felixstowe/Rotterdam to West India."
2022-04-29,USEC_WI_FEU,1974.15,USD/box,SIBLING,"EUR->WI 2,500 x USEC/EUR ratio 0.790 (mean of 4 common months)",https://container-news.com/freight-rate-analysis-for-indian-shippers-reflects-easing-signs-on-some-trades/,2022-04-29,2022-09-30,2026-09-16,"Additionally, eastbound rates are at the same levels as they were at the end of March — at around US$2,300/20-foot container and US$2,500/40-foot container for cargo shipped from Felixstowe/Rotterdam to West India."
2022-06-30,USEC_WI_FEU,1657.14,USD/box,DERIVED,Jul article: return leg dropped 10%-15% vs June (midpoint used) applied to the Aug level,https://container-news.com/cn-freight-rate-analysis-for-indian-trades-reflects-easing-trends-but-for-intra-asia/,2022-07-27,2022-08-30,2026-09-16,"On the return leg, rates offered by leading liners have dropped by between 10% and 15%, on average, for cargo shipped from the US East/West/Gulf coasts to West India (Nhava Sheva/Mundra)."
2022-07-27,USEC_WI_FEU,1450.0,USD/box,DERIVED,Aug article: return leg 'remained steady' vs July,https://container-news.com/cn-analysis-slowing-exports-send-freight-rates-on-major-trades-out-of-india-further-downwards/,2022-08-30,2022-08-30,2026-09-16,"On the return leg, average rate levels have remained steady with the prices maintained by leading liners last month – at US$1,075/TEU and US$1,450/FEU from USEC; at US$2,500/TEU and US$3,200/FEU from USWC; and at US$1,800/TEU and US$1,850/FEU box from the Gulf Coast into West India (Nhava Sheva/Mundra)."
2022-08-30,USEC_WI_FEU,1450.0,USD/box,REPORTED,August 2022 average,https://container-news.com/cn-analysis-slowing-exports-send-freight-rates-on-major-trades-out-of-india-further-downwards/,2022-08-30,2022-08-30,2026-09-16,"On the return leg, average rate levels have remained steady with the prices maintained by leading liners last month – at US$1,075/TEU and US$1,450/FEU from USEC; at US$2,500/TEU and US$3,200/FEU from USWC; and at US$1,800/TEU and US$1,850/FEU box from the Gulf Coast into West India (Nhava Sheva/Mundra)."
2022-09-30,USEC_WI_FEU,1434.0,USD/box,REPORTED,September 2022 average,https://container-news.com/cn-analysis-india-container-freight-rates-continue-to-slide-amid-weakening-demand/,2022-09-30,2022-09-30,2026-09-16,"On the return leg, average rate levels have remained steady with the rates maintained by major operators last month – at US$1,075/20-foot box and US$1,434/40-foot box from USEC; at US$2,484/20-foot box and US$3,193/40-foot box from USWC; and at US$1,770/20-foot and US$1,843/40-foot box from the Gulf Coast, into West India (Nhava Sheva/Mundra)."
2022-10-31,USEC_WI_FEU,1434.0,USD/box,DERIVED,Nov article: 'not changed' vs October,https://www.maritimegateway.com/freight-rates-on-indian-trades-hit-new-lows/,2022-11-29,2022-11-29,2026-09-16,"On the return direction, average contract rates have not changed from the levels maintained by major operators last month – pegged at US$1,075/20-foot box and US$1,434/40-foot box from USEC; at US$2,484/20-foot box and US$ 3,193/40-foot box from USWC; and at US$1,770/20-foot and US$1,843/40-foot box from the Gulf Coast, into West India (Nhava Sheva/Mundra)."
2022-11-29,USEC_WI_FEU,1434.0,USD/box,REPORTED,November 2022 average,https://www.maritimegateway.com/freight-rates-on-indian-trades-hit-new-lows/,2022-11-29,2022-11-29,2026-09-16,"On the return direction, average contract rates have not changed from the levels maintained by major operators last month – pegged at US$1,075/20-foot box and US$1,434/40-foot box from USEC; at US$2,484/20-foot box and US$ 3,193/40-foot box from USWC; and at US$1,770/20-foot and US$1,843/40-foot box from the Gulf Coast, into West India (Nhava Sheva/Mundra)."
2022-12-30,USEC_WI_FEU,1125.0,USD/box,REPORTED,December 2022 level (Jan-2023 article),https://container-news.com/cn-analysis-freight-rates-on-indian-trades-continue-to-cool-amid-falling-export-volumes/,2023-01-30,2023-01-30,2026-09-16,"According to the CN analysis, rates now stand at US$855/20-foot box, down from US$910, and US$1,100/40-foot box, down from US$1,125, from USEC; at US$2,484/20-foot box and US$ 3,193/40-foot box from USWC; and at US$1,770/20-foot and US$1,843/40-foot box from the Gulf Coast, into West India (Nhava Sheva/Mundra)."
2023-01-30,USEC_WI_FEU,1100.0,USD/box,REPORTED,January 2023 average,https://container-news.com/cn-analysis-freight-rates-on-indian-trades-continue-to-cool-amid-falling-export-volumes/,2023-01-30,2023-01-30,2026-09-16,"According to the CN analysis, rates now stand at US$855/20-foot box, down from US$910, and US$1,100/40-foot box, down from US$1,125, from USEC; at US$2,484/20-foot box and US$ 3,193/40-foot box from USWC; and at US$1,770/20-foot and US$1,843/40-foot box from the Gulf Coast, into West India (Nhava Sheva/Mundra)."
2022-03-31,EUR_WI_FEU,2500.0,USD/box,DERIVED,Apr article: 'same levels as end of March',https://container-news.com/freight-rate-analysis-for-indian-shippers-reflects-easing-signs-on-some-trades/,2022-04-29,2022-04-29,2026-09-16,"Additionally, eastbound rates are at the same levels as they were at the end of March — at around US$2,300/20-foot container and US$2,500/40-foot container for cargo shipped from Felixstowe/Rotterdam to West India."
2022-04-29,EUR_WI_FEU,2500.0,USD/box,REPORTED,April 2022 average,https://container-news.com/freight-rate-analysis-for-indian-shippers-reflects-easing-signs-on-some-trades/,2022-04-29,2022-04-29,2026-09-16,"Additionally, eastbound rates are at the same levels as they were at the end of March — at around US$2,300/20-foot container and US$2,500/40-foot container for cargo shipped from Felixstowe/Rotterdam to West India."
2022-06-30,EUR_WI_FEU,2050.0,USD/box,REPORTED,June 2022 level (Jul article 'versus'),https://container-news.com/cn-freight-rate-analysis-for-indian-trades-reflects-easing-trends-but-for-intra-asia/,2022-07-27,2022-07-27,2026-09-16,"Eastbound rates have also tapered off – now hovering at around US$1,825/20-foot container and US$1,950/40-foot container, versus US$1,925 and US$2,050 for shipments from Felixstowe/Rotterdam to Nhava Sheva or Mundra."
2022-07-27,EUR_WI_FEU,1950.0,USD/box,REPORTED,July 2022 average,https://container-news.com/cn-freight-rate-analysis-for-indian-trades-reflects-easing-trends-but-for-intra-asia/,2022-07-27,2022-07-27,2026-09-16,"Eastbound rates have also tapered off – now hovering at around US$1,825/20-foot container and US$1,950/40-foot container, versus US$1,925 and US$2,050 for shipments from Felixstowe/Rotterdam to Nhava Sheva or Mundra."
2022-08-30,EUR_WI_FEU,1900.0,USD/box,REPORTED,August 2022 average,https://container-news.com/cn-analysis-slowing-exports-send-freight-rates-on-major-trades-out-of-india-further-downwards/,2022-08-30,2022-08-30,2026-09-16,"The ongoing rate slide for eastbound trade has continued into August – now hovering at around US$1,750/TEU and US$1,900/FEU, versus US$1,850 and US$1,950 for shipments from Felixstowe/Rotterdam to Nhava Sheva or Mundra."
