date,value,unit,wow_pct_change_published,wow_usd_change_published,url,archive_url,archived,retrieved
2020-12-17,4244.05,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.23,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20201221153327/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2020-12-21,2026-09-16
2021-01-07,5220.99,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.198,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210107155622/https://www.drewry.co.uk/supply-chain-advisors/world-container-index-weekly-update/world-container-index-assessed-by-drewry?utm_source=newsletter&utm_medium=email&utm_campaign=WCI%20Weekly%20Update,2021-01-07,2026-09-16
2021-01-21,5340.3,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.02,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210127004851/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-01-27,2026-09-16
2021-02-11,5190.75,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.006999999999999999,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210218062225/https://www.drewry.co.uk/supply-chain-advisors/world-container-index-weekly-update/world-container-index?utm_source=newsletter&utm_medium=email&utm_campaign=WCI%20Weekly%20Update%20%2D%20press,2021-02-18,2026-09-16
2021-03-18,4942.72,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.017,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210322123151/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-03-22,2026-09-16
2021-03-25,4871.72,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.013999999999999999,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210326142307/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-03-26,2026-09-16
2021-04-15,4904.75,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.001,-6.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210422112200/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-04-22,2026-09-16
2021-04-29,4983.74,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.013999999999999999,71.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210503130854/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-05-03,2026-09-16
2021-05-06,5472.33,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.098,489.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210506200947/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-05-06,2026-09-16
2021-05-13,5726.99,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.047,255.0,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20210515010222/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-05-15,2026-09-16
