date,m1_close_inr_kg,m2_close_inr_kg
2017-12-01,133.75,133.0
2017-12-04,133.05,134.25
2017-12-05,132.0,134.25
2017-12-06,130.2,131.85
2017-12-07,129.6,131.35
2017-12-08,129.4,131.35
2017-12-11,129.95,130.6
2017-12-12,129.7,131.05
2017-12-13,129.15,130.6
2017-12-14,131.0,132.45
2017-12-15,131.65,132.9
2017-12-18,132.55,133.75
2017-12-19,133.9,134.9
2017-12-20,135.0,134.9
2017-12-21,136.8,135.7
2017-12-22,139.6,138.5
2017-12-26,138.75,139.75
2017-12-27,143.55,142.75
2017-12-28,145.4,146.45
2017-12-29,143.9,145.4
2018-01-01,144.65,145.65
2018-01-02,143.45,145.45
2018-01-03,141.4,143.9
2018-01-04,142.0,143.4
2018-01-05,139.2,140.75
2018-01-08,137.75,140.55
2018-01-09,136.9,138.7
2018-01-10,138.9,138.95
2018-01-11,138.8,138.95
2018-01-12,141.0,142.1
2018-01-15,141.1,142.5
2018-01-16,140.35,140.95
2018-01-17,140.3,140.85
2018-01-18,143.5,142.85
2018-01-19,141.75,143.6
2018-01-22,143.55,142.9
2018-01-23,141.85,142.8
2018-01-24,142.75,142.8
2018-01-25,141.6,142.25
2018-01-29,141.55,141.65
2018-01-30,141.1,141.2
2018-01-31,141.1,140.8
2018-02-01,142.55,142.75
2018-02-02,141.7,142.75
2018-02-05,141.4,142.5
2018-02-06,139.3,141.8
2018-02-07,139.1,141.4
2018-02-08,140.2,141.4
2018-02-09,137.1,139.5
2018-02-12,136.95,139.5
2018-02-13,137.4,137.95
2018-02-14,139.65,137.7
2018-02-15,137.75,137.7
2018-02-16,141.6,138.75
2018-02-19,142.8,142.25
2018-02-20,142.05,142.8
2018-02-21,142.75,142.8
2018-02-22,142.15,142.05
2018-02-23,140.15,141.2
2018-02-26,139.55,140.1
2018-02-27,140.6,140.2
2018-02-28,140.5,139.5
2018-03-01,140.4,142.8
2018-03-02,140.35,142.8
2018-03-05,139.6,142.8
2018-03-06,138.5,142.8
2018-03-07,136.35,138.6
2018-03-08,136.9,137.3
2018-03-09,137.4,137.3
2018-03-12,135.5,137.95
2018-03-13,135.55,137.95
2018-03-14,135.1,137.95
2018-03-15,134.8,137.95
2018-03-16,134.95,137.95
2018-03-19,135.4,137.95
2018-03-20,134.8,136.75
2018-03-21,134.5,136.75
2018-03-22,133.75,136.95
2018-03-23,132.4,136.95
2018-03-26,131.6,136.95
2018-03-27,131.15,133.85
2018-03-28,130.35,133.15
2018-03-29,,131.05
2018-04-02,131.3,140.0
2018-04-03,129.6,140.0
2018-04-04,129.35,140.0
2018-04-05,130.05,140.0
2018-04-06,133.0,140.0
2018-04-09,139.3,137.5
2018-04-10,144.6,144.3
2018-04-11,147.25,148.85
2018-04-12,152.0,145.95
2018-04-13,149.75,150.9
2018-04-16,156.75,155.85
2018-04-17,159.15,155.85
2018-04-18,168.75,163.6
2018-04-19,165.3,164.55
2018-04-20,165.9,165.5
2018-04-23,151.0,153.8
2018-04-24,146.35,150.1
2018-04-25,149.45,149.3
2018-04-26,152.2,152.9
2018-04-27,148.8,149.6
2018-04-30,148.65,150.25
2018-05-01,151.35,150.4
2018-05-02,156.1,152.15
2018-05-03,152.75,155.95
2018-05-04,158.65,155.1
2018-05-07,159.35,155.1
2018-05-08,159.95,158.25
2018-05-09,159.75,158.9
2018-05-10,155.65,157.8
2018-05-11,153.55,157.8
2018-05-14,157.2,156.8
2018-05-15,159.5,160.15
2018-05-16,158.6,159.3
2018-05-17,156.4,156.85
2018-05-18,154.8,158.0
2018-05-21,155.75,158.0
2018-05-22,154.05,158.05
2018-05-23,155.15,156.2
2018-05-24,156.9,156.2
2018-05-25,153.1,155.45
2018-05-28,153.15,155.45
2018-05-29,153.8,154.85
2018-05-30,152.85,154.85
2018-05-31,153.7,156.15
2018-06-01,155.25,155.15
2018-06-04,156.4,157.15
2018-06-05,156.6,157.15
2018-06-06,157.3,156.95
2018-06-07,155.15,157.3
2018-06-08,156.9,157.7
2018-06-11,156.8,157.7
2018-06-12,156.35,156.85
2018-06-13,154.85,156.7
2018-06-14,154.0,155.1
2018-06-15,151.95,152.25
2018-06-18,152.45,152.0
2018-06-19,149.0,150.5
2018-06-20,148.55,150.65
2018-06-21,149.25,150.65
2018-06-22,148.6,149.4
2018-06-25,147.4,148.75
2018-06-26,150.3,148.5
2018-06-27,150.35,150.55
2018-06-28,149.4,149.75
2018-06-29,148.55,147.3
2018-07-02,146.05,147.75
2018-07-03,144.2,146.5
2018-07-04,144.7,145.05
2018-07-05,143.7,145.35
2018-07-06,143.85,144.35
2018-07-09,144.6,144.3
2018-07-10,143.25,145.15
2018-07-11,141.95,144.1
2018-07-12,139.4,142.1
2018-07-13,139.35,139.65
2018-07-16,141.4,139.8
2018-07-17,138.95,141.45
2018-07-18,139.25,139.6
2018-07-19,138.3,139.9
2018-07-20,140.65,138.55
2018-07-23,141.8,140.9
2018-07-24,142.25,142.85
2018-07-25,140.65,142.85
2018-07-26,141.15,142.45
2018-07-27,140.45,142.65
2018-07-30,141.7,142.65
2018-07-31,141.1,142.75
2018-08-01,140.25,143.2
2018-08-02,139.35,141.3
2018-08-03,138.75,140.95
2018-08-06,140.45,140.6
2018-08-07,139.45,141.6
2018-08-08,144.6,141.6
2018-08-09,142.45,146.35
2018-08-10,143.75,146.35
2018-08-13,145.55,145.8
2018-08-14,144.3,147.7
2018-08-16,142.0,144.15
2018-08-17,141.9,142.85
2018-08-20,143.1,142.85
2018-08-21,143.3,144.8
2018-08-22,143.45,145.35
2018-08-23,144.55,146.4
2018-08-24,144.75,147.4
2018-08-27,145.0,147.4
2018-08-28,148.5,150.1
2018-08-29,151.05,153.2
2018-08-30,149.9,152.4
2018-08-31,150.55,151.15
2018-09-03,148.6,152.1
2018-09-04,146.7,151.25
2018-09-05,147.1,149.25
2018-09-06,146.05,149.55
2018-09-07,147.2,149.0
2018-09-10,149.95,150.35
2018-09-11,147.45,153.0
2018-09-12,146.1,150.5
2018-09-13,145.45,148.95
2018-09-14,145.0,147.9
2018-09-17,146.15,148.55
2018-09-18,145.8,148.35
2018-09-19,144.4,148.5
2018-09-20,145.8,148.5
2018-09-21,149.05,149.8
2018-09-24,147.2,152.2
2018-09-25,148.85,151.0
2018-09-26,148.05,151.25
2018-09-27,146.2,149.55
2018-09-28,145.75,150.6
2018-10-01,153.1,151.8
2018-10-03,165.45,155.4
2018-10-04,161.2,167.65
2018-10-05,157.7,163.8
2018-10-08,154.25,160.1
2018-10-09,152.9,157.15
2018-10-10,151.8,155.5
2018-10-11,149.8,154.5
2018-10-12,150.0,152.6
2018-10-15,150.35,153.05
2018-10-16,149.4,153.05
2018-10-17,149.05,152.3
2018-10-18,148.85,151.75
2018-10-19,147.95,151.25
2018-10-22,147.8,150.55
2018-10-23,146.6,150.6
2018-10-24,146.05,151.45
2018-10-25,144.55,151.45
2018-10-26,145.25,148.0
2018-10-29,144.2,148.9
2018-10-30,143.35,147.45
2018-10-31,144.1,146.5
2018-11-01,144.7,148.05
2018-11-02,144.85,146.8
2018-11-05,144.1,146.75
2018-11-06,142.8,146.7
2018-11-07,142.9,145.8
2018-11-08,144.55,145.8
2018-11-09,142.65,146.95
2018-11-12,141.9,145.05
2018-11-13,140.45,143.9
2018-11-14,140.2,142.75
2018-11-15,138.45,142.5
2018-11-16,139.3,141.05
2018-11-19,137.35,141.7
2018-11-20,138.75,139.85
2018-11-21,139.05,140.45
2018-11-22,137.5,140.65
2018-11-23,136.65,139.3
2018-11-26,137.3,138.75
2018-11-27,135.75,139.3
2018-11-28,136.1,137.85
2018-11-29,135.1,136.55
2018-11-30,134.85,137.95
2018-12-03,139.75,141.65
2018-12-04,139.65,140.7
2018-12-05,140.05,141.15
2018-12-06,137.7,141.45
2018-12-07,140.3,138.8
