week_end,published_utc,source,title,link,query,relevance_match,exclusion_rule,cites_later_date,status,query_rank,feed_pos
2022-02-25,2022-02-25T08:00:00Z,Aluminium International Today,"Aluminium price surges to new record high, driven by Ukrainian-Russian conflict",https://news.google.com/rss/articles/CBMirwFBVV95cUxPelFtY0pUS01yend5alhCTlRRci1rZWpTVUJabk9NRjBLcThhMV9uNVRNZ0hwMjNKU1piWGNpU01OZzVvY2FWcC1qMUw1SjE2ai1BbWg2OTdQbUQ5T2JNMlhCRXdYUEpCQTdGMGJyV0hkamlQZm5zMjkxUmxzdTJhNndwVGRNWDlPZUxoN1ZuSGtmNHZJdlVOd0RWVFBGM3d3ek1sYUdFYmMxWVN5dDVV?oc=5,en-IN:aluminium LME,aluminium,,False,kept,0,0
2022-02-25,2022-02-23T08:00:00Z,AL Circle,GFG Alliance shifts the blame to lender collapse for failure of accounts filing,https://news.google.com/rss/articles/CBMitgFBVV95cUxOd1FpTkNfaFk2aW9ZM1BuZGFwSFFaZlB0Q1BUZkdKbnY2U1hmQk5LcmhtS3JaTjRJWjNtekFTM0Q5MVZ0RUo4UnVXWUt0WXpOSGkyTnNaOXF4X2V0QVhXMUk1a2s2dXREWWZJVzhRUFFfTkFqUS1PbVhKZmdWbFlmRzg5NkU2d2ZPNG1KY0s4Y3I5Tm1VdC01ZzFQX1U4STdDQzFzZzVpWEY1bXd5cHcyNE1WMEhKQQ?oc=5,en-IN:aluminium LME,,,False,irrelevant,0,1
2022-02-25,2022-02-25T08:00:00Z,Aluminium International Today,"Aluminium price surges to new record high, driven by Ukrainian-Russian conflict",https://news.google.com/rss/articles/CBMirwFBVV95cUxPelFtY0pUS01yend5alhCTlRRci1rZWpTVUJabk9NRjBLcThhMV9uNVRNZ0hwMjNKU1piWGNpU01OZzVvY2FWcC1qMUw1SjE2ai1BbWg2OTdQbUQ5T2JNMlhCRXdYUEpCQTdGMGJyV0hkamlQZm5zMjkxUmxzdTJhNndwVGRNWDlPZUxoN1ZuSGtmNHZJdlVOd0RWVFBGM3d3ek1sYUdFYmMxWVN5dDVV?oc=5,en-IN:aluminium price,aluminium,,False,duplicate,1,0
2022-02-25,2022-02-24T08:00:00Z,Business Standard,"Vedanta Aluminium launches low carbon aluminium, unveils two product lines",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQOUZGXzg5Q2s2S0FUbElLRWdUVktIS1dGQnNuSzFZR191OFVWMTgtZ3lfQld4aHdQNXVtclVjeG95b1ZLbGtRdUFDcm9oaHhZNTJ1ZnlNbm1Jd2QzWVpUU2c2cWdzOFNmdkE3SklDcWo5WFd1T2pfaEQ1ZjFIUC00UHc4Q1VKdU9EaTIzREdMOVRQX1REdXNITHdlNV9PMlNWTkJBVkc3YTU3ZWowbFRqRmEyOFpKQnBmNWtjUEpXaWtFc2dkSHV5V3ZQel9pNUh6c2ZoNTRXX3FnV3Byb1HSAeMBQVVfeXFMTzdBUkVETlBPMmRucWJzM3dsdk5odW9uUm5tSkQ5UDJRNDY4b3RoRFh5S2E2bWY4dC13QkF0Zi1HZC1OWjAzdVNieldSOUxhcWdDUWZsR0p1WGlMdWxuc0t3NktLQTRZMHc2MUU4OUMxckt0RWF4dC1WOVpOeTZ5MjYwUE13VlVTRHV6TGdnMl9vTk00MjBrNlpRUDN3SjVYOVI1cXJ5cHp0bDl2TWhxTUhWS2JfVnpfYkdjMGtmam01WmV1Z21YdHJubHZiVGpoeHpwZnJSY3p0NDlWOHJzN3VSTTA?oc=5,en-IN:aluminium price,aluminium,,False,kept,1,1
2022-02-25,2022-02-23T08:00:00Z,AL Circle,GFG Alliance shifts the blame to lender collapse for failure of accounts filing,https://news.google.com/rss/articles/CBMitgFBVV95cUxOd1FpTkNfaFk2aW9ZM1BuZGFwSFFaZlB0Q1BUZkdKbnY2U1hmQk5LcmhtS3JaTjRJWjNtekFTM0Q5MVZ0RUo4UnVXWUt0WXpOSGkyTnNaOXF4X2V0QVhXMUk1a2s2dXREWWZJVzhRUFFfTkFqUS1PbVhKZmdWbFlmRzg5NkU2d2ZPNG1KY0s4Y3I5Tm1VdC01ZzFQX1U4STdDQzFzZzVpWEY1bXd5cHcyNE1WMEhKQQ?oc=5,en-IN:aluminium price,,,False,irrelevant,1,2
2022-02-25,2022-02-25T08:00:00Z,CSIS | Center for Strategic and International Studies,Decarbonizing Aluminum: Rolling Out a More Sustainable Sector,https://news.google.com/rss/articles/CBMikgFBVV95cUxPTGh5S3lmWjBXMHIxbkJxTHFxWFAtLUJpTUxWY3QyOTRBNFhxb1ZDZHNtdkRFMUg0UUNrZ253VTZncEF1N29OWmtHRERRYW1SMjlDeE9iUUs0SUdVa0lRaEJNWXQ4c0NidnprUzFPT0daQkUxZzhHV1M3WmRSR2ZyV18xazVhdm4wLWpoNUw4Y2lzdw?oc=5,en-IN:aluminium price,aluminum,,False,kept,1,3
2022-02-25,2022-02-21T08:00:00Z,The Maritime Executive,Containerized Aluminum-Air Batteries Could Power Coastal Vessels,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMDFHemZCSFpQemFnVnUxYVE4cjBqR1JYTTRJTEpVZy1lOXo4SFloMGgtNWxXbi1sVEhkLXk2djVkZlJwTkN1OTZ2c1hMNy1ZOUFiODBlT0gtWkY1bkZGVUxySDBUOHJEQ09JRk9NVjljcGhMd2tpVkRDdEd0aDNKRDd4Z3hIb1phbEFyR2lNSElwWUxKc1Mwc1NzRjFQUnY3MHZqbFhFZjRjUQ?oc=5,en-IN:aluminium price,aluminum,,False,kept,1,4
2022-02-25,2022-02-23T08:00:00Z,Business Today,India can create 12 million jobs by 2030 by investing in healthcare sector: Report,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQZlFJbThZc1FpaG9LTnlmTllNdXljXzZOTWhfalJxZnpCQmF5MG9FdGF4SjZ1LWNQa3hDSE8yWEZRSkVkNE1iUE8xVVpTNHdqYkNpcVVSMU1MSENCZXNUX2I5Vm1mR1B6Rzc1Z29UWi01Ni12OTRuY1NLZk1TV09TOWw0Wnd3MWhpekJfc3c4SDdBajFwMEFBSWZmOXBaeEhjTFh6dlRObmJmRUlEUm41RjFDYVFWX2xVZ0RjTlk5NEZsYmxoM0V2RnRjM1RNSXBTdjd4MTd6bndaMFRmUEptYlJLdFfSAeoBQVVfeXFMTUstU0J2MkRoOWoxT21MU2plTTNTb1REN3N6VVc5OTZCQURHNERad1hGUVZoNU1ySGxIREpCOHdoRTZWSGtUdzk2N1NueWctQlpSUHgwY2EtaUJ4YzNCWEZFVVhFbzk4WUpPQVNIZFR5Z3dXT0plYlFDcDExUnNfSTd4MWdzeG1VM0VuWkl4TG5oS3prMlRhTWpVVlBZZzYtQkswaFd6ZEEzdHZ3NzNmUUNId082UDRhcE5aS3lMbXk1X3lvVWk2UWtmN29ILVJ5czlPMG9PaFJxcFFCN0EwcTF2a2hLYjNUbHBR?oc=5,en-IN:aluminium price,,,False,irrelevant,1,5
2022-02-25,2022-02-24T08:00:00Z,Bloomberg.com,Biden Team to Hold Off on Sanctions Hitting Aluminum From Russia,https://news.google.com/rss/articles/CBMisgFBVV95cUxQbkVYaklmbE0wMy1jcjJ6YkN2aFhlVUxtNnppQnJrUnIweTA0Q05lb1RmeXVOdkY5MVl0VFNJT05ibE5RRG1zaW1GVHAyVUthRmREN0k4Y29HUGJyXzVGeVFqUDlGT3RwZ19hc0xjZjYtLXZFS3laVXp6dDlBWE5EVDNUVE9XUVBHTUFYOWtuMWhjZHBXRWtxbFE0ZUJTd3BqXzRJSUZrdVJoZzBzOFZhYjhR?oc=5,en-IN:aluminium price,aluminum,,False,kept,1,6
2022-02-25,2022-02-22T08:00:00Z,Nokiamob,Nokia G21 and G11 disassembly shows aluminum body inside,https://news.google.com/rss/articles/CBMikwFBVV95cUxPVjlHVkN5MlNNdUNqaFZnc2Z0QUg4MEdsZ0pVVTk1MExfVHhObmxGSG9Qa2NfUGdoV0FuNEFMakx4RkRqeGdCLTl0Z09MdWFrdHpXWFhPTUkyaHJpb3JmVnZtbHJCV05lZEtNRmc1RmdLUTRkUEx6bzhHdVh0aVRidGxzd2VGem5jaEEzZTV5QnNKLUk?oc=5,en-IN:aluminium price,aluminum,,False,kept,1,7
