article_date,series,adc12_inr_t,adc12_non_oem_basis_inr_t,lme_ref_date,lme_cash_usd_t,usdinr_ecb,duty_paid_cash_parity_inr_t,premium_vs_cash_parity_inr_t,premium_vs_trailing120_parity_inr_t,oem_gap_inr_t,use,exclude_reason,url,snippet
2023-04-15,SPOT,197000,197000.0,2023-04-14,2356.0,81.72,208420.15,-11420.15,-15345.44,8000.0,False,"region and grade basis (spot / OEM, Delhi / Chennai) not stated",https://www.alcircle.com/news/indias-aluminium-alloy-ingot-adc12-price-remains-stable-w-o-w-93593,"remained stable w-o-w at INR 197,000/t"
2023-12-01,SPOT,183000,183000.0,2023-11-30,2157.5,83.35,194672.84,-11672.84,-11600.35,8000.0,True,,https://www.alcircle.com/news/aluminium-alloy-adc12-ingot-prices-in-india-register-a-sequential-influx-of-inr1000-t-103142,"in the prices of aluminium ADC12 alloy ingots to INR 183,000 per tonne"
2024-02-24,SPOT,204000,204000.0,2024-02-23,2157.0,82.9,193574.33,10425.67,6852.06,8000.0,True,,https://www.alcircle.com/news/raw-material-costs-propel-india-s-aluminium-adc12-prices-upward-w-o-w-108017,"rose by INR 2,000 per tonne W-o-W, reaching INR 204,000 per tonne"
2024-02-29,SPOT,204000,204000.0,2024-02-28,2130.0,82.9,191138.59,12861.41,6872.28,8000.0,True,,https://www.alcircle.com/news/indias-aluminium-adc12-price-remains-steady-w-o-w-amidst-increased-raw-material-prices-109058,"in Delhi remain steady at INR 204,000 per tonne week-on-week"
2024-03-14,SPOT,207000,207000.0,2024-03-13,2224.0,82.82,199381.34,7618.66,9735.02,8000.0,True,,https://www.alcircle.com/news/local-tense-scrap-shortages-propel-aluminium-adc12-prices-upward-in-india-110195,"to reach INR 207,000 per tonne week-on-week, excluding GST, in ex-works Delhi"
2024-03-28,SPOT,211000,211000.0,2024-03-27,2238.0,83.33,201887.74,9112.26,13678.7,8000.0,True,,https://www.alcircle.com/news/indias-adc12-aluminium-ingot-prices-move-upward-despite-stable-raw-material-cost-110339,"reaching INR 211,000 per tonne W-o-W exw Delhi"
2024-05-09,SPOT,216000,216000.0,2024-05-08,2488.0,83.5,224880.82,-8880.82,12574.14,8000.0,True,,https://www.alcircle.com/news/indias-aluminium-alloy-adc12-prices-records-w-o-w-decline-of-inr3000-t-110812,"now standing at INR 216,000 per tonne week-on-week exw Delhi NCR"
2024-05-30,SPOT,216000,216000.0,2024-05-29,2695.0,83.38,243256.56,-27256.56,8444.7,8000.0,True,,https://www.alcircle.com/news/spot-prices-for-adc12-aluminium-alloy-ingots-close-at-inr216000-t-w-o-w-111037,"reaching INR 216,000 per tonne week-over-week"
2024-06-13,SPOT,215000,215000.0,2024-06-12,2476.0,83.56,223955.05,-8955.05,4017.0,8000.0,True,,https://www.alcircle.com/news/indias-adc12-aluminium-ingot-price-in-delhi-drops-marginally-to-inr215000-t-w-o-w-111163,"in Delhi NCR, now at INR 215,000 per tonne"
2024-07-12,SPOT,213000,213000.0,2024-07-11,2428.5,83.57,219696.16,-6696.16,-2070.85,8000.0,True,,https://www.alcircle.com/news/indias-adc12-aluminium-ingot-prices-remain-stable-w-o-w-amid-high-freights-111413,"ADC12 spot prices were evaluated at INR 213,000 per tonne (ex-Delhi)"
