month,value_usd_mn,qty_kg,uv_usd_t,page
2021-01,239.1,155369804.0,1538.9091,2022-01
2021-02,209.81,131573947.0,1594.6166,2022-02
2021-03,216.94,129713272.0,1672.458,2022-03
2021-04,213.38,122274303.0,1745.0928,2022-04
2021-05,219.48,119399635.0,1838.1966,2022-05
2021-06,280.69,156837296.0,1789.6891,2022-06
2021-07,261.53,136251549.0,1919.4644,2022-07
2021-08,237.23,119478380.0,1985.5475,2022-08
2021-09,280.25,134538841.0,2083.0416,2022-09
2021-10,306.51,144725011.0,2117.8786,2022-10
2021-11,296.67,131745246.0,2251.846,2022-11
2021-12,374.57,166231188.0,2253.3076,2022-12
2022-01,361.95,159694961.0,2266.5086,2022-01
2022-02,291.19,129279042.0,2252.4146,2022-02
2022-03,325.64,141444688.0,2302.2427,2022-03
2022-04,322.45,129639829.0,2487.2757,2022-04
2022-05,333.89,134285294.0,2486.4227,2022-05
2022-06,332.38,132816027.0,2502.5594,2022-06
2022-07,360.29,153665592.0,2344.6368,2022-07
2022-08,345.07,154124726.0,2238.901,2022-08
2022-09,320.16,151938924.0,2107.1625,2022-09
2022-10,277.27,141154907.0,1964.2959,2022-10
2022-11,310.64,155598329.0,1996.4225,2022-11
2022-12,294.15,169539226.0,1734.9967,2022-12
2023-01,275.24,142602654.0,1930.1184,2024-01
2023-02,248.19,127479734.0,1946.8977,2024-02
2023-03,285.07,141510795.0,2014.4753,2024-03
2023-04,280.52,137319478.0,2042.8275,2024-04
2023-05,308.06,153963600.0,2000.8625,2024-05
2023-06,273.43,134977060.0,2025.7516,2024-06
2023-07,334.34,162994087.0,2051.2401,2024-07
2023-08,373.84,186598559.0,2003.4453,2024-08
2023-09,337.7,171205044.0,1972.4886,2024-09
2023-10,307.4,155663091.0,1974.7777,2024-10
2023-11,295.23,155374784.0,1900.1153,2024-11
2023-12,308.52,159603854.0,1933.036,2024-12
2024-01,222.79,114911611.0,1938.7945,2024-01
2024-02,217.37,112820186.0,1926.6942,2024-02
2024-03,238.34,121498908.0,1961.6637,2024-03
2024-04,254.24,127935223.0,1987.2557,2024-04
2024-05,302.23,148688676.0,2032.6363,2024-05
2024-06,356.74,168086009.0,2122.3658,2024-06
2024-07,354.61,163657688.0,2166.7787,2024-07
2024-08,388.17,173100046.0,2242.4604,2024-08
2024-09,322.44,143988586.0,2239.3442,2024-09
2024-10,372.3,166324975.0,2238.389,2024-10
2024-11,333.86,150940483.0,2211.8652,2024-11
2024-12,322.52,146597380.0,2200.0393,2024-12
2025-01,329.91,153569058.0,2148.2843,2025-01
2025-02,286.2,131444130.0,2177.3509,2025-02
2025-03,306.11,138102677.0,2216.5392,2025-03
2025-04,295.78,134944762.0,2191.8598,2025-04
2025-05,331.53,155417752.0,2133.154,2025-05
2025-06,351.61,159560200.0,2203.6197,2025-06
2025-07,420.3,189688611.0,2215.7366,2025-07
2025-08,425.01,194199252.0,2188.5254,2025-08
2025-09,432.42,200611935.0,2155.5049,2025-09
2025-10,464.64,208741153.0,2225.9147,2025-10
2025-11,425.1,188283890.0,2257.7609,2025-11
2025-12,382.04,166186207.0,2298.8671,2025-12
