contract_month,lme_3m_avg_usd_t,uv_m_plus_1_usd_t,mix_ratio_lag1,uv_m_plus_2_usd_t,mix_ratio_lag2,uv_m_plus_3_usd_t,mix_ratio_lag3,mix_ratio_pit,mix_ratio,grade_factor_zorba,grade_factor_taint_tabor,grade_factor_tense
2021-12,2694.0476,2266.5086,0.8413,2252.4146,0.8361,2302.2427,0.8546,0.7893,0.8361,0.816,0.816,0.766
2022-01,3000.075,2252.4146,0.7508,2302.2427,0.7674,2487.2757,0.8291,0.7587,0.7674,0.747,0.747,0.697
2022-02,3224.175,2302.2427,0.7141,2487.2757,0.7714,2486.4227,0.7712,0.8563,0.7714,0.751,0.751,0.701
2022-03,3542.9348,2487.2757,0.702,2486.4227,0.7018,2502.5594,0.7064,0.8361,0.7018,0.682,0.682,0.632
2022-04,3276.1053,2486.4227,0.759,2502.5594,0.7639,2344.6368,0.7157,0.7674,0.7639,0.744,0.744,0.694
2022-05,2854.7857,2502.5594,0.8766,2344.6368,0.8213,2238.901,0.7843,0.7714,0.8213,0.801,0.801,0.751
2022-06,2585.025,2344.6368,0.907,2238.901,0.8661,2107.1625,0.8151,0.7018,0.8661,0.846,0.846,0.796
2022-07,2407.9286,2238.901,0.9298,2107.1625,0.8751,1964.2959,0.8158,0.7639,0.8751,0.855,0.855,0.805
2022-08,2424.1136,2107.1625,0.8693,1964.2959,0.8103,1996.4225,0.8236,0.8213,0.8103,0.79,0.79,0.74
2022-09,2243.0682,1964.2959,0.8757,1996.4225,0.89,1734.9967,0.7735,0.8661,0.89,0.87,0.87,0.82
