article_date,grade,origin,kind,price_usd_t,basis,attach_frac,attach_source,lme_ref_date,lme_3m_ref_usd_t,quote_ratio,clean_ratio,contract_month,mix_ratio_lag2,diff_clean,diff_raw,diff_clean_same_day_lme,use,exclude_reason,url,snippet
2024-02-14,tense,UAE,ASSESSMENT,1720,CFR India,0.085,SERIES,2024-02-13,2234.0,0.7699,0.8414,2024-02,0.8959,-0.0544,-0.126,-0.0503,True,,https://www.alcircle.com/news/imported-aluminium-scrap-prices-in-india-trend-higher-on-increased-demand-and-futures-106903,"Tense scrap of Middle East (UAE) origin has experienced a $20/t increase, reaching $1,720/t"
2024-02-24,tense,UAE,ASSESSMENT,1695,CFR India,0.085,SERIES,2024-02-23,2197.0,0.7715,0.8432,2024-02,0.8959,-0.0527,-0.1244,,True,,https://www.alcircle.com/news/raw-material-costs-propel-india-s-aluminium-adc12-prices-upward-w-o-w-108017,"saw a decrease of $25 per ton, settling at $1,695 per ton"
2024-02-24,tense,USA,ASSESSMENT,1775,CFR India,0.065,STATED,2024-02-23,2197.0,0.8079,0.8641,2024-02,0.8959,-0.0318,-0.088,,True,,https://www.alcircle.com/news/raw-material-costs-propel-india-s-aluminium-adc12-prices-upward-w-o-w-108017,"Tense scrap (6-7%) from the US was reportedly priced at $1,775 per ton"
2024-02-24,zorba,UK,ASSESSMENT,2010,CFR Nhava Sheva,0.0,NONE,2024-02-23,2197.0,0.9149,0.9149,2024-02,0.8959,0.019,0.019,,True,,https://www.alcircle.com/news/raw-material-costs-propel-india-s-aluminium-adc12-prices-upward-w-o-w-108017,"UK-origin Zorba 95-5 rose to $2,010 per ton CFR Nhava Sheva"
2024-03-13,tense,UAE,ASSESSMENT,1825,CFR Mundra,0.085,SERIES,2024-03-12,2263.0,0.8065,0.8814,2024-03,0.8957,-0.0143,-0.0892,-0.017,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-continue-to-rise-109184,"Tense scrap originating from the UAE witnessed a $35 per metric ton increase, reaching $1,825 per metric ton"
2024-03-13,zorba,UK,ASSESSMENT,2040,CFR Mundra,0.0,NONE,2024-03-12,2263.0,0.9015,0.9015,2024-03,0.8957,0.0058,0.0058,0.003,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-continue-to-rise-109184,"zorba 95/5 of UK origin rose by $10 per tonne to $2,040 per tonne CFR (Cost and Freight) Mundra"
2024-03-13,zorba,USA,DEAL,2050,CIF west coast India,0.0,NONE,2024-03-12,2263.0,0.9059,0.9059,2024-03,0.8957,0.0102,0.0102,0.0074,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-continue-to-rise-109184,"Recent deals for CIF WC India USA-origin Zorba 95/5 was traded at $2,050/t"
2024-03-13,taint_tabor,UAE,DEAL,1980,CIF west coast India,0.0,NONE,2024-03-12,2263.0,0.8749,0.8749,2024-03,0.8957,-0.0207,-0.0207,-0.0234,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-continue-to-rise-109184,"UAE-origin taint tabor was traded at $1,980/t"
2024-03-13,taint_tabor,USA,DEAL,1820,CIF west coast India,0.025,STATED,2024-03-12,2263.0,0.8042,0.8249,2024-03,0.8957,-0.0708,-0.0914,-0.0734,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-continue-to-rise-109184,"USA-origin Taint Tabor (2-3 per cent) was traded at $1,820/t"
2024-03-13,tense,USA,DEAL,1870,CIF west coast India,0.06,STATED,2024-03-12,2263.0,0.8263,0.8791,2024-03,0.8957,-0.0166,-0.0694,-0.0193,True,,https://www.alcircle.com/news/india-s-imported-aluminium-scrap-prices-continue-to-rise-109184,"USA tense (5-7 per cent) was traded at $1,870/t"
