contract_month,lme_3m_avg_usd_t,uv_m_plus_1_usd_t,mix_ratio_lag1,uv_m_plus_2_usd_t,mix_ratio_lag2,uv_m_plus_3_usd_t,mix_ratio_lag3,mix_ratio_pit
2018-01,2221.6818,,,,,,,
2018-02,2173.825,,,,,,,
2018-03,2094.9048,,,,,,,
2018-04,2245.725,,,,,,,
2018-05,2287.9286,,,,,,,
2018-06,2237.2381,,,,,,,
2018-07,2076.3182,,,,,,,
2018-08,2070.5909,,,,,,,
2018-09,2055.2,,,,,,,
2018-10,2044.9348,,,,,,,
2018-11,1950.0227,,,,,,,
2018-12,1928.6316,,,,,,,
2019-01,1861.5455,,,,,,,
2019-02,1885.05,,,,,,,
2019-03,1895.3333,,,,,,,
2019-04,1868.275,,,,,,,
2019-05,1805.5476,,,,,,,
2019-06,1782.05,,,,,,,
2019-07,1816.3261,,,,,,,
2019-08,1771.119,,,,,,,
2019-09,1776.7619,,,,,,,
2019-10,1727.5652,,,,,,,
2019-11,1766.3571,,,,,,,
2019-12,1780.8,,,,,,,
2020-01,1792.3182,,,,,,,
2020-02,1711.575,,,,,,,
2020-03,1634.3636,,,,,,,
2020-04,1494.475,,,,,,,
2020-05,1492.6842,,,,,,,
2020-06,1587.2727,,,,,,,
2020-07,1672.9348,,,,,,,
2020-08,1771.55,,,,,,,
2020-09,1783.3182,,,,,,,
2020-10,1819.8409,,,,,1538.9091,0.8456,
2020-11,1945.5,,,1538.9091,0.791,1594.6166,0.8196,
2020-12,2028.9048,1538.9091,0.7585,1594.6166,0.7859,1672.458,0.8243,
2021-01,2005.075,1594.6166,0.7953,1672.458,0.8341,1745.0928,0.8703,
2021-02,2085.375,1672.458,0.802,1745.0928,0.8368,1838.1966,0.8815,0.791
2021-03,2212.1739,1745.0928,0.7889,1838.1966,0.8309,1789.6891,0.809,0.7859
2021-04,2333.25,1838.1966,0.7878,1789.6891,0.767,1919.4644,0.8227,0.8341
2021-05,2453.7105,1789.6891,0.7294,1919.4644,0.7823,1985.5475,0.8092,0.8368
2021-06,2445.5909,1919.4644,0.7849,1985.5475,0.8119,2083.0416,0.8518,0.8309
2021-07,2504.1136,1985.5475,0.7929,2083.0416,0.8318,2117.8786,0.8458,0.767
2021-08,2601.8333,2083.0416,0.8006,2117.8786,0.814,2251.846,0.8655,0.7823
2021-09,2852.8636,2117.8786,0.7424,2251.846,0.7893,2253.3076,0.7898,0.8119
2021-10,2970.0,2251.846,0.7582,2253.3076,0.7587,2266.5086,0.7631,0.8318
2021-11,2646.8409,2253.3076,0.8513,2266.5086,0.8563,2252.4146,0.851,0.814
2021-12,2694.0476,2266.5086,0.8413,2252.4146,0.8361,2302.2427,0.8546,0.7893
2022-01,3000.075,2252.4146,0.7508,2302.2427,0.7674,2487.2757,0.8291,0.7587
2022-02,3224.175,2302.2427,0.7141,2487.2757,0.7714,2486.4227,0.7712,0.8563
2022-03,3542.9348,2487.2757,0.702,2486.4227,0.7018,2502.5594,0.7064,0.8361
2022-04,3276.1053,2486.4227,0.759,2502.5594,0.7639,2344.6368,0.7157,0.7674
2022-05,2854.7857,2502.5594,0.8766,2344.6368,0.8213,2238.901,0.7843,0.7714
2022-06,2585.025,2344.6368,0.907,2238.901,0.8661,2107.1625,0.8151,0.7018
2022-07,2407.9286,2238.901,0.9298,2107.1625,0.8751,1964.2959,0.8158,0.7639
2022-08,2424.1136,2107.1625,0.8693,1964.2959,0.8103,1996.4225,0.8236,0.8213
2022-09,2243.0682,1964.2959,0.8757,1996.4225,0.89,1734.9967,0.7735,0.8661
2022-10,2249.619,1996.4225,0.8874,1734.9967,0.7712,1930.1184,0.858,0.8751
2022-11,2359.2045,1734.9967,0.7354,1930.1184,0.8181,1946.8977,0.8252,0.8103
2022-12,2429.5,1930.1184,0.7945,1946.8977,0.8014,2014.4753,0.8292,0.89
2023-01,2521.8095,1946.8977,0.772,2014.4753,0.7988,2042.8275,0.8101,0.7712
2023-02,2456.15,2014.4753,0.8202,2042.8275,0.8317,2000.8625,0.8146,0.8181
2023-03,2336.6087,2042.8275,0.8743,2000.8625,0.8563,2025.7516,0.867,0.8014
