week_end,freight_jea_nsa_usd_t,freight_usec_mun_usd_t,index_name,index_value,freight_src,note
2020-12-25,11.12,49.32,DREWRY_WCI_COMPOSITE_USD_FEU,4301.07,WCI_INTERPOLATED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"linear interpolation between neighbouring WCI weeks; USEC 40ft 1,036 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 278 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+644 days vs week end; hindsight-calibrated)"
2021-01-01,11.27,49.98,DREWRY_WCI_COMPOSITE_USD_FEU,4358.09,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-01-08 WCI 5,220.99 and published change +19.8% (rounded pct => approx.); USEC 40ft 1,050 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 282 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+637 days vs week end; hindsight-calibrated)"
2021-01-08,13.5,59.87,DREWRY_WCI_COMPOSITE_USD_FEU,5220.99,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,257 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 338 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+630 days vs week end; hindsight-calibrated)"
2021-01-15,13.54,60.04,DREWRY_WCI_COMPOSITE_USD_FEU,5235.59,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-01-22 WCI 5,340.30 and published change +2.0% (rounded pct => approx.); USEC 40ft 1,261 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 339 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+623 days vs week end; hindsight-calibrated)"
2021-01-22,13.81,61.24,DREWRY_WCI_COMPOSITE_USD_FEU,5340.3,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,286 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 345 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+616 days vs week end; hindsight-calibrated)"
2021-01-29,13.67,60.59,DREWRY_WCI_COMPOSITE_USD_FEU,5283.82,WCI_INTERPOLATED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"linear interpolation between neighbouring WCI weeks; USEC 40ft 1,272 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 342 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+609 days vs week end; hindsight-calibrated)"
2021-02-05,13.52,59.95,DREWRY_WCI_COMPOSITE_USD_FEU,5227.34,WCI_DERIVED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"back-filled from 2021-02-12 WCI 5,190.75 and published change -0.7% (rounded pct => approx.); USEC 40ft 1,259 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 338 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+602 days vs week end; hindsight-calibrated)"
2021-02-12,13.43,59.53,DREWRY_WCI_COMPOSITE_USD_FEU,5190.75,WCI_REPORTED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"USEC 40ft 1,250 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 336 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+595 days vs week end; hindsight-calibrated)"
2021-02-19,13.32,59.06,DREWRY_WCI_COMPOSITE_USD_FEU,5150.11,WCI_INTERPOLATED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"linear interpolation between neighbouring WCI weeks; USEC 40ft 1,240 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 333 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+588 days vs week end; hindsight-calibrated)"
2021-02-26,13.21,58.59,DREWRY_WCI_COMPOSITE_USD_FEU,5109.47,WCI_INTERPOLATED|USEC:EXTRAP_PRE|JEA:ASSUMPTION,"linear interpolation between neighbouring WCI weeks; USEC 40ft 1,230 USD/box (WCI x k=0.2408; k extrap_pre vs Container News USEC->West India anchors); JEA 20ft 330 USD/box (assumed 600 at 2022-03-04 x USEC shape); level inputs public from 2022-09-30 (+581 days vs week end; hindsight-calibrated)"
