week_end,published_utc,source,title,link,query
2022-02-25,2022-02-19T08:00:00Z,Recycling Today,A preference for local scrap,https://news.google.com/rss/articles/CBMinAFBVV95cUxOZl9nVlVaWWxldm4zNldoQkx6cHdkekNoTjZsOVhOOGMydWI1R1AyaHNyem1Lcl85dW5HeUFSMzlPSUtMZC0xb294aWVXVHBralE4ZGRvdlNtOWtHSWtGYl9XSS03U091MFZxRUV1VUdMY09RSEJkTDAtYzlKRGk4Z0VkUnJON2JFVThvWlJUNF8zZmhDbS1iYjhkSDI?oc=5,en-IN:aluminum prices
2022-02-25,2022-02-19T08:00:00Z,Livemint,Is the Rolex Daytona Steel worth the wait?,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNZGlIRnJtT0VTQzEyZ2Y4elo1UjBONzk1VkxFWEJWbzh0TFA0VExaVFg3Z1dYRTVnTkg1dm84aHpUbWljWGN4UTBEYWhJajhodkJ5YU5sdDhvcVZ5Q3prT3lxVGN4c2hEbTVQTG9KVHlNMC1fa2JyLTZjVjlCbTRVUzdfaEUxb1FMTXlLS3hOM2tsQU9GNE1NdnYxZ0pMTThicDloQmQwUFM?oc=5,en-IN:steel prices India
2022-02-25,2022-02-20T08:00:00Z,Crude Oil Prices Today | OilPrice.com,High Energy Costs Are Pushing Zinc Smelters To The Brink,https://news.google.com/rss/articles/CBMiowFBVV95cUxPSmF6Yy1wTjY0UENsSlk5d25LZjF6alpZU0IxbEtCTUtnWV90V2tGVHB1MEhScXljTjE5V1lEeUtuSmlhNGJ0Tjl3cG05MTB6UTFZY0FMTVBHejBIbmR2dFo3ekdZVWtxWEtqeEFIdW83VG5TVzA1NkxVaktCT2pjcEFWTmFaZTVyMkp6eGh6N3hGV3RLTC1IbU1PYzlidHNXZzlF0gGoAUFVX3lxTFBQTTJNZHJycEctY0RWVU9jT1dOcVkwOW4tSU5XakxVbnVBakthLWp4a2dZRU9lcWNrSWUtVXhfbER2VlJNUEtTVkoyTjM5Z0F0d1ZmQU9LZDRkQVlEZjBncW1Ia00tNW4xQzkxcWR3WmhPTkV3LVU1aUZCMXJQVFprYl96RkJHTnd1WnJNUldnU0dSY0NuUTMxalVaaWFkbHdyN21mMXp0WA?oc=5,en-IN:base metals
2022-02-25,2022-02-21T08:00:00Z,The Maritime Executive,Containerized Aluminum-Air Batteries Could Power Coastal Vessels,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPMDFHemZCSFpQemFnVnUxYVE4cjBqR1JYTTRJTEpVZy1lOXo4SFloMGgtNWxXbi1sVEhkLXk2djVkZlJwTkN1OTZ2c1hMNy1ZOUFiODBlT0gtWkY1bkZGVUxySDBUOHJEQ09JRk9NVjljcGhMd2tpVkRDdEd0aDNKRDd4Z3hIb1phbEFyR2lNSElwWUxKc1Mwc1NzRjFQUnY3MHZqbFhFZjRjUQ?oc=5,en-IN:aluminium price
2022-02-25,2022-02-21T08:00:00Z,Business Today,Tata Steel goes inclusive; hires 12 LGBTQ+ employees at Kalinganagar plant,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOWFhQcVViM3dzeWNIaW5XNkQwZWZvVXVtSGNma082TWxqRm1xOS1LNW05d2l4NlIzY1M4OW8tbkZGTHZXbi1LaDl6QnBuQUp3VnZxektJVG1KLVlwS0hlcXNncVNhZUMwVEdfdnlqQ2dvYnhRNUVuWHpDUWN4TkJxdW04U1hjXzNEMHRfWHgzOVlJSF9tY1M3bjlEQ284cm1xZ2RzYkRDbTQ5SWZOTzR4V2l5OTZJRzZhRE9zRk13a0xLbC1Uc24wTlRjNjduQ0pxRk1mODRpNFV2UdIB3wFBVV95cUxPclZFdHRpTTdwOHFMNm1sSW9vOU13aUlEM3Z0SnhsV3BTWngwTUttRllETVVRVXpPcUduNFZfRjBOMmh6dlZDNmRMcEVWYUZhT2JjQWdjVTdXVEFxOGsxaUVvMjJmejROYndHcFpfNmRPcUVZWHRzRjRMelRYcjNyWnI3cmlLZUlLUGRjTkRtMWROYlpwNERTMzN4MERQamtyZkNJTWsyY3BUQl9LNFVhTl9LcDlfTzVNWHRjdXVxUFRLOFRzU3NueTA2QWYxNUplVllXdXV5MUJ2Ni1aMjJr?oc=5,en-IN:steel prices India
2022-02-25,2022-02-22T08:00:00Z,Nokiamob,Nokia G21 and G11 disassembly shows aluminum body inside,https://news.google.com/rss/articles/CBMikwFBVV95cUxPVjlHVkN5MlNNdUNqaFZnc2Z0QUg4MEdsZ0pVVTk1MExfVHhObmxGSG9Qa2NfUGdoV0FuNEFMakx4RkRqeGdCLTl0Z09MdWFrdHpXWFhPTUkyaHJpb3JmVnZtbHJCV05lZEtNRmc1RmdLUTRkUEx6bzhHdVh0aVRidGxzd2VGem5jaEEzZTV5QnNKLUk?oc=5,en-IN:aluminium price
2022-02-25,2022-02-22T08:00:00Z,African Manager,Tunisia: TPR increases its sales prices on all aluminum profiles by 15%.,https://news.google.com/rss/articles/CBMiogFBVV95cUxNU0pnMG1NTzY4czV1U0FWVWE2V3k4c1FERWxfNFRIYUdCR2QwUV9uaDBmbkphbUkyR1MzQUQ1VDB2V3ItbUcyUTlIS2lfSUY1MTdab3NZT2FHc2gtdE1OUlY5V3hYZVVIZG1TWF90V2FTd09oc1BEOEhVZXozTWFBY3pFUG9UV1FqLWlUZEVmMU5kYmM3RnN1WTdISVpIVVVLanc?oc=5,en-IN:aluminium price
2022-02-25,2022-02-22T08:00:00Z,Selfwealth by Syfe,"How to Invest in Battery Metals, Base Metals and Agriculture via ETFs",https://news.google.com/rss/articles/CBMipgFBVV95cUxONHFxYkpoZXdCbFpWNEZIZlA2X3EzaHRUNUNYbHFEM2J5dnFjaXFBaURtcWI1M3hodW8xclpKb0ltWi00a2xHMnhwTHlaLW9aOW52aHZ4S09CSWhuOFd2XzNSc3NoUjlXUURBNmF1MkFIbVktdk1ZZXI5QndvOTJ0LTIwWW5YbUVWS0FnMDllYVJEQWpLdHBrUkJIYk5zcHZfTWxDOUVR?oc=5,en-IN:base metals
2022-02-25,2022-02-22T08:00:00Z,Moneycontrol.com,Steel Authority of India Ltd: Operating profitability to remain under pressure,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPS0h5dk1samxnU21WZ3MzVEhiZjVManZuS2lwM2xMT3AweWt4WHdWMkx5aEQ4WHcyZHE4WG16ZmZwWGZmYVlkdlhqeW5BcVN4TllCNEJMb3JuUWxrX2RjaUZtSExQN1BSNHg3OG80Sk5wUXRIUzNvOEdSMzUyLUp5WnY4SWtXcGZVYThNUnpWYmQ2MVNZVXNiSm16QmV0cS1aVW42YmU1Uk9qdExhWm4yVDR5VlEtRjdtQkk2eVUyc0NqR2dnQUhvdkpIZ1ZQdmcwODk4b3JlODhISjdyWWctTFJmNjJiV2xRYlpZ0gHwAUFVX3lxTE5vcl9qbVh1bmVjdGVTeGE0clpubnBDdk5HbmNqMEl5WDBSZU5JN1Z3RzRYN3FuanEzOGtqVGoxNkhDUUZQQ0JOY3R4SWF0Z1JvY3ItMU4waVh1VFFVU05OVVJnY210bi11b1dVVUh4RDFZUFhQaGpGN19SaDFLdkJyWng5VlJ4RWNnUkNQY0kxNUVtLW9GNmhUR0tPUVp6ZDFyNkU3UzhzV2RncEZRVks4V2VLb2IwU0tqSDRiSlU4em1fcmdNSGJzbGhlN1FlaWhKLU1aY0FIMFB4M2hsN09YSXplQWpnV004dnNJcUwzSQ?oc=5,en-IN:steel prices India
2022-02-25,2022-02-23T08:00:00Z,The Guardian,Prospect of sanctions hits Russian part-owner of Queensland alumina refinery,https://news.google.com/rss/articles/CBMiywFBVV95cUxPQzV5TmtsbXV1MHUwcF83bkxfTlNLY2dhZVMwdE10NFFTVnFxLUVMNkdnSjNGZzhuUlBlYlZTQUp3RGJUYVZzZkpOaFA2ckRReUJfa1lzZEx6bFVEcmZhdDI3dlV3RUZMUFJVYTJ4al9SNTV6bkFyMlpJWTQ3eUpTYXV5VFRRelk5cEdHTFMxeFpCZmh3aDgyLTZiNVNXdkllWFhBazFoMl9VaFlhNUtTVnM5NVR2QmtJTkNZYmVIWk1iS25rOVE0MXhkbw?oc=5,en-IN:aluminium price
