date,lme_cash_usd_t,lme_3m_usd_t,lme_cash_3m_spread_usd_t,lme_stock_mt
2018-01-02,2256.0,2268.0,-12.0,1101375
2018-01-03,2241.0,2251.5,-10.5,1101800
2018-01-04,2230.0,2245.0,-15.0,1101325
2018-01-05,2205.5,2225.0,-19.5,1099475
2018-01-08,2177.5,2194.0,-16.5,1095875
2018-01-09,2143.5,2162.0,-18.5,1092850
2018-01-10,2159.0,2173.0,-14.0,1090525
2018-01-11,2179.0,2191.0,-12.0,1088325
2018-01-12,2215.0,2223.0,-8.0,1086875
2018-01-15,2227.5,2231.5,-4.0,1084450
2018-01-16,2172.0,2181.5,-9.5,1083800
2018-01-17,2187.0,2194.0,-7.0,1088725
2018-01-18,2225.0,2218.5,6.5,1090875
2018-01-19,2256.0,2254.0,2.0,1091850
2018-01-22,2235.0,2239.0,-4.0,1088425
2018-01-23,2213.5,2218.0,-4.5,1086200
2018-01-24,2216.0,2221.0,-5.0,1087850
2018-01-25,2237.5,2240.5,-3.0,1086575
2018-01-26,2238.0,2240.5,-2.5,1081425
2018-01-29,2251.5,2258.0,-6.5,1085475
2018-01-30,2229.0,2226.0,3.0,1084875
2018-01-31,2224.5,2222.0,2.5,1081475
2018-02-01,2218.0,2215.5,2.5,1080550
2018-02-02,2228.0,2227.0,1.0,1077650
2018-02-05,2202.0,2203.0,-1.0,1075050
2018-02-06,2196.0,2195.0,1.0,1066225
2018-02-07,2181.5,2179.0,2.5,1059875
2018-02-08,2168.0,2163.0,5.0,1058175
2018-02-09,2142.0,2144.0,-2.0,1097100
2018-02-12,2129.5,2130.0,-0.5,1116575
2018-02-13,2123.5,2133.5,-10.0,1275500
2018-02-14,2138.0,2141.0,-3.0,1272550
2018-02-15,2164.0,2165.0,-1.0,1303825
2018-02-16,2189.5,2180.5,9.0,1296450
2018-02-19,2266.0,2225.0,41.0,1295425
2018-02-20,2239.0,2206.0,33.0,1308525
2018-02-21,2190.0,2176.0,14.0,1314500
2018-02-22,2194.0,2182.0,12.0,1314225
2018-02-23,2210.0,2165.5,44.5,1330875
2018-02-26,2188.5,2160.5,28.0,1326825
2018-02-27,2172.5,2147.0,25.5,1318375
2018-02-28,2158.5,2138.0,20.5,1324475
2018-03-01,2143.0,2138.0,5.0,1322150
2018-03-02,2144.0,2151.5,-7.5,1323050
2018-03-05,2135.0,2140.5,-5.5,1322575
2018-03-06,2136.0,2155.0,-19.0,1320700
2018-03-07,2112.5,2132.0,-19.5,1319300
2018-03-08,2082.5,2104.0,-21.5,1315500
2018-03-09,2078.5,2099.0,-20.5,1311725
2018-03-12,2097.0,2118.0,-21.0,1306400
2018-03-13,2080.0,2101.0,-21.0,1301700
2018-03-14,2096.0,2117.0,-21.0,1295625
2018-03-15,2062.5,2086.0,-23.5,1311900
2018-03-16,2069.0,2088.5,-19.5,1306150
2018-03-19,2070.5,2092.0,-21.5,1293900
2018-03-20,2073.0,2093.5,-20.5,1288675
2018-03-21,2056.5,2079.0,-22.5,1283025
2018-03-22,2059.0,2079.0,-20.0,1279025
2018-03-23,2049.0,2072.0,-23.0,1276375
2018-03-26,2022.0,2048.0,-26.0,1273150
2018-03-27,2035.0,2056.0,-21.0,1268175
2018-03-28,2009.0,2029.0,-20.0,1261625
2018-03-29,1997.0,2014.0,-17.0,1286300
2018-04-03,2010.0,2027.0,-17.0,1281475
2018-04-04,1972.0,1990.0,-18.0,1270350
2018-04-05,1969.0,1990.0,-21.0,1265350
2018-04-06,1967.0,1988.0,-21.0,1260900
2018-04-09,2113.0,2122.0,-9.0,1254125
2018-04-10,2171.5,2175.0,-3.5,1249575
2018-04-11,2253.0,2245.0,8.0,1250775
2018-04-12,2220.5,2212.0,8.5,1345225
2018-04-13,2325.0,2303.5,21.5,1345175
2018-04-16,2358.5,2349.0,9.5,1360275
2018-04-17,2375.5,2372.0,3.5,1412400
2018-04-18,2528.5,2523.0,5.5,1412500
2018-04-19,2602.5,2587.0,15.5,1404350
2018-04-20,2463.0,2450.0,13.0,1395550
2018-04-23,2452.0,2439.0,13.0,1385025
2018-04-24,2222.0,2223.0,-1.0,1378350
2018-04-25,2248.0,2239.0,9.0,1372500
2018-04-26,2204.0,2206.0,-2.0,1362750
2018-04-27,2249.0,2248.0,1.0,1349950
2018-04-30,2224.0,2226.0,-2.0,1341375
2018-05-01,2258.0,2238.0,20.0,1325725
2018-05-02,2269.0,2270.0,-1.0,1323425
2018-05-03,2349.0,2342.0,7.0,1319300
2018-05-04,2316.0,2307.0,9.0,1310650
2018-05-08,2384.0,2363.0,21.0,1297550
2018-05-09,2295.0,2281.0,14.0,1276450
2018-05-10,2327.0,2325.5,1.5,1265175
2018-05-11,2273.5,2275.0,-1.5,1264250
2018-05-14,2285.5,2296.0,-10.5,1259300
2018-05-15,2313.0,2310.5,2.5,1247100
2018-05-16,2319.5,2312.5,7.0,1243175
2018-05-17,2280.0,2260.5,19.5,1249450
2018-05-18,2297.0,2293.5,3.5,1243850
2018-05-21,2278.5,2280.0,-1.5,1234575
2018-05-22,2265.5,2274.0,-8.5,1232775
2018-05-23,2227.0,2240.5,-13.5,1231000
2018-05-24,2271.0,2271.0,0.0,1227900
2018-05-25,2282.0,2285.0,-3.0,1222850
2018-05-29,2260.0,2263.0,-3.0,1219250
2018-05-30,2265.5,2272.5,-7.0,1210300
2018-05-31,2285.5,2286.0,-0.5,1205875
2018-06-01,2271.0,2271.0,0.0,1206375
2018-06-04,2324.5,2321.0,3.5,1199150
2018-06-05,2314.5,2315.5,-1.0,1192100
2018-06-06,2317.5,2323.0,-5.5,1186350
2018-06-07,2331.0,2337.0,-6.0,1180175
2018-06-08,2287.5,2299.5,-12.0,1175225
2018-06-11,2300.0,2297.0,3.0,1168975
2018-06-12,2309.0,2310.5,-1.5,1162650
2018-06-13,2278.0,2276.0,2.0,1153875
2018-06-14,2277.5,2266.5,11.0,1148000
2018-06-15,2239.5,2233.0,6.5,1142600
2018-06-18,2220.5,2215.5,5.0,1139575
2018-06-19,2179.0,2179.0,0.0,1136925
2018-06-20,2179.0,2176.5,2.5,1132475
2018-06-21,2167.0,2166.0,1.0,1131100
2018-06-22,2166.0,2172.0,-6.0,1128325
2018-06-25,2172.0,2167.0,5.0,1123700
2018-06-26,2152.0,2143.0,9.0,1122425
2018-06-27,2204.5,2198.0,6.5,1117475
2018-06-28,2173.0,2155.0,18.0,1112025
2018-06-29,2183.0,2160.0,23.0,1114125
2018-07-02,2153.0,2129.5,23.5,1107400
2018-07-03,2165.0,2133.0,32.0,1108900
2018-07-04,2120.5,2100.0,20.5,1104600
2018-07-05,2127.0,2101.0,26.0,1106600
2018-07-06,2098.5,2072.0,26.5,1105975
2018-07-09,2135.5,2106.0,29.5,1115250
2018-07-10,2140.5,2109.5,31.0,1116550
2018-07-11,2120.5,2079.0,41.5,1120525
2018-07-12,2104.5,2057.0,47.5,1134600
2018-07-13,2102.0,2051.5,50.5,1144700
2018-07-16,2130.0,2062.0,68.0,1155700
2018-07-17,2110.0,2065.0,45.0,1175075
2018-07-18,2040.0,2025.0,15.0,1198875
2018-07-19,2062.0,2025.0,37.0,1203975
2018-07-20,2075.0,2031.0,44.0,1208400
2018-07-23,2130.0,2077.0,53.0,1209275
2018-07-24,2082.0,2097.0,-15.0,1212125
2018-07-25,2056.5,2074.0,-17.5,1209225
2018-07-26,2054.0,2065.5,-11.5,1207600
2018-07-27,2055.0,2069.0,-14.0,1200025
2018-07-30,2054.0,2074.0,-20.0,1198250
2018-07-31,2061.0,2076.0,-15.0,1196300
2018-08-01,2036.0,2057.5,-21.5,1195150
2018-08-02,2023.0,2047.0,-24.0,1192075
2018-08-03,2016.0,2041.0,-25.0,1185275
2018-08-06,2000.5,2028.0,-27.5,1177550
2018-08-07,2026.5,2053.0,-26.5,1170300
2018-08-08,2022.0,2045.0,-23.0,1162750
2018-08-09,2118.0,2138.0,-20.0,1154050
2018-08-10,2039.0,2061.0,-22.0,1149825
2018-08-13,2052.0,2077.0,-25.0,1140900
2018-08-14,2038.0,2064.0,-26.0,1135925
2018-08-15,1994.5,2023.0,-28.5,1131275
2018-08-16,1998.0,2024.0,-26.0,1124150
2018-08-17,1999.0,2026.0,-27.0,1120250
2018-08-20,2033.0,2065.5,-32.5,1115725
2018-08-21,2040.5,2065.0,-24.5,1108525
2018-08-22,2038.5,2063.5,-25.0,1102450
2018-08-23,2021.5,2044.0,-22.5,1099975
2018-08-24,2062.0,2085.5,-23.5,1095125
2018-08-28,2088.0,2115.0,-27.0,1089275
2018-08-29,2116.0,2142.0,-26.0,1075750
2018-08-30,2127.0,2149.0,-22.0,1073050
2018-08-31,2112.0,2139.0,-27.0,1070750
2018-09-03,2083.5,2110.0,-26.5,1068675
2018-09-04,2040.0,2070.0,-30.0,1067075
2018-09-05,2046.0,2077.0,-31.0,1064450
2018-09-06,2030.5,2062.5,-32.0,1062700
2018-09-07,2030.0,2065.5,-35.5,1061575
2018-09-10,2000.0,2036.5,-36.5,1059825
2018-09-11,2035.0,2074.0,-39.0,1054525
2018-09-12,1981.5,2023.0,-41.5,1052975
2018-09-13,2014.5,2051.0,-36.5,1051200
2018-09-14,2015.5,2054.0,-38.5,1046700
2018-09-17,1985.0,2017.5,-32.5,1041025
2018-09-18,2012.0,2041.0,-29.0,1035275
2018-09-19,1981.0,2020.0,-39.0,1034625
2018-09-20,2018.5,2048.0,-29.5,1030200
2018-09-21,2034.0,2067.0,-33.0,1022450
2018-09-24,2035.0,2066.0,-31.0,1013050
2018-09-25,2020.0,2054.5,-34.5,1006775
2018-09-26,2056.5,2081.0,-24.5,999925
2018-09-27,2030.0,2051.5,-21.5,994625
2018-09-28,2011.5,2034.0,-22.5,990550
2018-10-01,2047.5,2064.0,-16.5,987800
2018-10-02,2080.0,2093.0,-13.0,983250
2018-10-03,2166.5,2176.0,-9.5,979800
2018-10-04,2243.5,2251.0,-7.5,974075
2018-10-05,2140.0,2150.5,-10.5,966900
2018-10-08,2073.5,2078.5,-5.0,963350
2018-10-09,2031.5,2041.0,-9.5,955950
2018-10-10,2029.0,2038.0,-9.0,948425
2018-10-11,2024.0,2028.5,-4.5,941500
2018-10-12,2045.0,2048.0,-3.0,933500
2018-10-15,2028.0,2031.0,-3.0,926100
2018-10-16,2022.0,2024.0,-2.0,996875
2018-10-17,2018.0,2023.5,-5.5,1082600
2018-10-18,2007.5,2012.5,-5.0,1072950
2018-10-19,2022.5,2024.0,-1.5,1066725
2018-10-22,2002.5,2013.0,-10.5,1062350
2018-10-23,1997.0,2016.0,-19.0,1056700
2018-10-24,1987.5,2005.0,-17.5,1052025
2018-10-25,1981.0,1998.5,-17.5,1049525
2018-10-26,1961.0,1978.0,-17.0,1049175
2018-10-29,1980.5,2000.5,-20.0,1048625
2018-10-30,1952.0,1972.5,-20.5,1048825
