DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_HORIZ,METHODOLOGY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,BASE_PER
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-03,3.27135,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2021-04,3.33488,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2020-01,5.0745,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-11,6.45805,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2022-12,6.38934,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2018-07,6.553,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-06,6.004775,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-07,5.829275,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-08,5.48894,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-09,5.344725,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-10,5.18005,A,0,2,
OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),IND,M,IR3TIB,PA,_Z,_Z,_Z,_Z,N,2019-11,5.02596,A,0,2,
