date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr,vm_inr,im_required_inr,net_margin_cash_inr,cum_vm_inr,lme_cash_usd_t,event
2022-03-08,True,BOOK,1143200.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1143200.85,1143200.85,0.0,0.0,0.0,0.0,3500.5,E1_LME_CRASH
2022-03-09,True,BOOK,-282437.24,4411058.05,0.0,-1750705.95,0.0,-2713471.58,0.0,-1739589.77,0.0,-2075146.49,-931945.64,0.0,44160747.52,-44443184.77,0.0,3532.0,E1_LME_CRASH
2022-03-10,True,BOOK,0.0,41005.79,0.0,-1735963.13,227699.01,-42817.71,0.0,-929038.96,-0.0,-2439114.99,-3371060.64,1193055.94,44041441.93,1312361.53,1193055.94,3535.0,E1_LME_CRASH
2022-03-11,True,BOOK,38922624.2,-831314.56,0.0,-1695910.72,0.0,10944.97,0.0,4430157.35,0.0,40836501.24,37465440.6,7388669.54,53951961.42,-2590787.01,8581725.48,3472.0,E1_LME_CRASH
2022-03-14,True,BOOK,-1061573.82,-888147.55,0.0,-5033252.98,0.0,21425.7,0.0,-1367111.63,0.0,-8328660.28,29136780.32,10417361.61,52910225.26,11459097.77,18999087.09,3399.0,E1_LME_CRASH
2022-03-15,True,BOOK,0.0,-1952429.45,0.0,-1584157.93,0.0,-12534.02,0.0,2338330.26,0.0,-1210791.14,27925989.18,29571401.38,49953085.12,32528541.52,48570488.47,3217.5,E1_LME_CRASH
2022-03-16,True,BOOK,0.0,907750.82,0.0,1327392.81,0.0,-24298.39,0.0,-1399856.42,-0.0,810988.81,28736977.99,-12477693.76,51200854.5,-13725463.14,36092794.71,3306.0,E1_LME_CRASH
2022-03-17,True,BOOK,0.0,-191660.09,0.0,1311107.93,790442.44,-47706.97,0.0,820762.14,0.0,2682945.45,31419923.44,5085882.01,50692266.3,5594470.21,41178676.72,3288.0,E1_LME_CRASH
2022-03-18,True,BOOK,-431336.63,1019186.8,0.0,1345163.63,0.0,23989.41,0.0,-863637.96,-0.0,1093365.24,32513288.68,-15862660.69,52278532.37,-17448926.76,25316016.04,3380.5,E1_LME_CRASH
2022-03-21,True,BOOK,-361649.58,1575815.85,0.0,4200267.04,0.0,77744.83,0.0,-1147745.47,0.0,4344432.68,36857721.36,-22213245.51,54499856.92,-24434570.06,3102770.53,3518.0,E1_LME_CRASH
2022-03-22,True,BOOK,0.0,409238.98,0.0,1410656.84,0.0,-73673.09,0.0,-800609.73,0.0,945613.01,37803334.36,-3916555.19,54924020.48,-4479825.14,-813784.67,3550.5,E1_LME_CRASH
2022-03-23,True,BOOK,673298.08,-166641.92,0.0,1409043.41,0.0,-291734.86,0.0,775157.83,-0.0,2399122.56,40202456.92,-3716823.75,76438177.47,-25365886.72,-4530608.42,3560.0,E1_LME_CRASH
2022-03-24,True,BOOK,0.0,2089216.78,0.0,2149514.78,0.0,-24942.79,0.0,1999684.12,0.0,6213472.89,46415929.81,-21920811.47,78630258.62,-24112892.62,-26451419.89,3664.0,E1_LME_CRASH
2022-03-25,True,BOOK,0.0,-1677030.81,0.0,2107885.64,0.0,-177485.05,0.0,-653340.29,-0.0,-399970.51,46015959.3,19646683.41,76665590.28,21611351.76,-6804736.47,3583.0,E1_LME_CRASH
