date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr,vm_inr,im_required_inr,net_margin_cash_inr,cum_vm_inr,lme_cash_usd_t,event
2022-03-08,True,BOOK,87459871.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,87459871.99,87459871.99,0.0,0.0,0.0,0.0,3500.5,E1_LME_CRASH
2022-03-09,True,BOOK,-282437.24,5179089.97,0.0,-507451.0,0.0,-528914.8,0.0,-1998273.51,0.0,1862013.42,89321885.42,0.0,44160747.52,-44443184.77,0.0,3532.0,E1_LME_CRASH
2022-03-10,True,BOOK,0.0,114775.8,0.0,-503177.72,227699.01,1222100.79,0.0,-1061248.31,0.0,149.57,89322034.98,1193055.94,44041441.93,1312361.53,1193055.94,3535.0,E1_LME_CRASH
2022-03-11,True,BOOK,38922624.2,-2397168.03,0.0,-491568.32,0.0,-416686.35,0.0,5282328.78,-0.0,40899530.28,130221565.26,7388669.54,53951961.42,-2590787.01,8581725.48,3472.0,E1_LME_CRASH
2022-03-14,True,BOOK,-1061573.82,-2729974.92,0.0,-1458913.91,0.0,-730254.8,0.0,-1647325.89,0.0,-7628043.33,122593521.93,10417361.61,52910225.26,11459097.77,18999087.09,3399.0,E1_LME_CRASH
2022-03-15,True,BOOK,0.0,-6730410.65,0.0,-459176.21,0.0,920414.63,0.0,3033667.67,0.0,-3235504.56,119358017.38,29571401.38,49953085.12,32528541.52,48570488.47,3217.5,E1_LME_CRASH
2022-03-16,True,BOOK,0.0,3262507.93,0.0,-1477259.74,0.0,842099.11,0.0,-1764763.0,-0.0,862584.3,120220601.68,-12477693.76,51200854.5,-13725463.14,36092794.71,3306.0,E1_LME_CRASH
2022-03-17,True,BOOK,0.0,-654437.9,0.0,-1459136.25,790442.44,1585488.2,0.0,1052992.6,-0.0,1315349.1,121535950.77,5085882.01,50692266.3,5594470.21,41178676.72,3288.0,E1_LME_CRASH
2022-03-18,True,BOOK,-431336.63,3310092.94,0.0,-1497036.94,0.0,-1140899.65,0.0,-1048164.85,-0.0,-807345.14,120728605.64,-15862660.69,52278532.37,-17448926.76,25316016.04,3380.5,E1_LME_CRASH
2022-03-21,True,BOOK,-361649.58,4877028.81,0.0,-4674490.74,0.0,-694391.44,0.0,-1267125.22,0.0,-2120628.16,118607977.48,-22213245.51,54499856.92,-24434570.06,3102770.53,3518.0,E1_LME_CRASH
2022-03-22,True,BOOK,0.0,1109306.98,0.0,-1569924.55,0.0,657542.92,0.0,-912610.53,-0.0,-715685.18,117892292.29,-3916555.19,54924020.48,-4479825.14,-813784.67,3550.5,E1_LME_CRASH
2022-03-23,True,BOOK,34720417.65,29671.05,0.0,-1568128.96,0.0,-1885657.91,0.0,813745.27,-0.0,32110047.1,150002339.4,-3716823.75,76438177.47,-25365886.72,-4530608.42,3560.0,E1_LME_CRASH
2022-03-24,True,BOOK,0.0,5145742.62,0.0,-2392201.93,0.0,216406.55,0.0,2383891.45,0.0,5353838.69,155356178.09,-21920811.47,78630258.62,-24112892.62,-26451419.89,3664.0,E1_LME_CRASH
2022-03-25,True,BOOK,0.0,-3956264.5,0.0,-2345872.72,0.0,1482602.47,0.0,-690992.94,0.0,-5510527.7,149845650.39,19646683.41,76665590.28,21611351.76,-6804736.47,3583.0,E1_LME_CRASH
2022-03-28,True,BOOK,0.0,1105827.7,0.0,-7055080.74,0.0,420403.9,0.0,796478.34,-0.0,-4732370.81,145113279.58,-4066942.34,77072284.51,-4473636.57,-10871678.81,3606.0,E1_LME_CRASH
2022-03-29,True,BOOK,-196560.0,-1061128.07,0.0,-2336401.23,0.0,2631067.88,0.0,3062387.63,-0.0,2099366.2,147212645.78,8805018.75,76191782.64,9685520.62,-2066660.07,3583.0,E1_LME_CRASH
2022-03-30,True,BOOK,-377648.79,-3397978.56,0.0,-2286337.61,0.0,-454317.66,0.0,-1072429.3,0.0,-7588711.92,139623933.86,15132498.55,74678532.78,16645748.4,13065838.48,3508.0,E1_LME_CRASH
2022-03-31,True,BOOK,0.0,-223633.58,0.0,-2281893.15,0.0,256901.28,0.0,-742805.87,0.0,-2991431.32,136632502.54,1640841.05,74514448.68,1804925.16,14706679.53,3503.0,E1_LME_CRASH
2022-04-01,True,BOOK,0.0,-881142.63,0.0,-2264745.27,0.0,-1024778.03,0.0,227746.83,-0.0,-3942919.1,132689583.44,2284317.0,74286016.97,2512748.7,16990996.53,3483.0,E1_LME_CRASH
2022-04-04,True,BOOK,-196560.0,-1697250.47,0.0,-6738488.7,0.0,2409498.87,0.0,461048.28,-0.0,-5761752.01,126927831.43,13028298.46,72983187.13,14331128.31,30019294.99,3444.0,E1_LME_CRASH
2022-04-05,True,BOOK,-124190.0,-1199909.96,0.0,-2214512.0,0.0,630117.31,0.0,1858852.01,0.0,-1049642.63,125878188.8,8067419.67,72176445.16,8874161.64,38086714.66,3415.0,E1_LME_CRASH
2022-04-06,True,BOOK,14959244.78,1168271.79,0.0,-2233193.79,0.0,-1004599.98,0.0,-444892.36,-0.0,12444830.43,138323019.22,-10773333.6,85580816.69,-24258173.19,27313381.07,3443.5,E1_LME_CRASH
2022-04-07,True,BOOK,-196560.0,-7839736.79,0.0,-2922121.35,5911.97,-556063.14,0.0,1299560.03,0.0,-10209009.28,128114009.94,22615777.19,83319238.97,24877354.9,49929158.25,3346.0,E1_LME_CRASH
2022-04-08,True,BOOK,0.0,3906346.55,0.0,-2974416.63,0.0,214977.55,0.0,70799.48,-0.0,1217706.95,129331716.89,-10635836.45,84382822.61,-11699420.09,39293321.8,3395.0,E1_LME_CRASH
2022-04-11,True,BOOK,0.0,-12637443.85,0.0,-8490043.74,0.0,-39932.66,0.0,-2969288.25,0.0,-24136708.5,105195008.38,39921220.19,80390700.59,43913342.2,79214541.99,3234.5,E1_LME_CRASH
2022-04-12,True,BOOK,-407085.24,-1524107.55,0.0,-2803268.66,0.0,-561413.39,0.0,3867636.94,0.0,-1428237.89,103766770.49,1995072.87,80191193.31,2194580.16,81209614.86,3214.5,E1_LME_CRASH
2022-04-13,True,BOOK,-264800.0,-567238.24,0.0,-2819472.49,0.0,-28695.72,0.0,306588.72,-0.0,-3373617.73,100393152.76,1800405.99,80011152.71,1980446.59,83010020.85,3207.0,E1_LME_CRASH
2022-04-14,True,BOOK,-188557.73,2292209.41,0.0,-2847424.26,-8901.78,-40709.34,0.0,-813994.17,0.0,-1607377.86,98785774.9,-6936465.51,80704799.26,-7630112.06,76073555.34,3237.5,E1_LME_CRASH
