date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr,vm_inr,im_required_inr,net_margin_cash_inr,cum_vm_inr,lme_cash_usd_t,event
2022-03-08,True,BOOK,1143200.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1143200.85,1143200.85,0.0,0.0,0.0,0.0,3500.5,E1_LME_CRASH
2022-03-09,True,BOOK,-277462.5,4411058.05,0.0,-1750705.95,0.0,-2713471.58,0.0,-1739589.77,0.0,-2070171.75,-926970.9,0.0,42502500.0,-42779962.5,0.0,3532.0,E1_LME_CRASH
2022-03-10,True,BOOK,0.0,41005.79,15986738.64,-1735963.13,227699.01,-42817.71,0.0,-933400.65,-0.0,13543261.96,12616291.06,17175000.0,40785000.0,18892500.0,17175000.0,3535.0,E1_LME_CRASH
2022-03-11,True,BOOK,35203688.79,-831314.56,-27488669.54,-1695910.72,0.0,10944.97,0.0,4435165.89,-0.0,9633904.83,22250195.89,-20100000.0,53253050.0,-32636413.05,-2925000.0,3472.0,E1_LME_CRASH
2022-03-14,True,BOOK,-1061573.82,-888147.55,-850235.67,-5033252.98,0.0,21425.7,0.0,-1376183.68,0.0,-9187968.0,13062227.89,1406000.0,53112450.0,1546600.0,-1519000.0,3399.0,E1_LME_CRASH
2022-03-15,True,BOOK,0.0,-1952429.45,-5839882.47,-1584157.93,0.0,-12534.02,0.0,2332938.75,0.0,-7056065.13,6006162.77,18650000.0,51247450.0,20515000.0,17131000.0,3217.5,E1_LME_CRASH
2022-03-16,True,BOOK,0.0,907750.82,8043173.07,1327392.81,0.0,-24298.39,0.0,-1408374.75,-0.0,8845643.55,14851806.32,8840000.0,50363450.0,9724000.0,25971000.0,3306.0,E1_LME_CRASH
2022-03-17,True,BOOK,0.0,-191660.09,-3969331.31,1311107.93,790442.44,-47706.97,0.0,818347.1,0.0,-1288800.9,13563005.41,-116000.0,50375050.0,-127600.0,25855000.0,3288.0,E1_LME_CRASH
2022-03-18,True,BOOK,-431336.63,1019186.8,3338832.06,1345163.63,0.0,23989.41,0.0,-867542.31,-0.0,4428292.95,17991298.36,-10888500.0,51463900.0,-11977350.0,14966500.0,3380.5,E1_LME_CRASH
2022-03-21,True,BOOK,-361649.58,1575815.85,5678085.25,4200267.04,0.0,77744.83,0.0,-1155186.18,0.0,10015077.21,28006375.57,-4514500.0,51915350.0,-4965950.0,10452000.0,3518.0,E1_LME_CRASH
2022-03-22,True,BOOK,0.0,409238.98,-2304048.25,1410656.84,0.0,-73673.09,0.0,-795875.6,0.0,-1353701.12,26652674.45,-14964000.0,53659650.0,-16845259.2,-4512000.0,3550.5,E1_LME_CRASH
2022-03-23,True,BOOK,672986.83,-166641.92,-11574916.67,1409043.41,0.0,-291734.86,0.0,6019329.97,-0.0,-3931933.24,22720741.21,-19074000.0,76813275.0,-42362842.22,-23586000.0,3560.0,E1_LME_CRASH
