date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr,usdinr,fx_delta_usd,fx_delta_physical_usd,fx_delta_forwards_usd,event
2022-04-06,True,BOOK,631780.23,795268.24,0.0,2006637.9,0.0,1196900.15,0.0,-451479.11,-0.0,4179107.4,70966572.65,75.8348,3826364.27,3651533.04,11460483.04,E2_INR_DEPRECIATION
2022-04-07,True,BOOK,0.0,-6280990.54,0.0,2625674.25,5911.97,588576.72,0.0,1177473.48,0.0,-1883354.13,69083218.52,75.9903,3801354.06,3306421.92,11459389.31,E2_INR_DEPRECIATION
2022-04-08,True,BOOK,0.0,3202257.59,0.0,2672664.22,0.0,-506949.2,0.0,27194.52,-0.0,5395167.14,74478385.66,75.8577,3877072.99,3542602.84,11458301.03,E2_INR_DEPRECIATION
2022-04-11,True,BOOK,0.0,-10599531.64,0.0,7628734.95,0.0,83502.28,0.0,-3023678.08,0.0,-5910972.49,68567413.17,75.8794,3811304.81,2951161.58,11454678.85,E2_INR_DEPRECIATION
2022-04-12,True,BOOK,-407085.24,-1368942.53,0.0,2518879.09,0.0,1112943.61,0.0,3749852.19,-0.0,5605647.13,74173060.3,76.1702,3873223.67,4912599.62,9488519.9,E2_INR_DEPRECIATION
2022-04-13,True,BOOK,-116600.0,-521233.08,0.0,2533439.05,0.0,58100.34,0.0,258579.6,0.0,2212285.9,76385346.2,76.1851,5086801.8,4926286.68,10662719.98,E2_INR_DEPRECIATION
2022-04-14,True,BOOK,-188557.73,2155525.82,0.0,2558555.13,-8901.78,-284529.0,0.0,-842595.11,0.0,3389497.33,79774843.53,76.1298,5258912.55,5077814.55,10782045.24,E2_INR_DEPRECIATION
2022-04-19,True,BOOK,0.0,5321242.9,0.0,12540512.62,0.0,1831334.74,0.0,-4303436.49,-0.0,15389653.77,95164497.31,76.4638,5000421.55,7027116.06,8812374.96,E2_INR_DEPRECIATION
2022-04-20,True,BOOK,-0.0,-4713603.15,0.0,2427951.28,0.0,-806048.15,0.0,-2278127.17,0.0,-5369827.19,89794670.11,76.3018,-6111557.35,6324234.01,8811630.59,E2_INR_DEPRECIATION
2022-04-21,True,BOOK,47602722.62,-4282971.78,0.0,2436348.12,0.0,590517.7,0.0,5482495.3,-0.0,51829111.96,141623782.07,76.2056,4437458.2,9479168.43,7530501.54,E2_INR_DEPRECIATION
2022-04-22,True,BOOK,0.0,-817899.67,0.0,2422947.26,0.0,1051112.96,0.0,534862.71,-0.0,3191023.26,144814805.34,76.4485,4038838.57,9009915.58,7529865.91,E2_INR_DEPRECIATION
2022-04-25,True,BOOK,19260523.74,-5584395.25,0.0,6954300.03,0.0,640400.03,0.0,-758939.63,-0.0,20511888.92,165326694.25,76.6062,2090194.99,4034364.97,7527149.73,E2_INR_DEPRECIATION
2022-04-26,True,BOOK,12787471.59,-155819.96,0.0,1544227.12,0.0,-84728.71,0.0,1203259.41,0.0,15294409.44,180621103.7,76.566,3444478.44,806101.86,7527191.9,E2_INR_DEPRECIATION
2022-04-27,True,BOOK,0.0,-48645.1,0.0,981636.49,0.0,133066.6,0.0,-118449.59,0.0,947608.39,181568712.09,76.6045,5456611.96,405419.9,7526687.3,E2_INR_DEPRECIATION
2022-04-28,True,BOOK,-1192701.52,-2386903.58,0.0,971729.62,0.0,244673.92,0.0,-78179.77,0.0,-2441381.33,179127330.76,76.6495,5079131.57,702.31,7526112.33,E2_INR_DEPRECIATION
2022-04-29,True,BOOK,0.0,-1564038.55,0.0,964249.53,0.0,-724576.12,0.0,-840654.31,-0.0,-2165019.45,176962311.31,76.5066,4675675.52,-423416.97,7525356.28,E2_INR_DEPRECIATION
