event,metric,value,note
E1_LME_CRASH,window_start,2022-03-07,
E1_LME_CRASH,window_end,2022-07-15,
E1_LME_CRASH,lme_cash_start_usd_t,3984.5,
E1_LME_CRASH,lme_cash_end_usd_t,2320.5,
E1_LME_CRASH,lme_change_frac,-0.41761827079934744,
E1_LME_CRASH,book_pnl_window_inr,210503943.09067422,
E1_LME_CRASH,bucket_new_deal_inr,127823155.24523202,
E1_LME_CRASH,bucket_lme_flat_inr,-44751590.87019262,
E1_LME_CRASH,bucket_cross_exchange_basis_inr,0.0,
E1_LME_CRASH,bucket_grade_spread_inr,128797180.18890846,
E1_LME_CRASH,bucket_freight_inr,1167793.165997002,
E1_LME_CRASH,bucket_fx_inr,14360074.692006133,
E1_LME_CRASH,bucket_demurrage_penalty_inr,0.0,
E1_LME_CRASH,bucket_roll_term_structure_inr,-16892669.331276607,
E1_LME_CRASH,lme_flat_physical_inr,-263478428.62704775,
E1_LME_CRASH,lme_flat_inventory_mark_inr,-261508639.8668258,the part of the physical leg that is the replacement-value mark on unsold cargo (design D5)
E1_LME_CRASH,lme_flat_mcx_inr,218726837.75685516,
E1_LME_CRASH,hedge_offset_frac,0.8301508358639172,
E1_LME_CRASH,grade_spread_offset_inr,128797180.18890846,"scrap stickiness in a falling market (scrap_grades.yaml grade_falling_market_logic); the grade factors are an ASSUMPTION reconstruction, not an observed spread"
E1_LME_CRASH,counterfactual_no_mcx_pnl_inr,13387881.336019255,
E1_LME_CRASH,hedge_benefit_inr,197116061.75465497,"book minus the same book without MCX, including the margin-funding difference"
E1_LME_CRASH,mcx_vm_window_inr,201024143.75782192,
E1_LME_CRASH,mcx_vm_crash_fortnight_inr,64951870.07761393,
E1_LME_CRASH,crash_fortnight_start,2022-04-22,
E1_LME_CRASH,crash_fortnight_end,2022-05-09,
E1_LME_CRASH,crash_fortnight_change_frac,-0.16522811344019728,
E1_LME_CRASH,peak_cumulative_margin_outflow_inr,-105707065.17502223,"measured from WINDOW_START; a short pays margin when the market RISES, so for this book the peak strain is at 2022-03-24, before the trough, not in the crash"
E1_LME_CRASH,peak_cumulative_margin_outflow_date,2022-03-24,
E1_LME_CRASH,max_im_required_inr,95803037.76315548,
E1_LME_CRASH,max_im_stress_012_inr,114963645.31578656,
E1_LME_CRASH,max_im_stress_015_inr,143704556.6447332,
E1_LME_CRASH,mcx_daily_price_limit_caveat,0.09,"the MCX import-parity proxy ignores daily price limits: the near-month proxy moved -12.0% on 08-Mar-2022 against a 9% maximum slab, so a real position would have been limit-locked"
E2_INR_DEPRECIATION,window_start,2022-04-05,
E2_INR_DEPRECIATION,window_end,2022-07-14,
E2_INR_DEPRECIATION,usdinr_start,75.335,
E2_INR_DEPRECIATION,usdinr_end,80.0352,
E2_INR_DEPRECIATION,usdinr_change_frac,0.06239065507400299,
E2_INR_DEPRECIATION,book_pnl_window_inr,130110340.35067353,
E2_INR_DEPRECIATION,bucket_fx_inr,6944657.601623207,
E2_INR_DEPRECIATION,fx_physical_inr,11485168.012299802,
E2_INR_DEPRECIATION,fx_physical_usd_flows_inr,-25203508.217973743,the USD payables and receipts themselves — what the forwards were sized against
E2_INR_DEPRECIATION,fx_inventory_mark_inr,36688676.230273545,"unsold cargo marked at import replacement value is LONG USD (design D5), so it partly offsets the USD payables; a 100% forward hedge of the payable therefore leaves the book net long USD while the cargo is unsold"
E2_INR_DEPRECIATION,fx_forwards_inr,26306475.85622426,
E2_INR_DEPRECIATION,fx_mcx_inr,-30846986.266900852,a short MCX is short USD: duty-paid parity rises in rupees when the rupee weakens
E2_INR_DEPRECIATION,forward_offset_frac_vs_usd_flows,1.043762464681958,"against the USD cash legs, which is what the forwards were booked to cover"
E2_INR_DEPRECIATION,forward_offset_frac_vs_net_physical,-2.2904737508456026,against the physical INCLUDING the replacement-value mark; read it with the note above
E2_INR_DEPRECIATION,forward_cost_memo_inr,-9786253.658295672,the bank margin booked at inception plus the forward legs' carry — what the offset cost
E2_INR_DEPRECIATION,counterfactual_no_forwards_pnl_inr,113581511.45468406,
E2_INR_DEPRECIATION,forward_book_benefit_inr,16528828.895989463,
E2_INR_DEPRECIATION,customs_fx_note,,"the duty base moves on the CBIC notified rate, which is a fortnightly step, not the spot"
E3_LOGISTICS_CREDIT,window_start,2022-07-28,
E3_LOGISTICS_CREDIT,window_end,2022-10-11,
E3_LOGISTICS_CREDIT,book_pnl_window_inr,4250149.299181945,
E3_LOGISTICS_CREDIT,bucket_demurrage_penalty_inr,-1962982.906656895,
E3_LOGISTICS_CREDIT,overdue_funding_inr,-648389.3183900137,"interest on receivables past their contractual due date, routed to (f) by the §7a.1 split"
E3_LOGISTICS_CREDIT,demurrage_leg_lifetime_inr,-2336396.4750000006,"chargeable dwell beyond detention_free_days; the dwell magnitude is SIM, anchored to the real 27-Jul-2022 void calls at Nhava Sheva / Mundra"
E3_LOGISTICS_CREDIT,max_buyer_limit_utilisation_frac,0.8340987297668845,"worst name: BUY_JNPT_01; RECEIVABLE (invoiced, unpaid) summed ACROSS trades for one buyer against that buyer's credit_limit_inr — the same measure Phase 2's P04 rule enforces"
E3_LOGISTICS_CREDIT,max_buyer_contracted_utilisation_frac,2.57105294184375,"worst name: BUY_RJK_01; receivable PLUS pre-settlement (contracted, not yet invoiced, including an advance the buyer still owes). Pre-settlement is a performance risk, not credit extended, so it is reported beside the limit rather than against it"
E3_LOGISTICS_CREDIT,credit_limit_breach_days,0.0,panel days on which at least one buyer's receivable was over its limit (Phase 5 owns the tracker)
E3_LOGISTICS_CREDIT,max_days_past_due,25.0,
E3_LOGISTICS_CREDIT,counterfactual_no_events_pnl_inr,7646247.77090238,
E3_LOGISTICS_CREDIT,event_cost_inr,-3396098.4717204357,"book minus the same book without the simulated quality, dwell and payment-delay events"
E3_LOGISTICS_CREDIT,event_cost_lifetime_inr,-6539685.768838167,"the same comparison over the whole life of the book, because the quality and dwell events bite outside the E3 window as well"
E3_LOGISTICS_CREDIT,event_cost_lifetime_dwell_inr,-3989183.193156898,"extra CFS dwell attributed to the real 27-Jul-2022 void calls at Nhava Sheva / Mundra (Container News, docs/research/freight_notes.md S4); the dwell days themselves are SIM"
