date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr
2022-03-08,True,BOOK,87459871.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,87459871.99,87459871.99
2022-03-08,True,T01,87459871.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,87459871.99,87459871.99
2022-03-09,True,BOOK,-282437.24,5179089.97,0.0,-507451.0,0.0,-528914.8,0.0,-1998273.51,0.0,1862013.42,89321885.42
2022-03-09,True,T01,-282437.24,5179089.97,0.0,-507451.0,0.0,-528914.8,0.0,-1998273.51,0.0,1862013.42,89321885.42
2022-03-10,True,BOOK,0.0,114775.8,0.0,-503177.72,227699.01,1222100.79,0.0,-1061248.31,0.0,149.57,89322034.98
2022-03-10,True,T01,0.0,114775.8,0.0,-503177.72,227699.01,1222100.79,0.0,-1061248.31,0.0,149.57,89322034.98
2022-03-11,True,BOOK,38922624.2,-2397168.03,0.0,-491568.32,0.0,-416686.35,0.0,5282328.78,-0.0,40899530.28,130221565.26
2022-03-11,True,T01,0.0,-2397168.03,0.0,-491568.32,0.0,-416686.35,0.0,5282328.78,-0.0,1976906.08,91298941.06
2022-03-11,True,T02,38922624.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,38922624.2,38922624.2
2022-03-14,True,BOOK,-1061573.82,-2729974.92,0.0,-1458913.91,0.0,-730254.8,0.0,-1647325.89,0.0,-7628043.33,122593521.93
2022-03-14,True,T01,-1061573.82,-2771023.29,0.0,-1458913.91,0.0,-734858.28,0.0,-2371312.18,0.0,-8397681.48,82901259.58
2022-03-14,True,T02,0.0,41048.37,0.0,0.0,0.0,4603.48,0.0,723986.3,0.0,769638.15,39692262.35
2022-03-15,True,BOOK,0.0,-6730410.65,0.0,-459176.21,0.0,920414.63,0.0,3033667.67,0.0,-3235504.56,119358017.38
2022-03-15,True,T01,0.0,-6830311.22,0.0,-459176.21,0.0,927464.3,0.0,4043424.46,0.0,-2318598.68,80582660.9
2022-03-15,True,T02,0.0,99900.57,0.0,0.0,0.0,-7049.66,0.0,-1009756.78,0.0,-916905.88,38775356.47
2022-03-16,True,BOOK,0.0,3262507.93,0.0,-1477259.74,0.0,842099.11,0.0,-1764763.0,-0.0,862584.3,120220601.68
2022-03-16,True,T01,0.0,3311496.08,0.0,-1477259.74,0.0,846560.37,0.0,-2410976.73,-0.0,269819.99,80852480.89
2022-03-16,True,T02,0.0,-48988.15,0.0,0.0,0.0,-4461.26,0.0,646213.72,-0.0,592764.31,39368120.79
2022-03-17,True,BOOK,0.0,-654437.9,0.0,-1459136.25,790442.44,1585488.2,0.0,1052992.6,-0.0,1315349.1,121535950.77
2022-03-17,True,T01,0.0,-664487.07,0.0,-1459136.25,790442.44,1596510.05,0.0,1365734.85,-0.0,1629064.03,82481544.92
2022-03-17,True,T02,0.0,10049.17,0.0,0.0,0.0,-11021.85,0.0,-312742.26,-0.0,-313714.93,39054405.85
2022-03-18,True,BOOK,-431336.63,3310092.94,0.0,-1497036.94,0.0,-1140899.65,0.0,-1048164.85,-0.0,-807345.14,120728605.64
2022-03-18,True,T01,-431336.63,3362363.7,0.0,-1497036.94,0.0,-1130234.36,0.0,-1438198.24,-0.0,-1134442.47,81347102.45
2022-03-18,True,T02,0.0,-52270.77,0.0,0.0,0.0,-10665.29,0.0,390033.39,-0.0,327097.33,39381503.18
2022-03-21,True,BOOK,-361649.58,4877028.81,0.0,-4674490.74,0.0,-694391.44,0.0,-1267125.22,0.0,-2120628.16,118607977.48
2022-03-21,True,T01,0.0,4955048.99,0.0,-4674490.74,0.0,-700174.78,0.0,-1776707.95,-0.0,-2196324.48,79150777.97
2022-03-21,True,T02,-361649.58,-78020.18,0.0,0.0,0.0,5783.35,0.0,509582.73,0.0,75696.32,39457199.51
2022-03-22,True,BOOK,0.0,1109306.98,0.0,-1569924.55,0.0,657542.92,0.0,-912610.53,-0.0,-715685.18,117892292.29
2022-03-22,True,T01,0.0,1130932.09,0.0,-1569924.55,0.0,663316.14,0.0,-1025080.07,-0.0,-800756.39,78350021.58
2022-03-22,True,T02,0.0,-21625.11,0.0,0.0,0.0,-5773.23,0.0,112469.54,0.0,85071.2,39542270.71
2022-03-23,True,BOOK,34720417.65,29671.05,0.0,-1568128.96,0.0,-1885657.91,0.0,813745.27,-0.0,32110047.1,150002339.4
2022-03-23,True,T01,0.0,326007.4,0.0,-1568128.96,0.0,-1444541.94,0.0,76994.36,-0.0,-2609669.14,75740352.45
2022-03-23,True,T02,0.0,-296336.35,0.0,0.0,0.0,-441115.98,0.0,736750.92,-0.0,-701.41,39541569.3
2022-03-23,True,T03,34720417.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34720417.65,34720417.65
2022-03-24,True,BOOK,0.0,5145742.62,0.0,-2392201.93,0.0,216406.55,0.0,2383891.45,0.0,5353838.69,155356178.09
2022-03-24,True,T01,0.0,3537474.43,0.0,-1620523.89,0.0,144010.68,0.0,1893260.97,0.0,3954222.19,79694574.64
2022-03-24,True,T02,0.0,-68220.22,0.0,0.0,0.0,-1414.04,0.0,-414213.92,0.0,-483848.18,39057721.13
2022-03-24,True,T03,0.0,1676488.41,0.0,-771678.04,0.0,73809.9,0.0,904844.4,0.0,1883464.68,36603882.32
2022-03-25,True,BOOK,0.0,-3956264.5,0.0,-2345872.72,0.0,1482602.47,0.0,-690992.94,0.0,-5510527.7,149845650.39
2022-03-25,True,T01,0.0,-2719372.81,0.0,-1589139.59,0.0,985952.79,0.0,-566801.2,0.0,-3889360.8,75805213.84
2022-03-25,True,T02,0.0,53244.54,0.0,0.0,0.0,-8266.05,0.0,141369.1,-0.0,186347.59,39244068.72
2022-03-25,True,T03,0.0,-1290136.23,0.0,-756733.14,0.0,504915.72,0.0,-265560.85,0.0,-1807514.49,34796367.83
2022-03-28,True,BOOK,0.0,1105827.7,0.0,-7055080.74,0.0,420403.9,0.0,796478.34,-0.0,-4732370.81,145113279.58
2022-03-28,True,T01,0.0,760315.83,0.0,-4779248.25,0.0,279729.43,0.0,587944.37,-0.0,-3151258.61,72653955.22
2022-03-28,True,T02,0.0,-15183.44,0.0,0.0,0.0,-2445.92,0.0,-82436.93,-0.0,-100066.29,39144002.43
2022-03-28,True,T03,0.0,360695.3,0.0,-2275832.5,0.0,143120.39,0.0,290970.91,-0.0,-1481045.9,33315321.93
2022-03-29,True,BOOK,-196560.0,-1061128.07,0.0,-2336401.23,0.0,2631067.88,0.0,3062387.63,-0.0,2099366.2,147212645.78
2022-03-29,True,T01,-196560.0,-730066.66,0.0,-1582723.42,0.0,1750539.1,0.0,2402205.14,0.0,1643394.16,74297349.39
2022-03-29,True,T02,0.0,15231.03,0.0,0.0,0.0,-14783.91,0.0,-481384.78,-0.0,-480937.66,38663064.77
2022-03-29,True,T03,0.0,-346292.44,0.0,-753677.82,0.0,895312.69,0.0,1141567.27,0.0,936909.69,34252231.62
2022-03-30,True,BOOK,-377648.79,-3397978.56,0.0,-2286337.61,0.0,-454317.66,0.0,-1072429.3,0.0,-7588711.92,139623933.86
2022-03-30,True,T01,0.0,-2338833.61,0.0,-1548809.35,0.0,-242171.48,0.0,-863310.72,0.0,-4993125.16,69304224.23
2022-03-30,True,T02,0.0,50178.43,0.0,0.0,0.0,2897.88,0.0,195433.09,0.0,248509.4,38911574.16
2022-03-30,True,T03,-377648.79,-1109323.38,0.0,-737528.26,0.0,-215044.06,0.0,-404551.67,-0.0,-2844096.16,31408135.47
2022-03-31,True,BOOK,0.0,-223633.58,0.0,-2281893.15,0.0,256901.28,0.0,-742805.87,0.0,-2991431.32,136632502.54
2022-03-31,True,T01,0.0,-153959.56,0.0,-1545798.58,0.0,137172.81,0.0,-586686.5,0.0,-2149271.82,67154952.41
2022-03-31,True,T02,0.0,3345.93,0.0,0.0,0.0,-1749.51,0.0,120005.11,0.0,121601.53,39033175.7
2022-03-31,True,T03,0.0,-73019.96,0.0,-736094.56,0.0,121477.98,0.0,-276124.49,-0.0,-963761.03,30444374.44
2022-04-01,True,BOOK,0.0,-881142.63,0.0,-2264745.27,0.0,-1024778.03,0.0,227746.83,-0.0,-3942919.1,132689583.44
2022-04-01,True,T01,0.0,-606799.49,0.0,-1534182.28,0.0,-549310.85,0.0,213257.99,-0.0,-2477034.64,64677917.77
2022-04-01,True,T02,0.0,13433.45,0.0,0.0,0.0,7185.2,0.0,-81075.52,-0.0,-60456.87,38972718.82
2022-04-01,True,T03,0.0,-287776.59,0.0,-730562.99,0.0,-482652.38,0.0,95564.36,-0.0,-1405427.59,29038946.84
2022-04-04,True,BOOK,-196560.0,-1697250.47,0.0,-6738488.7,0.0,2409498.87,0.0,461048.28,-0.0,-5761752.01,126927831.43
2022-04-04,True,T01,-196560.0,-1169425.34,0.0,-4564782.67,0.0,1297827.68,0.0,291624.37,-0.0,-4341315.96,60336601.81
2022-04-04,True,T02,0.0,26745.66,0.0,0.0,0.0,-15863.92,0.0,-7519.78,0.0,3361.96,38976080.79
