date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr
2022-03-08,True,BOOK,1143200.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1143200.85,1143200.85
2022-03-08,True,T01,1143200.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1143200.85,1143200.85
2022-03-09,True,BOOK,-277462.5,4411058.05,0.0,-1750705.95,0.0,-2713471.58,0.0,-1739589.77,0.0,-2070171.75,-926970.9
2022-03-09,True,T01,-277462.5,4411058.05,0.0,-1750705.95,0.0,-2713471.58,0.0,-1739589.77,0.0,-2070171.75,-926970.9
2022-03-10,True,BOOK,0.0,41005.79,15986738.64,-1735963.13,227699.01,-42817.71,0.0,-933400.65,-0.0,13543261.96,12616291.06
2022-03-10,True,T01,0.0,41005.79,15986738.64,-1735963.13,227699.01,-42817.71,0.0,-933400.65,-0.0,13543261.96,12616291.06
2022-03-11,True,BOOK,35203688.79,-831314.56,-27488669.54,-1695910.72,0.0,10944.97,0.0,4435165.89,-0.0,9633904.83,22250195.89
2022-03-11,True,T01,0.0,-831314.56,-27488669.54,-1695910.72,0.0,10944.97,0.0,4435165.89,0.0,-25569783.96,-12953492.9
2022-03-11,True,T02,35203688.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,35203688.79,35203688.79
2022-03-14,True,BOOK,-1061573.82,-888147.55,-850235.67,-5033252.98,0.0,21425.7,0.0,-1376183.68,0.0,-9187968.0,13062227.89
2022-03-14,True,T01,-1061573.82,-929195.92,-11136037.85,-5033252.98,0.0,16822.22,0.0,-2099682.42,-0.0,-20242920.78,-33196413.68
2022-03-14,True,T02,0.0,41048.37,10285802.18,0.0,0.0,4603.48,0.0,723498.74,0.0,11054952.78,46258641.57
2022-03-15,True,BOOK,0.0,-1952429.45,-5839882.47,-1584157.93,0.0,-12534.02,0.0,2332938.75,0.0,-7056065.13,6006162.77
2022-03-15,True,T01,0.0,-2052330.02,-6934387.16,-1584157.93,0.0,-5484.36,0.0,3342037.29,0.0,-7234322.18,-40430735.85
2022-03-15,True,T02,0.0,99900.57,1094504.68,0.0,0.0,-7049.66,0.0,-1009098.54,0.0,178257.05,46436898.62
2022-03-16,True,BOOK,0.0,907750.82,8043173.07,1327392.81,0.0,-24298.39,0.0,-1408374.75,-0.0,8845643.55,14851806.32
2022-03-16,True,T01,0.0,956738.97,18114793.53,1327392.81,0.0,-19837.13,0.0,-2054105.23,-0.0,18324982.94,-22105752.92
2022-03-16,True,T02,0.0,-48988.15,-10071620.46,0.0,0.0,-4461.26,0.0,645730.48,-0.0,-9479339.39,36957559.23
2022-03-17,True,BOOK,0.0,-191660.09,-3969331.31,1311107.93,790442.44,-47706.97,0.0,818347.1,0.0,-1288800.9,13563005.41
2022-03-17,True,T01,0.0,-201709.26,-1681974.2,1311107.93,790442.44,-36685.12,0.0,1130655.6,0.0,1311837.39,-20793915.53
2022-03-17,True,T02,0.0,10049.17,-2287357.11,0.0,0.0,-11021.85,0.0,-312308.5,0.0,-2600638.29,34356920.94
2022-03-18,True,BOOK,-431336.63,1019186.8,3338832.06,1345163.63,0.0,23989.41,0.0,-867542.31,-0.0,4428292.95,17991298.36
