date,scope,trade_id,in_window,buyer_id,supplier_id,mtm_inr,cum_pnl_inr,cash_balance_inr,mcx_im_inr,lme_delta_inr_per_usd_t,lme_delta_mt,lme_delta_usd,lme_delta_physical_mt,lme_delta_mcx_mt,hedge_ratio_lme_frac,mcx_lots_open,mcx_basis_delta_inr_per_inr_kg,fx_delta_usd,fx_delta_physical_usd,fx_delta_forwards_usd,fx_delta_mcx_usd,hedge_ratio_fx_frac,customs_fx_delta_usd,freight_delta_inr_per_usd_t_jea_nsa,freight_delta_inr_per_usd_t_usec_mun,freight_open_mt_jea_nsa,freight_open_mt_usec_mun,freight_open_boxes,grade_delta_inr_per_0p01_zorba,grade_delta_inr_per_0p01_taint_tabor,grade_delta_inr_per_0p01_tense,grade_exposure_mt_zorba,grade_exposure_mt_taint_tabor,grade_exposure_mt_tense,spread_delta_inr_per_usd_t,inr_rate_delta_inr_per_bp,usd_rate_delta_inr_per_bp,wc_rate_delta_inr_per_bp,lme_fx_cross_inr,phys_purchased_mt,phys_sold_mt,unsold_mt,purchase_priced_frac,sale_priced_frac,buyer_receivable_inr,buyer_presettlement_inr,supplier_exposure_inr,days_past_due
2022-03-08,book,BOOK,True,BOOK,BOOK,1732880.85,1732880.85,0.0,0.0,140033.59,1817.4143,6361858.75,1817.4143,0.0,-0.0,0,0.0,21651.31,21651.31,0.0,0.0,,843.13,0.0,-200914.81,0.0,2520.0,120,7041231.31,0.0,0.0,2520.0,0.0,0.0,-140033.59,-436.52,446.1,0.0,17.69,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-08,trade,T01,True,,SUP_USEC_01,1732880.85,1732880.85,0.0,0.0,140033.59,1817.4143,6361858.75,1817.4143,0.0,-0.0,0,0.0,21651.31,21651.31,0.0,0.0,,843.13,0.0,-200914.81,0.0,2520.0,120,7041231.31,0.0,0.0,2520.0,0.0,0.0,-140033.59,-436.52,446.1,0.0,17.69,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-09,book,BOOK,True,BOOK,BOOK,2678665.19,2396227.95,-44443184.77,44160747.52,13668.6,178.4494,630283.2,1811.2647,-1632.8153,0.901478,-300,-1500450.0,-5733293.87,33809.82,0.0,-5767103.69,,1160.49,0.0,-199735.97,0.0,2520.0,120,7038514.77,0.0,0.0,2520.0,0.0,0.0,-138736.54,-6436.68,303.6,-12.18,1.3,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-09,trade,T01,True,,SUP_USEC_01,2678665.19,2396227.95,-44443184.77,44160747.52,13668.6,178.4494,630283.2,1811.2647,-1632.8153,0.901478,-300,-1500450.0,-5733293.87,33809.82,0.0,-5767103.69,,1160.49,0.0,-199735.97,0.0,2520.0,120,7038514.77,0.0,0.0,2520.0,0.0,0.0,-138736.54,-6436.68,303.6,-12.18,1.3,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-10,book,BOOK,True,BOOK,BOOK,660624.62,1559675.92,-43130823.23,44041441.93,13195.47,172.8681,611088.62,1805.0255,-1632.1575,0.90423,-300,-1500000.0,-5761466.48,8210.17,0.0,-5769676.64,,442.55,0.0,-199048.28,0.0,2520.0,120,7006974.78,0.0,0.0,2520.0,0.0,0.0,-137782.29,-6183.58,185.95,-11.82,1.24,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-10,trade,T01,True,,SUP_USEC_01,660624.62,1559675.92,-43130823.23,44041441.93,13195.47,172.8681,611088.62,1805.0255,-1632.1575,0.90423,-300,-1500000.0,-5761466.48,8210.17,0.0,-5769676.64,,442.55,0.0,-199048.28,0.0,2520.0,120,7006974.78,0.0,0.0,2520.0,0.0,0.0,-137782.29,-6183.58,185.95,-11.82,1.24,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-11,book,BOOK,True,BOOK,BOOK,33707215.66,41914773.61,-45721610.24,53951961.42,12166.4,159.2009,552745.59,2192.6652,-2033.4643,0.927394,-374,-770911.0,-5703562.6,1356625.31,0.0,-7060187.91,-0.0,-75256.32,0.0,-199253.16,0.0,2520.0,120,6953290.68,0.0,0.0,2520.0,0.0,0.0,-93348.12,-8841.21,1990.68,-12.53,1.32,0.0,1200.0,2520.0,0.677419,0.0,0.0,255041269.42,0.0,0
2022-03-11,trade,T01,True,,SUP_USEC_01,-5284345.6,2992149.41,-35003286.74,43302574.98,12728.71,166.5589,578292.36,1798.5482,-1631.9893,0.907393,-300,-1500000.0,-5733760.1,-67493.19,0.0,-5666266.91,,-1649.07,0.0,-199253.16,0.0,2520.0,120,6953290.68,0.0,0.0,2520.0,0.0,0.0,-137448.11,-5885.79,104.55,-9.59,1.18,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-11,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,38991561.26,38922624.2,-10718323.51,10649386.45,-562.31,-7.3579,-25546.78,394.117,-401.4749,1.018669,-74,729089.0,30197.49,1424118.5,0.0,-1393921.0,-0.0,-73607.24,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44099.99,-2955.42,1886.14,-2.94,0.14,0.0,1200.0,0.0,0.0,0.0,0.0,255041269.42,0.0,0
2022-03-14,book,BOOK,True,BOOK,BOOK,15271420.05,32799065.36,-35324086.29,52910225.26,10757.19,140.471,477461.03,2173.186,-2032.715,0.935362,-374,-770800.0,-5805735.76,1103462.44,0.0,-6909198.2,-0.0,-79486.56,0.0,-199580.3,0.0,2520.0,120,6789750.97,0.0,0.0,2520.0,0.0,0.0,-94074.84,-8065.84,1521.12,-9.68,1.14,0.0,1200.0,2520.0,0.677419,0.0,0.0,248914300.88,0.0,0
2022-03-14,trade,T01,True,,SUP_USEC_01,-22441824.7,-6893197.0,-26867718.91,42466471.19,11307.6,147.6586,501891.42,1779.1434,-1631.4849,0.917006,-300,-1500000.0,-5844655.02,-299237.95,0.0,-5545417.07,0.0,-7670.4,0.0,-199580.3,0.0,2520.0,120,6789750.97,0.0,0.0,2520.0,0.0,0.0,-136245.74,-5182.59,-146.51,-7.36,1.0,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-14,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,37713244.75,39692262.35,-8456367.37,10443754.07,-550.42,-7.1875,-24430.4,394.0426,-401.2301,1.01824,-74,729200.0,38919.25,1402700.39,0.0,-1363781.13,-0.0,-71816.17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42170.9,-2883.25,1667.64,-2.32,0.14,0.0,1200.0,0.0,0.0,0.0,0.0,248914300.88,0.0,0
2022-03-15,book,BOOK,True,BOOK,BOOK,-14312396.23,32777456.52,-2795544.77,49953085.12,10257.07,134.28,432045.88,2166.7853,-2032.5053,0.938028,-374,-770800.0,-5802172.56,737413.4,0.0,-6539585.96,-0.0,-84021.33,0.0,-199068.24,0.0,2520.0,120,6461235.88,0.0,0.0,2520.0,0.0,0.0,-94022.67,-7586.22,1453.14,-0.77,1.08,0.0,1200.0,2520.0,0.677419,0.0,0.0,231521741.97,0.0,0
2022-03-15,trade,T01,True,,SUP_USEC_01,-45273921.85,-5997899.95,-759893.04,40093032.47,10810.61,141.5266,455361.89,1772.8433,-1631.3167,0.92017,-300,-1500000.0,-5825726.88,-576965.34,0.0,-5248761.54,0.0,-15681.94,0.0,-199068.24,0.0,2520.0,120,6461235.88,0.0,0.0,2520.0,0.0,0.0,-135419.88,-4836.21,-85.66,-0.21,0.94,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-15,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,30961525.62,38775356.47,-2035651.72,9860052.65,-553.54,-7.2466,-23316.01,393.942,-401.1886,1.018395,-74,729200.0,23554.32,1314378.74,0.0,-1290824.41,-0.0,-68339.39,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41397.21,-2750.01,1538.8,-0.56,0.14,0.0,1200.0,0.0,0.0,0.0,0.0,231521741.97,0.0,0
2022-03-16,book,BOOK,True,BOOK,BOOK,72405.33,34683836.71,-16521007.9,51200854.5,10647.78,139.7242,461928.3,2172.02,-2032.2957,0.935671,-374,-770800.0,-5793142.38,925627.28,0.0,-6718769.66,-0.0,-81743.89,0.0,-198603.63,0.0,2520.0,120,6591199.89,0.0,0.0,2520.0,0.0,0.0,-94872.08,-7429.01,1200.64,-4.53,1.13,0.0,1200.0,2520.0,0.677419,0.0,0.0,238860582.67,0.0,0
2022-03-16,trade,T01,True,,SUP_USEC_01,-33945314.67,-4684284.08,-11776165.92,41094511.83,11206.07,147.0503,486148.24,1778.1989,-1631.1486,0.917304,-300,-1500000.0,-5826185.47,-433608.3,0.0,-5392577.17,0.0,-11766.35,0.0,-198603.63,0.0,2520.0,120,6591199.89,0.0,0.0,2520.0,0.0,0.0,-135508.89,-4626.77,-310.43,-3.23,0.99,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
