date,scope,trade_id,in_window,buyer_id,supplier_id,mtm_inr,cum_pnl_inr,cash_balance_inr,mcx_im_inr,lme_delta_inr_per_usd_t,lme_delta_mt,lme_delta_usd,lme_delta_physical_mt,lme_delta_mcx_mt,hedge_ratio_lme_frac,mcx_lots_open,mcx_basis_delta_inr_per_inr_kg,fx_delta_usd,fx_delta_physical_usd,fx_delta_forwards_usd,fx_delta_mcx_usd,hedge_ratio_fx_frac,customs_fx_delta_usd,freight_delta_inr_per_usd_t_jea_nsa,freight_delta_inr_per_usd_t_usec_mun,freight_open_mt_jea_nsa,freight_open_mt_usec_mun,freight_open_boxes,grade_delta_inr_per_0p01_zorba,grade_delta_inr_per_0p01_taint_tabor,grade_delta_inr_per_0p01_tense,grade_exposure_mt_zorba,grade_exposure_mt_taint_tabor,grade_exposure_mt_tense,spread_delta_inr_per_usd_t,inr_rate_delta_inr_per_bp,usd_rate_delta_inr_per_bp,wc_rate_delta_inr_per_bp,lme_fx_cross_inr,phys_purchased_mt,phys_sold_mt,unsold_mt,purchase_priced_frac,sale_priced_frac,buyer_receivable_inr,buyer_presettlement_inr,supplier_exposure_inr,days_past_due
2022-03-08,book,BOOK,True,BOOK,BOOK,86870191.99,86870191.99,0.0,0.0,164415.55,2133.8536,7469554.57,2133.8536,0.0,-0.0,0,0.0,7019681.27,1104708.41,5914972.86,0.0,-5.35433,30541.22,0.0,-200914.81,0.0,2520.0,120,7041231.31,0.0,0.0,2520.0,0.0,0.0,-164415.55,4376.44,-4448.77,0.0,20.77,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-08,trade,T01,True,,SUP_USEC_01,86870191.99,86870191.99,0.0,0.0,164415.55,2133.8536,7469554.57,2133.8536,0.0,-0.0,0,0.0,7019681.27,1104708.41,5914972.86,0.0,-5.35433,30541.22,0.0,-200914.81,0.0,2520.0,120,7041231.31,0.0,0.0,2520.0,0.0,0.0,-164415.55,4376.44,-4448.77,0.0,20.77,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-09,book,BOOK,True,BOOK,BOOK,86276149.06,85993711.82,-44443184.77,44160747.52,38258.6,499.4824,1764171.66,2132.2977,-1632.8153,0.765754,-300,-1500450.0,1285567.06,1138352.47,5914318.28,-5767103.69,-5.195507,31448.25,0.0,-199735.97,0.0,2520.0,120,7038514.77,0.0,0.0,2520.0,0.0,0.0,-163326.54,-1761.91,-4450.27,-12.18,4.43,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-09,trade,T01,True,,SUP_USEC_01,86276149.06,85993711.82,-44443184.77,44160747.52,38258.6,499.4824,1764171.66,2132.2977,-1632.8153,0.765754,-300,-1500450.0,1285567.06,1138352.47,5914318.28,-5767103.69,-5.195507,31448.25,0.0,-199735.97,0.0,2520.0,120,7038514.77,0.0,0.0,2520.0,0.0,0.0,-163326.54,-1761.91,-4450.27,-12.18,4.43,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-10,book,BOOK,True,BOOK,BOOK,83492247.14,84391298.43,-43130823.23,44041441.93,38050.29,498.4802,1762127.35,2130.6376,-1632.1575,0.766042,-300,-1500000.0,1271231.06,1127136.68,5913771.02,-5769676.64,-5.24672,31124.72,0.0,-199048.28,0.0,2520.0,120,7006974.78,0.0,0.0,2520.0,0.0,0.0,-162637.11,-1638.86,-4435.32,-11.82,4.41,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-10,trade,T01,True,,SUP_USEC_01,83492247.14,84391298.43,-43130823.23,44041441.93,38050.29,498.4802,1762127.35,2130.6376,-1632.1575,0.766042,-300,-1500000.0,1271231.06,1127136.68,5913771.02,-5769676.64,-5.24672,31124.72,0.0,-199048.28,0.0,2520.0,120,7006974.78,0.0,0.0,2520.0,0.0,0.0,-162637.11,-1638.86,-4435.32,-11.82,4.41,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-11,book,BOOK,True,BOOK,BOOK,117564674.31,125772232.26,-45721610.24,53951961.42,37396.92,489.3494,1699021.28,2522.8137,-2033.4643,0.80603,-374,-770911.0,1334202.86,2481215.31,5913175.46,-7060187.91,-2.383177,-44418.58,0.0,-199253.16,0.0,2520.0,120,6953290.68,0.0,0.0,2520.0,0.0,0.0,-118578.63,-4410.94,-2513.83,-12.53,4.54,0.0,1200.0,2520.0,0.5,0.0,0.0,255041269.42,0.0,0
2022-03-11,trade,T01,True,,SUP_USEC_01,78573113.05,86849608.06,-35003286.74,43302574.98,37959.22,496.7074,1724568.06,2128.6967,-1631.9893,0.766661,-300,-1500000.0,1304005.36,1057096.81,5913175.46,-5666266.91,-5.593788,29188.66,0.0,-199253.16,0.0,2520.0,120,6953290.68,0.0,0.0,2520.0,0.0,0.0,-162678.62,-1455.52,-4399.96,-9.59,4.4,0.0,0.0,2520.0,1.0,0.0,0.0,0.0,0.0,0
2022-03-11,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,38991561.26,38922624.2,-10718323.51,10649386.45,-562.31,-7.3579,-25546.78,394.117,-401.4749,1.018669,-74,729089.0,30197.49,1424118.5,0.0,-1393921.0,-0.0,-73607.24,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44099.99,-2955.42,1886.14,-2.94,0.14,0.0,1200.0,0.0,0.0,0.0,0.0,255041269.42,0.0,0
2022-03-14,book,BOOK,True,BOOK,BOOK,101403591.59,118931236.9,-35324086.29,52910225.26,37082.15,484.2314,1645902.63,2516.9464,-2032.715,0.807612,-374,-770800.0,1246782.16,2244704.37,5911276.0,-6909198.2,-2.633432,-48190.62,0.0,-199580.3,0.0,2520.0,120,6789750.97,0.0,0.0,2520.0,0.0,0.0,-120399.81,-3986.71,-2625.26,-9.68,4.49,0.0,1200.0,2520.0,0.5,0.0,0.0,248914300.88,0.0,0
