split,metric,value,note
train,n_obs,840.0,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,n_buyers,210.0,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,n_defaults,38.0,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,default_rate_observed,0.0452381,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,pd_mean_fitted,0.0452381,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,pd_mean_true,0.04057609,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,auc_fitted,0.85004594,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,auc_true_pd_oracle,0.849685,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,brier_fitted,0.03755495,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,brier_true_pd_oracle,0.03779889,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,brier_constant_train_rate,0.04319161,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,log_loss_fitted,0.14335367,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,corr_fitted_vs_true_pd,0.98842921,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,n_obs,360.0,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,n_buyers,90.0,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,n_defaults,12.0,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,default_rate_observed,0.03333333,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,pd_mean_fitted,0.04389934,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,pd_mean_true,0.03865579,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,auc_fitted,0.80076628,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,auc_true_pd_oracle,0.78663793,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,brier_fitted,0.03222938,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,brier_true_pd_oracle,0.03139365,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,brier_constant_train_rate,0.03236395,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,log_loss_fitted,0.13109119,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
test,corr_fitted_vs_true_pd,0.98004791,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
train,events_per_variable,9.5,fit of the model to the synthetic process that generated its own data; NOT evidence of real predictive power. auc_true_pd_oracle is the ceiling a perfect estimate of the DGP would reach.
