n_buyers,n_buyer_quarters,n_redraws,train_defaults_mean,events_per_variable_mean,test_auc_mean,test_auc_p05,test_auc_p95,term,sign_recovery_share,label
150,600,200,16.865,4.21625,0.79975841,0.64128173,0.92181261,all_four,0.725,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
150,600,200,16.865,4.21625,0.79975841,0.64128173,0.92181261,utilisation_frac,0.98,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
150,600,200,16.865,4.21625,0.79975841,0.64128173,0.92181261,dpd_max_days,1.0,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
150,600,200,16.865,4.21625,0.79975841,0.64128173,0.92181261,history_months,0.95,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
150,600,200,16.865,4.21625,0.79975841,0.64128173,0.92181261,order_concentration_frac,0.78,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
300,1200,200,33.585,8.39625,0.78855032,0.67509761,0.88226262,all_four,0.805,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
300,1200,200,33.585,8.39625,0.78855032,0.67509761,0.88226262,utilisation_frac,1.0,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
300,1200,200,33.585,8.39625,0.78855032,0.67509761,0.88226262,dpd_max_days,1.0,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
300,1200,200,33.585,8.39625,0.78855032,0.67509761,0.88226262,history_months,0.985,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
300,1200,200,33.585,8.39625,0.78855032,0.67509761,0.88226262,order_concentration_frac,0.815,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
1000,4000,200,111.88,27.97,0.80152182,0.73996995,0.85228189,all_four,0.97,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
1000,4000,200,111.88,27.97,0.80152182,0.73996995,0.85228189,utilisation_frac,1.0,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
1000,4000,200,111.88,27.97,0.80152182,0.73996995,0.85228189,dpd_max_days,1.0,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
1000,4000,200,111.88,27.97,0.80152182,0.73996995,0.85228189,history_months,1.0,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
1000,4000,200,111.88,27.97,0.80152182,0.73996995,0.85228189,order_concentration_frac,0.97,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
