scenario,description,as_of_date,cp_id,pd_annual_frac,rank_riskiest_first,band_model,overlay_notches,band_final,utilisation_in_support,label
base_fitted,"fitted model, registered DGP (base)",2022-08-31,BUY_RJK_01,0.41829009,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_fitted,"fitted model, registered DGP (base)",2022-08-31,BUY_JNPT_01,0.08213782,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
base_fitted,"fitted model, registered DGP (base)",2022-08-31,BUY_MUN_01,0.05098924,3,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
true_dgp,the DGP's own PD (what a perfectly estimated model would say),2022-08-31,BUY_RJK_01,0.27581609,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
true_dgp,the DGP's own PD (what a perfectly estimated model would say),2022-08-31,BUY_JNPT_01,0.07477892,2,C,0,C,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
true_dgp,the DGP's own PD (what a perfectly estimated model would say),2022-08-31,BUY_MUN_01,0.04947236,3,B,0,B,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_utilisation_frac,refit without Peak credit utilisation (91 d) (held at the synthetic mean),2022-08-31,BUY_RJK_01,0.42348013,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_utilisation_frac,refit without Peak credit utilisation (91 d) (held at the synthetic mean),2022-08-31,BUY_JNPT_01,0.03625117,2,B,0,B,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_utilisation_frac,refit without Peak credit utilisation (91 d) (held at the synthetic mean),2022-08-31,BUY_MUN_01,0.02466972,3,B,0,B,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
drop_dpd_max_days,refit without Worst days past due (12 m) (held at the synthetic mean),2022-08-31,BUY_RJK_01,0.28471314,1,D,1,D,True,ACADEMIC SIMULATION — not actual trades. ILLUSTRATIVE model on SYNTHETIC training data
