obs_id,buyer_id,quarter,latent_weakness,utilisation_frac,dpd_max_days,history_months,order_concentration_frac,true_pd_12m_frac,default_12m,split,label
OBS_00001,SYN_0001,1,-0.97193661,0.13430237,0.0,97.31071047,0.08328492,0.00247203,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00002,SYN_0002,1,-0.88896545,0.4691398,0.0,44.10107735,0.04971826,0.01324847,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00003,SYN_0003,1,-1.02520018,0.44936536,22.0,20.19409246,0.06481969,0.04756274,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00004,SYN_0004,1,-0.26387752,0.18501651,0.0,65.3424942,0.17140415,0.00565548,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00005,SYN_0005,1,-0.35580577,0.28366208,0.0,58.76738195,0.14884714,0.00770159,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00006,SYN_0006,1,-0.44525982,0.71990314,0.0,56.56194518,0.11972049,0.02013706,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00007,SYN_0007,1,-1.3010895,0.23857219,0.0,23.04731557,0.04808922,0.01170681,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00008,SYN_0008,1,-0.52966119,0.41463712,9.0,70.49806872,0.02773794,0.0100626,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00009,SYN_0009,1,0.94499485,0.4150903,0.0,17.33600778,0.23496197,0.02473381,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00010,SYN_0010,1,-0.31438297,0.38713115,0.0,21.05256915,0.06145264,0.01714864,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00011,SYN_0011,1,0.26173537,0.71266929,0.0,21.04862257,0.38412584,0.05360216,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00012,SYN_0012,1,1.70554857,0.94297638,20.0,56.24394015,0.28545108,0.08797576,0,test,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00013,SYN_0013,1,-1.63125673,0.34245031,0.0,86.61280205,0.06351785,0.00465816,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00014,SYN_0014,1,-0.69370204,0.21661101,8.0,16.16168508,0.22285995,0.02213659,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
OBS_00015,SYN_0015,1,0.75582743,0.37062149,24.0,19.48416717,0.18437799,0.05159803,0,train,"ILLUSTRATIVE SYNTHETIC DATA — fictional buyer population, not real counterparties"
