contract_date,trade_id,sale_id,cp_id,credit_limit_inr,invoice_value_inr,credit_value_inr,advance_value_inr,advance_reliance_multiple,credit_days,p04_utilisation_after_frac,p14_advance_cap_multiple,flag_p14_advance_over_cap,band_as_of_date,pd_model_annual_frac_prev_close,band_final_prev_close,band_max_credit_utilisation_frac,band_max_advance_reliance_multiple,band_max_credit_days,band_policy_verdict,band_policy_reasons,label
2022-03-11,T02,S1,BUY_JNPT_01,560000000.0,254093172.96,254093172.96,0.0,0.0,30,0.453738,1.0,False,2022-03-10,0.00578303,A,1.0,1.0,45,WITHIN_BAND_POLICY,,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-04-21,T05,S1,BUY_MUN_01,650000000.0,433329629.88,433329629.88,0.0,0.0,30,0.666661,1.0,False,2022-04-20,0.00401612,A,1.0,1.0,45,WITHIN_BAND_POLICY,,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-04-25,T01,S1,BUY_MUN_01,650000000.0,337680000.0,168840000.0,168840000.0,0.25975385,30,0.926415,1.0,False,2022-04-22,0.03163879,B,0.9,1.0,30,OUTSIDE_BAND_POLICY,P04 utilisation after 92.6% > band B cap 90%,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-04-26,T03,S1,BUY_JNPT_01,560000000.0,241500000.0,241500000.0,0.0,0.0,30,0.884988,1.0,False,2022-04-25,0.02520711,B,0.9,1.0,30,WITHIN_BAND_POLICY,,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-05-09,T01,S2,BUY_RJK_01,120000000.0,151620000.0,0.0,151620000.0,1.2635,0,0.0,1.0,True,2022-05-06,0.0180255,A,1.0,1.0,45,OUTSIDE_BAND_POLICY,advance reliance 1.26x limit > band A cap 1.00x,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-05-24,T04,S1,BUY_RJK_01,120000000.0,245070000.0,61267500.0,183802500.0,1.5316875,30,0.510563,1.0,True,2022-05-23,0.02456399,C,0.75,0.5,30,OUTSIDE_BAND_POLICY,advance reliance 1.53x limit > band C cap 0.50x,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-06-01,T06,S1,BUY_JNPT_01,560000000.0,240825000.0,240825000.0,0.0,0.0,45,0.861295,1.0,False,2022-05-31,0.07147548,C,0.75,0.5,30,OUTSIDE_BAND_POLICY,P04 utilisation after 86.1% > band C cap 75%; 45 credit days > band C cap 30,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-07-26,T07,S1,BUY_RJK_01,120000000.0,313267500.0,93980250.0,219287250.0,1.82739375,30,0.783169,1.0,True,2022-07-25,0.15776954,D,0.5,0.0,0,OUTSIDE_BAND_POLICY,P04 utilisation after 78.3% > band D cap 50%; advance reliance 1.83x limit > band D cap 0.00x; 30 credit days > band D cap 0,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-08-09,T08,S1,BUY_MUN_01,650000000.0,280587600.384,280587600.384,0.0,0.0,30,0.431673,1.0,False,2022-08-08,0.05596662,C,0.75,0.5,30,WITHIN_BAND_POLICY,,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
2022-08-26,T09,S1,BUY_JNPT_01,560000000.0,202200000.0,151650000.0,50550000.0,0.09026786,30,0.270804,1.0,False,2022-08-25,0.07794159,C,0.75,0.5,30,WITHIN_BAND_POLICY,,"ACADEMIC SIMULATION — not actual trades. RETROSPECTIVE test of the Phase 5 band policy against 2022 SIM bookings, using the band at the previous close; the desk did not run this policy"
