sample,method,start,end,n,exceptions,expected,exception_rate_frac,kupiec_lr,kupiec_pvalue,kupiec_accept_min,kupiec_accept_max,verdict,consecutive_exception_pairs,christoffersen_lr_ind,christoffersen_pvalue_ind,christoffersen_verdict_ind,lr_conditional_coverage,pvalue_conditional_coverage,role,pnl_column,var_column,mean_var_inr,label
book_window,garch,2022-03-09,2022-08-31,120,7,6.0,0.05833333,0.16690721,0.68287522,2,11,NOT REJECTED,0,0.87557055,0.34941775,NOT REJECTED,1.04247776,0.59378446,BASE,pnl_market_inr,var_garch_inr,4273445.77,ACADEMIC SIMULATION — not actual trades
book_window,hist250,2022-03-09,2022-08-31,120,5,6.0,0.04166667,0.18553082,0.6666626,2,11,NOT REJECTED,0,0.43873722,0.50773258,NOT REJECTED,0.62426804,0.73188343,BASE,pnl_market_inr,var_hist250_inr,3982608.06,ACADEMIC SIMULATION — not actual trades
book_window,hist60,2022-03-09,2022-08-31,120,2,6.0,0.01666667,3.7442884,0.05298829,2,11,NOT REJECTED,0,0.0683794,0.79371115,NOT REJECTED,3.8126678,0.14862426,BASE,pnl_market_inr,var_hist60_inr,4925146.41,ACADEMIC SIMULATION — not actual trades
book_to_horizon_memo,garch,2022-03-09,2022-10-25,159,10,7.95,0.06289308,0.51621192,0.47246206,4,13,NOT REJECTED,0,1.35238147,0.24486222,NOT REJECTED,1.8685934,0.39286207,MEMO — extends past WINDOW_END,pnl_market_inr,var_garch_inr,3228955.53,ACADEMIC SIMULATION — not actual trades
book_to_horizon_memo,hist250,2022-03-09,2022-10-25,159,9,7.95,0.05660377,0.14026356,0.70801914,4,13,NOT REJECTED,0,1.08791042,0.29693466,NOT REJECTED,1.22817398,0.54113473,MEMO — extends past WINDOW_END,pnl_market_inr,var_hist250_inr,3008916.83,ACADEMIC SIMULATION — not actual trades
book_to_horizon_memo,hist60,2022-03-09,2022-10-25,159,6,7.95,0.03773585,0.54811664,0.45908826,4,13,NOT REJECTED,0,0.4738073,0.49124083,NOT REJECTED,1.02192394,0.5999182,MEMO — extends past WINDOW_END,pnl_market_inr,var_hist60_inr,3720237.19,ACADEMIC SIMULATION — not actual trades
book_window_broad_memo,garch,2022-03-09,2022-08-31,120,8,6.0,0.06666667,0.63820789,0.42436049,2,11,NOT REJECTED,1,0.37664384,0.53940489,NOT REJECTED,1.01485173,0.60204333,"MEMO — P&L adds (g) ex-funding, VaR adds the cash-3M spread; tests coverage, not the vol forecast",memo_pnl_broad_inr,var_garch_incl_spread_memo_inr,5027280.96,ACADEMIC SIMULATION — not actual trades
book_window_broad_memo,hist250,2022-03-09,2022-08-31,120,9,6.0,0.075,1.37802109,0.24043851,2,11,NOT REJECTED,1,0.15652887,0.69237262,NOT REJECTED,1.53454997,0.46427651,"MEMO — P&L adds (g) ex-funding, VaR adds the cash-3M spread; tests coverage, not the vol forecast",memo_pnl_broad_inr,var_hist250_incl_spread_memo_inr,4728701.21,ACADEMIC SIMULATION — not actual trades
book_window_broad_memo,hist60,2022-03-09,2022-08-31,120,6,6.0,0.05,0.0,1.0,2,11,NOT REJECTED,0,0.63746788,0.42462921,NOT REJECTED,0.63746788,0.72706897,"MEMO — P&L adds (g) ex-funding, VaR adds the cash-3M spread; tests coverage, not the vol forecast",memo_pnl_broad_inr,var_hist60_incl_spread_memo_inr,5561820.63,ACADEMIC SIMULATION — not actual trades
book_window_ex_mcx_exit_roll_days_memo,garch,2022-03-09,2022-08-31,104,7,5.2,0.06730769,0.59451584,0.44067817,2,10,NOT REJECTED,0,1.02173986,0.31210666,NOT REJECTED,1.6162557,0.44569169,"MEMO — drops the days after an MCX exit/roll, whose exposure carries the exiting contract (docs/40 §7)",pnl_market_inr,var_garch_inr,3920972.16,ACADEMIC SIMULATION — not actual trades
book_window_ex_mcx_exit_roll_days_memo,hist250,2022-03-09,2022-08-31,104,5,5.2,0.04807692,0.00819745,0.92785827,2,10,NOT REJECTED,0,0.51042566,0.47495465,NOT REJECTED,0.51862312,0.77158259,"MEMO — drops the days after an MCX exit/roll, whose exposure carries the exiting contract (docs/40 §7)",pnl_market_inr,var_hist250_inr,3545879.71,ACADEMIC SIMULATION — not actual trades
book_window_ex_mcx_exit_roll_days_memo,hist60,2022-03-09,2022-08-31,104,2,5.2,0.01923077,2.68049676,0.10158404,2,10,NOT REJECTED,0,0.0792131,0.77836664,NOT REJECTED,2.75970986,0.25161505,"MEMO — drops the days after an MCX exit/roll, whose exposure carries the exiting contract (docs/40 §7)",pnl_market_inr,var_hist60_inr,4424363.27,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt,garch,2019-01-02,2022-12-30,1011,45,50.55,0.04451039,0.6649683,0.41481141,38,64,NOT REJECTED,1,0.66637489,0.41431835,NOT REJECTED,1.33134319,0.51392826,BASE (power check),unit_lme_pnl_inr,unit_lme_var_garch_inr,4009404.16,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt,hist250,2019-01-02,2022-12-30,1011,57,50.55,0.05637982,0.83348167,0.3612677,38,64,NOT REJECTED,4,0.20044462,0.6543622,NOT REJECTED,1.03392629,0.59632876,BASE (power check),unit_lme_pnl_inr,unit_lme_var_hist250_inr,3785791.97,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt,hist60,2019-01-02,2022-12-30,1011,52,50.55,0.05143422,0.04339058,0.83499156,38,64,NOT REJECTED,4,0.64007331,0.42368425,NOT REJECTED,0.6834639,0.71053864,BASE (power check),unit_lme_pnl_inr,unit_lme_var_hist60_inr,3979406.81,ACADEMIC SIMULATION — not actual trades
unit_lme_long_1000mt,garch_t,2019-01-02,2022-12-30,1011,52,50.55,0.05143422,0.04339058,0.83499156,38,64,NOT REJECTED,2,0.20693457,0.64918074,NOT REJECTED,0.25032515,0.88235344,SENSITIVITY — Student-t GARCH,unit_lme_pnl_inr,unit_lme_var_garch_t_inr,3860466.66,ACADEMIC SIMULATION — not actual trades
