date,in_window,in_margin_fortnight,in_crash_fortnight,lme_cash_usd_t,usdinr,vm_inr,txn_cost_inr,im_change_inr,net_margin_cash_inr,mcx_im_inr,mcx_im_stress_015_inr,mcx_lots_net_open,mcx_lots_gross_open,cum_vm_inr,cum_txn_cost_inr,cum_margin_cash_inr,margin_cash_deployed_inr,cash_purchase_cum_inr,cash_sale_cum_inr,cash_duty_cum_inr,cash_igst_cum_inr,cash_freight_cum_inr,cash_logistics_claims_cum_inr,cash_bank_charges_cum_inr,cash_fx_forward_cum_inr,cash_mcx_margin_cum_inr,cash_balance_inr,funding_accrued_cum_inr,interest_accrued_inr,commercial_funding_need_inr,funding_need_total_inr,fb_limit_inr,min_cash_buffer_inr,fb_drawn_inr,surplus_cash_inr,fb_utilisation_frac,undrawn_inr,headroom_inr,flag_buffer_breach,flag_fb_limit_breach,lc_outstanding_usd,lc_outstanding_inr,memo_lc_outstanding_ex_tolerance_inr,lc_limit_inr,lc_utilisation_frac,flag_lc_limit_breach,bank_exposure_fb_plus_lc_inr,stress_move_up_logret,stress_move_down_logret,stress_binding_up,mar_99_inr,mar_99_stressed_im_inr,mar_direction,flag_mar_exceeds_buffer,flag_mar_exceeds_undrawn,label
2022-03-01,True,False,False,3495.5,75.7046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1000000000.0,150000000.0,-0.0,0.0,-0.0,1000000000.0,850000000.0,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,0.0,0.19283,-0.19283,garch,0.0,0.0,,False,False,ACADEMIC SIMULATION — not actual trades
2022-03-02,True,False,False,3605.0,75.7937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1000000000.0,150000000.0,-0.0,0.0,-0.0,1000000000.0,850000000.0,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,0.0,0.192806,-0.192806,garch,0.0,0.0,,False,False,ACADEMIC SIMULATION — not actual trades
2022-03-03,True,False,False,3728.5,75.9967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1000000000.0,150000000.0,-0.0,0.0,-0.0,1000000000.0,850000000.0,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,0.0,0.195621,-0.195621,garch,0.0,0.0,,False,False,ACADEMIC SIMULATION — not actual trades
2022-03-04,True,False,False,3851.0,76.3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1000000000.0,150000000.0,-0.0,0.0,-0.0,1000000000.0,850000000.0,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,0.0,0.196621,-0.196621,garch,0.0,0.0,,False,False,ACADEMIC SIMULATION — not actual trades
2022-03-07,True,False,False,3984.5,76.9275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1000000000.0,150000000.0,-0.0,0.0,-0.0,1000000000.0,850000000.0,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,0.0,0.19916,-0.19916,garch,0.0,0.0,,False,False,ACADEMIC SIMULATION — not actual trades
2022-03-08,True,False,False,3500.5,77.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1000000000.0,150000000.0,-0.0,0.0,-0.0,1000000000.0,850000000.0,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,0.0,0.366098,-0.366098,garch,0.0,0.0,,False,False,ACADEMIC SIMULATION — not actual trades
2022-03-09,True,False,False,3532.0,76.5965,0.0,-282437.25,44160747.52,-44443184.76,44160747.52,66241121.28,-300.0,300.0,0.0,-282437.25,-44443184.76,44443184.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44443184.77,-44443184.77,0.0,-0.0,0.01,44443184.77,1000000000.0,150000000.0,44443184.77,0.0,0.044443,955556815.23,805556815.23,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,44443184.77,0.334927,-0.334927,garch,193257282.303973,224122077.538408,LME_UP,True,False,ACADEMIC SIMULATION — not actual trades
2022-03-10,True,False,False,3535.0,76.3326,1193055.94,0.0,-119305.59,1312361.53,44041441.93,66062162.89,-300.0,300.0,1193055.94,-282437.25,-43130823.23,43130823.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43130823.24,-43130823.23,-11567.4,11567.4,-0.0,43142390.63,1000000000.0,150000000.0,43142390.63,0.0,0.043142,956857609.37,806857609.37,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,43142390.63,0.305943,-0.305943,garch,173388875.695217,203290909.499008,LME_UP,True,False,ACADEMIC SIMULATION — not actual trades
2022-03-11,True,False,False,3472.0,76.4217,7388669.54,-68937.06,9910519.5,-2590787.02,53951961.43,80927942.14,-374.0,374.0,8581725.48,-351374.31,-45721610.25,45721610.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45721610.26,-45721610.24,-22793.23,22793.23,-0.01,45744403.47,1000000000.0,150000000.0,45744403.47,0.0,0.045744,954255596.53,804255596.53,False,False,0.0,0.0,0.0,1000000000.0,0.0,False,45744403.47,0.301541,-0.301541,garch,208866639.312769,245336558.7043,LME_UP,True,False,ACADEMIC SIMULATION — not actual trades
2022-03-14,True,False,False,3399.0,76.5794,10417361.61,0.0,-1041736.16,11459097.78,52910225.26,79365337.89,-374.0,374.0,18999087.09,-351374.31,-34262512.47,34262512.47,0.0,0.0,0.0,0.0,0.0,0.0,-1061573.81,0.0,-34262512.49,-35324086.29,-58493.67,58493.67,1061573.82,35382579.96,1000000000.0,150000000.0,35382579.96,0.0,0.035383,964617420.04,814617420.04,False,False,6191640.0,474152076.216,451573405.92,1000000000.0,0.474152,False,509534656.176,0.281471,-0.281471,garch,189198997.123139,224254064.472218,LME_UP,True,False,ACADEMIC SIMULATION — not actual trades
