window,window_start,window_end,stress_direction,stress_move_logret,stress_binding_method,obs,date,lme_cash_actual_usd_t,lme_cash_stressed_usd_t,mcx_lots_net_open,vm_actual_inr,vm_stressed_inr,cum_vm_actual_inr,cum_vm_stressed_inr,im_actual_inr,im_stressed_inr,im_stressed_015_inr,extra_margin_cash_out_inr,extra_margin_cash_out_stressed_im_inr,funding_need_actual_inr,headroom_actual_inr,memo_physical_mtm_gain_inr,funding_need_stressed_inr,funding_need_stressed_im_inr,headroom_stressed_inr,headroom_stressed_im_inr,flag_buffer_breach_actual,flag_buffer_breach_stressed_im,flag_fb_limit_breach_actual,flag_fb_limit_breach_stressed_im,label
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,0,2022-04-22,3244.0,3244.0,-709.0,0.0,0.0,0.0,0.0,95567833.49,95567833.49,95567833.49,0.0,0.0,659244791.62,190755208.38,0.0,659244791.62,659244791.62,190755208.38,190755208.38,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,1,2022-04-25,3090.0,3312.565885,-290.0,43783477.58,-21898299.84854,43783477.58,-21898299.84854,74597886.78,79971008.045846,119956512.047329,71054898.694386,111040402.695868,595381159.63,254618840.37,73638382.572084,666436058.324386,706421562.325868,183563941.675614,143578437.674132,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,2,2022-04-26,3102.5,3382.580994,-147.0,-1272234.44,-8193438.569252,42511243.14,-30091738.417791,56397361.75,61488684.597566,92233026.869092,77694304.405357,108438646.676884,578735674.62,271264325.38,92667891.832164,656429979.025357,687174321.296884,193570020.974643,162825678.703116,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,3,2022-04-27,3100.0,3454.075957,-147.0,77873.89,-4455338.664185,42589117.03,-34547077.081976,56374211.49,62813164.034325,94219746.034774,83575146.656301,114981728.65675,583526919.37,266473080.63,117149943.052221,667102066.026301,698508648.02675,182897933.973699,151491351.97325,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,4,2022-04-28,3065.5,3527.082053,-147.0,2020392.3,-4569562.764554,44609509.33,-39116639.84653,55773591.45,64171597.927125,96257396.89644,92124155.653655,124209954.62297,608728795.86,241271204.14,152719522.933148,700852951.513655,732938750.48297,149147048.486345,117061249.51703,False,False,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,5,2022-04-29,3039.0,3601.631222,-147.0,1988489.32,-4128011.217777,46597998.65,-43244651.064307,55182455.5,65398767.56591,98098151.360717,100058961.780218,132758345.575024,719956665.1,130043334.9,186152757.042569,820015626.880218,852715010.675024,29984373.119782,-2715010.675024,False,True,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,6,2022-05-03,2911.5,3677.756078,-147.0,7628831.5,-4850619.704511,54226830.15,-48095270.768818,52914564.78,66840756.392683,100261134.601656,116248292.531501,149668670.740474,710814028.32,139185971.68,253524290.805668,827062320.851501,860482699.060474,22937679.148499,-10482699.060474,False,True,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,7,2022-05-04,2929.0,3755.489926,-147.0,-552856.78,-4089404.029437,53673973.37,-52184674.798255,53078917.45,68056449.212637,102084673.812544,120836179.930892,154864404.530799,833112068.47,16887931.53,273453324.860781,953948248.400892,987976473.000799,-103948248.400892,-137976473.000799,False,True,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,8,2022-05-05,2917.0,3834.866772,-147.0,903064.1,-4613195.321702,54577037.47,-56797870.119958,52810455.54,69427857.795944,104141786.68077,127992309.845902,162706238.730727,832158578.02,17841421.98,303686364.409576,960150887.865902,994864816.750727,-110150887.865902,-144864816.750727,False,True,False,False,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,9,2022-05-06,2832.5,3915.921346,-147.0,3747592.36,-6869660.163694,58324629.83,-63667530.283652,51696375.36,71470058.168837,107205087.253255,141765842.922488,177500872.006907,827514632.89,22485367.11,358461924.358581,969280475.812488,1005015504.896907,-119280475.812488,-155015504.896907,False,True,False,True,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
CRASH_FORTNIGHT,2022-04-22,2022-05-09,LME_UP,0.209159,hist60,10,2022-05-09,2708.0,3998.689106,-47.0,6627240.23,-6582142.639113,64951870.06,-70249672.922764,38347235.08,56624324.648717,84936486.987842,153478632.551481,181790794.890606,849824545.27,175454.73,427038753.16423,1003303177.821482,1031615340.160606,-153303177.821481,-181615340.160606,False,True,False,True,ACADEMIC SIMULATION — not actual trades | STRESS — LME moved against the MCX hedges by the 99 % 10-day move; not a 2022 event
