trade_id,lot,payment_instrument,usance_days,lc_open_date,lc_release_date,face_planned_usd,lc_amount_tolerance_frac,lc_face_usd,label
T01,L1,LC_SIGHT,,2022-03-14,2022-04-05,1965600.0,0.05,2063880.0,ACADEMIC SIMULATION — not actual trades
T01,L2,LC_SIGHT,,2022-03-14,2022-04-11,1965600.0,0.05,2063880.0,ACADEMIC SIMULATION — not actual trades
T01,L3,LC_SIGHT,,2022-03-14,2022-04-14,1965600.0,0.05,2063880.0,ACADEMIC SIMULATION — not actual trades
T02,L1,LC_USANCE,90.0,2022-03-21,2022-07-04,1336843.01,0.1,1470527.311,ACADEMIC SIMULATION — not actual trades
T02,L2,LC_USANCE,90.0,2022-03-21,2022-07-12,1336843.01,0.1,1470527.311,ACADEMIC SIMULATION — not actual trades
T03,L1,LC_SIGHT,,2022-03-30,2022-04-20,1482000.0,0.05,1556100.0,ACADEMIC SIMULATION — not actual trades
T03,L2,LC_SIGHT,,2022-03-30,2022-04-29,1482000.0,0.05,1556100.0,ACADEMIC SIMULATION — not actual trades
T04,L1,LC_SIGHT,,2022-04-12,2022-05-04,1518300.0,0.1,1670130.0,ACADEMIC SIMULATION — not actual trades
T04,L2,LC_SIGHT,,2022-04-12,2022-05-11,1518300.0,0.1,1670130.0,ACADEMIC SIMULATION — not actual trades
T05,L1,LC_USANCE,60.0,2022-04-28,2022-07-11,2410884.0,0.1,2651972.4,ACADEMIC SIMULATION — not actual trades
T05,L2,LC_USANCE,60.0,2022-04-28,2022-07-18,2410884.0,0.1,2651972.4,ACADEMIC SIMULATION — not actual trades
T06,L1,LC_SIGHT,,2022-05-13,2022-06-01,1389700.0,0.1,1528670.0,ACADEMIC SIMULATION — not actual trades
T06,L2,LC_SIGHT,,2022-05-13,2022-06-14,1389700.0,0.1,1528670.0,ACADEMIC SIMULATION — not actual trades
T07,L1,LC_SIGHT,,2022-05-27,2022-06-15,1971270.0,0.1,2168397.0,ACADEMIC SIMULATION — not actual trades
T07,L2,LC_SIGHT,,2022-05-27,2022-06-22,1971270.0,0.1,2168397.0,ACADEMIC SIMULATION — not actual trades
T08,L1,LC_SIGHT,,2022-06-10,2022-06-29,1825364.29,0.1,2007900.719,ACADEMIC SIMULATION — not actual trades
T08,L2,LC_SIGHT,,2022-06-10,2022-07-06,1825364.29,0.1,2007900.719,ACADEMIC SIMULATION — not actual trades
T09,L1,LC_USANCE,60.0,2022-08-05,2022-10-17,1096200.0,0.1,1205820.0,ACADEMIC SIMULATION — not actual trades
T09,L2,LC_USANCE,60.0,2022-08-05,2022-10-24,1096200.0,0.1,1205820.0,ACADEMIC SIMULATION — not actual trades
