facility,limit_inr,buffer_inr,registered,days_buffer_breach,first_buffer_breach,last_buffer_breach,days_limit_breach,first_limit_breach,last_limit_breach,worst_shortfall_vs_limit_inr,label
FUND_BASED_WC,750000000.0,112500000.0,False,47,2022-04-20,2022-08-05,38,2022-05-04,2022-08-05,429029542.57,ACADEMIC SIMULATION — not actual trades
FUND_BASED_WC,1000000000.0,150000000.0,True,30,2022-05-10,2022-08-05,19,2022-05-16,2022-08-05,179029542.57,ACADEMIC SIMULATION — not actual trades
FUND_BASED_WC,1250000000.0,187500000.0,False,12,2022-05-18,2022-08-03,0,,,0.0,ACADEMIC SIMULATION — not actual trades
FUND_BASED_WC,1500000000.0,225000000.0,False,0,,,0,,,0.0,ACADEMIC SIMULATION — not actual trades
NON_FUND_LC,750000000.0,0.0,False,0,,,52,2022-03-30,2022-07-01,664836540.51487,ACADEMIC SIMULATION — not actual trades
NON_FUND_LC,1000000000.0,0.0,True,0,,,17,2022-04-28,2022-06-21,414836540.51487,ACADEMIC SIMULATION — not actual trades
NON_FUND_LC,1250000000.0,0.0,False,0,,,3,2022-06-10,2022-06-14,164836540.51487,ACADEMIC SIMULATION — not actual trades
NON_FUND_LC,1500000000.0,0.0,False,0,,,0,,,0.0,ACADEMIC SIMULATION — not actual trades
FUND_BASED_WC_MIN_NO_BREACH,1387093579.494118,208064036.924118,False,0,,,0,,,0.0,ACADEMIC SIMULATION — not actual trades
NON_FUND_LC_MIN_NO_BREACH,1414836540.51487,0.0,False,0,,,0,,,0.0,ACADEMIC SIMULATION — not actual trades
