date,sigma_lme_garch_frac,garch_persistence,sigma_lme_garch_hday_frac,sigma_lme_hist250_frac,sigma_lme_hist60_frac,move_normal_garch_logret,move_normal_hist250_logret,move_normal_hist60_logret,move_empirical_up_logret,move_empirical_down_logret,stress_move_up_logret,stress_move_down_logret,stress_binding_up,stress_binding_down,label
2022-03-01,0.027929,0.959908,0.08289,0.016239,0.018544,0.19283,0.11946,0.13642,0.098722,-0.10797,0.19283,-0.19283,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-02,0.027925,0.959908,0.082879,0.016349,0.018964,0.192806,0.12027,0.139507,0.098717,-0.107962,0.192806,-0.192806,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-03,0.028354,0.959908,0.08409,0.01646,0.019315,0.195621,0.121086,0.142092,0.099731,-0.107955,0.195621,-0.195621,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-04,0.02849,0.96024,0.084519,0.016583,0.019724,0.196621,0.121991,0.145098,0.103238,-0.107948,0.196621,-0.196621,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-07,0.028876,0.96024,0.085611,0.01672,0.020208,0.19916,0.123004,0.148663,0.107004,-0.10794,0.19916,-0.19916,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-08,0.053968,0.96024,0.15737,0.018617,0.026227,0.366098,0.136954,0.19294,0.106979,-0.107933,0.366098,-0.366098,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-09,0.049307,0.96024,0.143971,0.018616,0.026251,0.334927,0.136949,0.193118,0.106954,-0.107926,0.334927,-0.334927,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-10,0.044967,0.96024,0.131512,0.018568,0.026129,0.305943,0.136599,0.192219,0.106929,-0.107918,0.305943,-0.305943,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-11,0.043186,0.972477,0.12962,0.018601,0.026156,0.301541,0.136838,0.192418,0.106904,-0.107911,0.301541,-0.301541,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-14,0.040258,0.972477,0.120993,0.018632,0.026229,0.281471,0.137066,0.192955,0.106879,-0.107903,0.281471,-0.281471,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-15,0.042192,0.972477,0.12669,0.01895,0.02712,0.294724,0.139406,0.19951,0.106854,-0.107896,0.294724,-0.294724,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-16,0.039881,0.972477,0.119883,0.019027,0.027169,0.27889,0.139974,0.199867,0.106829,-0.107889,0.27889,-0.27889,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-17,0.036508,0.972477,0.109965,0.018937,0.027076,0.255817,0.139312,0.199189,0.106804,-0.109574,0.255817,-0.255817,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-18,0.034788,0.97084,0.104575,0.018967,0.027203,0.243279,0.139535,0.20012,0.106779,-0.117056,0.243279,-0.243279,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-21,0.035152,0.97084,0.105639,0.019129,0.027155,0.245754,0.140725,0.199769,0.106754,-0.124544,0.245754,-0.245754,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-22,0.032323,0.97084,0.097382,0.019135,0.027179,0.226544,0.140765,0.199946,0.10673,-0.124543,0.226544,-0.226544,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-23,0.029589,0.97084,0.08942,0.019078,0.027147,0.208022,0.140346,0.199709,0.106705,-0.124542,0.208022,-0.208022,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-24,0.029168,0.97084,0.088196,0.019164,0.027394,0.205175,0.14098,0.201526,0.10668,-0.124542,0.205175,-0.205175,garch,garch,ACADEMIC SIMULATION — not actual trades
2022-03-25,0.027664,0.968202,0.083453,0.01919,0.027545,0.19414,0.141176,0.202633,0.106655,-0.124541,0.202633,-0.202633,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-03-28,0.025414,0.968202,0.076987,0.019193,0.027536,0.179098,0.141197,0.202569,0.10663,-0.124541,0.202569,-0.202569,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-03-29,0.023391,0.968202,0.071202,0.019198,0.027545,0.165641,0.141228,0.202635,0.10781,-0.12454,0.202635,-0.202635,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-03-30,0.022876,0.968202,0.069733,0.019219,0.027585,0.162223,0.141388,0.202927,0.107804,-0.12454,0.202927,-0.202927,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-03-31,0.020985,0.968202,0.064362,0.019218,0.027507,0.149728,0.141381,0.202355,0.107799,-0.124539,0.202355,-0.202355,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-01,0.01842,0.96119,0.056718,0.019206,0.027515,0.131946,0.141288,0.202416,0.107793,-0.124539,0.202416,-0.202416,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-04,0.01742,0.96119,0.053992,0.019213,0.027553,0.125604,0.141339,0.202695,0.107787,-0.124538,0.202695,-0.202695,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-05,0.016314,0.96119,0.050998,0.01922,0.027549,0.118639,0.141391,0.202666,0.107781,-0.124537,0.202666,-0.202666,hist60,hist60,ACADEMIC SIMULATION — not actual trades
2022-04-06,0.015344,0.96119,0.048396,0.019215,0.027474,0.112586,0.141358,0.202113,0.107776,-0.124537,0.202113,-0.202113,hist60,hist60,ACADEMIC SIMULATION — not actual trades
