snapshot_id,snapshot_date,variant,role,horizon_bdays,pnl_q0p1_inr,pnl_q1_inr,pnl_q5_inr,pnl_q50_inr,pnl_q95_inr,pnl_q99_inr,pnl_q99p9_inr
ATH_PLUS_1,2022-03-08,normal_window,BASE,10,-98615065.36,-76316379.79,-56131079.28,548271.27,63170316.72,89270828.48,122698254.25
ATH_PLUS_1,2022-03-08,student_t_window,SENSITIVITY,10,-143499540.12,-83526030.98,-53162033.02,435633.18,61242888.69,105514818.45,203665482.45
ATH_PLUS_1,2022-03-08,bootstrap_window,SENSITIVITY,10,-119507155.87,-87232262.34,-59669066.87,1661641.47,58362650.11,82470273.99,108951438.25
ATH_PLUS_1,2022-03-08,normal_pit,SENSITIVITY,10,-95503227.44,-74007696.12,-54475217.02,502267.7,61467798.97,86882292.56,119516726.03
ATH_PLUS_1,2022-03-08,normal_window_mcx_basis,SENSITIVITY,10,-98615065.36,-76316379.79,-56131079.28,548271.27,63170316.72,89270828.48,122698254.25
ATH_PLUS_1,2022-03-08,normal_window_to_settlement,MEMO,79,-225669065.57,-186280680.68,-142351644.79,1486781.85,198424348.14,294398614.23,424046428.75
PEAK_GROSS_LME,2022-04-21,normal_window,BASE,10,-29454026.95,-22969522.06,-16955897.28,156892.87,19061374.53,26835803.52,36823203.49
PEAK_GROSS_LME,2022-04-21,student_t_window,SENSITIVITY,10,-43142165.4,-25343726.86,-16016065.13,131706.49,18458598.6,31784979.3,61681597.01
PEAK_GROSS_LME,2022-04-21,bootstrap_window,SENSITIVITY,10,-36382072.57,-26308481.68,-18029847.13,528660.15,17589350.27,24822430.09,32975563.2
PEAK_GROSS_LME,2022-04-21,normal_pit,SENSITIVITY,10,-29623172.92,-23178735.89,-17133671.33,152974.25,19433834.67,27411329.79,37698290.19
PEAK_GROSS_LME,2022-04-21,normal_window_mcx_basis,SENSITIVITY,10,-40912359.97,-32764211.15,-23974204.57,137560.07,25885628.05,35880464.01,52453126.37
PEAK_GROSS_LME,2022-04-21,normal_window_to_settlement,MEMO,78,-67182900.34,-56244924.78,-42761330.94,447130.05,59598522.12,88165855.11,127505717.62
PEAK_BUYER_CONTRACTED,2022-07-27,normal_window,BASE,10,-1344596.64,-988933.13,-710558.25,-5239.56,635297.3,881886.97,1075522.65
PEAK_BUYER_CONTRACTED,2022-07-27,student_t_window,SENSITIVITY,10,-2212750.77,-1208787.91,-688324.47,-4039.48,598092.18,966068.79,1557206.75
PEAK_BUYER_CONTRACTED,2022-07-27,bootstrap_window,SENSITIVITY,10,-1235965.22,-928420.45,-655800.34,-22292.0,680948.26,1003777.36,1435679.51
PEAK_BUYER_CONTRACTED,2022-07-27,normal_pit,SENSITIVITY,10,-1383389.78,-1015834.56,-727823.24,-5055.21,642206.55,887648.28,1078240.6
PEAK_BUYER_CONTRACTED,2022-07-27,normal_window_mcx_basis,SENSITIVITY,10,-18899022.95,-14523393.4,-10388514.48,-21954.08,10320062.39,14587016.67,19634318.05
PEAK_BUYER_CONTRACTED,2022-07-27,normal_window_to_settlement,MEMO,41,-3037335.89,-2183154.04,-1532075.52,-12311.09,1212922.23,1666095.59,1995044.88
