date,in_window,trade_id,hedge_id,contract_month,panel_expiry_slot,direct_expiry,roll_deadline,direction,lots,lot_mt,action,fill_inr_kg,settle_inr_kg,prev_settle_inr_kg,vm_inr,cum_vm_inr,txn_cost_inr,contract_value_inr,im_required_inr,im_change_inr,im_stress_012_inr,im_stress_015_inr,net_margin_cash_inr,cum_margin_cash_inr,funding_on_margin_inr,mcx_series
2022-03-09,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,entry,294.305,294.405,,0.0,0.0,-188291.5,294404983.49,29440498.35,29440498.35,35328598.02,44160747.52,-29628789.84,-29628789.84,0.0,PANEL_PROXY
2022-03-09,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,entry,294.305,294.405,,0.0,0.0,-94145.75,147202491.74,14720249.17,14720249.17,17664299.01,22080373.76,-14814394.92,-14814394.92,0.0,PANEL_PROXY
2022-03-10,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,293.6096,294.405,795370.63,795370.63,0.0,293609612.86,29360961.29,-79537.06,35233153.54,44041441.93,874907.69,-28753882.15,-7711.6,PANEL_PROXY
2022-03-10,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,293.6096,294.405,397685.31,397685.31,0.0,146804806.43,14680480.64,-39768.53,17616576.77,22020720.96,437453.84,-14376941.08,-3855.8,PANEL_PROXY
2022-03-11,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,288.6838,293.6096,4925779.69,5721150.32,0.0,288683833.17,28868383.32,-492577.97,34642059.98,43302574.98,5418357.66,-23335524.49,-7483.89,PANEL_PROXY
2022-03-11,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,288.6838,293.6096,2462889.85,2860575.16,0.0,144341916.58,14434191.66,-246288.98,17321029.99,21651287.49,2709178.83,-11667762.25,-3741.94,PANEL_PROXY
2022-03-11,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,entry,287.7213,287.8213,,0.0,0.0,-68937.06,106493864.49,10649386.45,10649386.45,12779263.74,15974079.67,-10718323.51,-10718323.51,0.0,PANEL_PROXY
2022-03-14,True,T01,T01-MCX-1,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-200,5.0,hold,,283.1098,288.6838,5574025.23,11295175.56,0.0,283109807.93,28310980.79,-557402.52,33973176.95,42466471.19,6131427.76,-17204096.73,-18220.89,PANEL_PROXY
2022-03-14,True,T01,T01-MCX-2,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,-100,5.0,hold,,283.1098,288.6838,2787012.62,5647587.78,0.0,141554903.97,14155490.4,-278701.26,16986588.48,21233235.59,3065713.88,-8602048.37,-9110.44,PANEL_PROXY
2022-03-14,True,T02,T02-MCX-1,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,-74,5.0,hold,,282.2636,287.8213,2056323.76,2056323.76,0.0,104437540.73,10443754.07,-205632.38,12532504.89,15665631.11,2261956.14,-8456367.37,-8369.1,PANEL_PROXY
