trade_id,trade_date,new_deal_on_trade_date_inr,new_deal_after_trade_date_inr,new_deal_total_inr,after_trade_date_share_frac,after_sale_inr,after_inventory_mark_inr,after_freight_fixture_inr,after_hedges_inr,after_purchase_costs_and_fees_inr,later_booking_dates
T01,2022-03-08,1732880.8476,19877202.4067,21610083.2543,0.9198,489300000.0,-466796417.6718,-393963.6484,-1159509.4748,-1072906.7984,2022-03-09; 2022-03-14; 2022-03-18; 2022-03-29; 2022-04-04; 2022-04-07; 2022-04-20; 2022-04-25; 2022-05-09
T02,2022-03-11,38922624.2004,-944768.0723,37977856.1281,-0.0249,0.0,0.0,0.0,-583118.4953,-361649.5771,2022-03-21; 2022-04-05; 2022-04-13; 2022-04-20; 2022-04-25; 2022-05-17; 2022-06-01
T03,2022-03-23,969698.0821,12113422.7971,13083120.8792,0.9259,241500000.0,-228585642.0485,0.0,-423286.3658,-377648.7886,2022-03-30; 2022-04-13; 2022-04-20; 2022-04-22; 2022-04-26
T04,2022-04-06,935440.226,1868134.7662,2803574.9922,0.6663,245070000.0,-242227316.2378,-171580.4927,-390936.0333,-412032.4699,2022-04-12; 2022-04-14; 2022-04-20; 2022-04-27; 2022-05-04; 2022-05-20; 2022-05-24
T05,2022-04-21,47622722.6178,-2128940.7659,45493781.8519,-0.0468,0.0,0.0,0.0,-936239.2426,-1192701.5233,2022-04-28; 2022-05-10; 2022-05-18; 2022-05-20; 2022-06-16; 2022-06-21; 2022-07-01; 2022-07-04
T06,2022-05-10,782484.082,3540829.0863,4323313.1683,0.819,240825000.0,-236590443.2347,0.0,-314863.5738,-378864.1053,2022-05-13; 2022-05-20; 2022-05-25; 2022-06-01; 2022-06-07
T07,2022-05-25,1437833.1228,8973459.884,10411293.0068,0.8619,308526353.0212,-298169038.9732,-225622.7715,-613317.1202,-544914.2723,2022-05-27; 2022-06-08; 2022-06-15; 2022-06-21; 2022-07-20; 2022-07-26
T08,2022-06-08,3251747.4089,16852246.9731,20103994.382,0.8383,279058569.8167,-261033508.7031,0.0,-687429.5922,-485384.5483,2022-06-10; 2022-06-22; 2022-06-29; 2022-07-15; 2022-08-01; 2022-08-09; 2022-08-16
T09,2022-08-03,-1330570.283,10765154.9598,9434584.6768,1.141,202200000.0,-190780411.6733,0.0,-348824.5582,-305608.8087,2022-08-05; 2022-08-17; 2022-08-18; 2022-08-24; 2022-08-26
BOOK,,94324860.3046,70916742.035,165241602.3396,0.4292,2006479922.838,-1924182778.5425,-791166.9125,-5457524.4561,-5131710.8919,
