sample,pair,series_a,series_b,metric,value,flag,note
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),n_common_days,126.0,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),level_corr,0.999968,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),daily_logret_corr,0.999457,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),weekly_logret_corr,0.999292,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),basis_mean_inr_kg,0.431457,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),basis_std_inr_kg,0.270328,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),basis_mean_inr_t,431.45736,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),daily_vol_a,0.023252,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
window_2022-03-01_2022-08-31,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),daily_vol_b,0.023331,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),n_common_days,1264.0,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
panel_2018-01-02_2022-12-30,proxy_m1_vs_duty_paid_parity,mcx_al_m1_inr_kg (panel PROXY),LME cash × USDINR × (1 + BCD 7601 × (1 + SWS)),level_corr,0.999985,PROXY,"PROXY vs PROXY: the proxy IS this parity times carry, so these statistics are mechanical"
