week_end,lane,grade,moisture_frac,contamination_frac,metal_yield_case,metal_yield_frac,is_base_quality,moisture_excess_frac,payable_frac,contamination_excess_frac,discount_frac,outcome,recovery_frac,landed_inr_t,landed_per_t_recovered_inr_t,net_arb_base_inr_t,net_arb_inr_t,net_arb_impact_inr_t,net_arb_impact_1000mt_inr,net_arb_no_spa_clauses_inr_t,spa_clause_value_inr_t,window_open
2022-03-04,JEA_NSA,zorba,0.01,0.06,low,0.92,False,0.0,1.0,0.0,0.0,ACCEPT,0.856152,217674.59,254247.6,51903.27,49128.77,-2774.51,-2774509.0,49128.77,0.0,True
2022-03-04,JEA_NSA,zorba,0.01,0.06,base,0.93,True,0.0,1.0,0.0,0.0,ACCEPT,0.865458,217674.59,251513.75,51903.27,51903.27,0.0,0.0,51903.27,0.0,True
2022-03-04,JEA_NSA,zorba,0.01,0.06,high,0.94,False,0.0,1.0,0.0,0.0,ACCEPT,0.874764,217674.59,248838.08,51903.27,54677.78,2774.51,2774509.0,54677.78,0.0,True
2022-03-04,JEA_NSA,zorba,0.01,0.07,low,0.92,False,0.0,1.0,0.01,0.015,ACCEPT_ADJUSTED,0.847044,214434.31,253156.05,51903.27,49653.57,-2249.7,-2249705.0,46413.29,3240.28,True
2022-03-04,JEA_NSA,zorba,0.01,0.07,base,0.93,False,0.0,1.0,0.01,0.015,ACCEPT_ADJUSTED,0.856251,214434.31,250433.94,51903.27,52398.56,495.29,495288.0,49158.28,3240.28,True
2022-03-04,JEA_NSA,zorba,0.01,0.07,high,0.94,False,0.0,1.0,0.01,0.015,ACCEPT_ADJUSTED,0.865458,214434.31,247769.75,51903.27,55143.55,3240.28,3240280.0,51903.27,3240.28,True
2022-03-04,JEA_NSA,zorba,0.01,0.08,low,0.92,False,0.0,1.0,0.02,0.03,ACCEPT_ADJUSTED,0.837936,211194.03,252040.77,51903.27,50178.37,-1724.9,-1724901.0,43697.81,6480.56,True
2022-03-04,JEA_NSA,zorba,0.01,0.08,base,0.93,False,0.0,1.0,0.02,0.03,ACCEPT_ADJUSTED,0.847044,211194.03,249330.65,51903.27,52893.85,990.58,990575.0,46413.29,6480.56,True
2022-03-04,JEA_NSA,zorba,0.01,0.08,high,0.94,False,0.0,1.0,0.02,0.03,ACCEPT_ADJUSTED,0.856152,211194.03,246678.2,51903.27,55609.33,3706.05,3706052.0,49128.77,6480.56,True
2022-03-04,JEA_NSA,zorba,0.01,0.09,low,0.92,False,0.0,1.0,0.03,0.045,ACCEPT_ADJUSTED,0.828828,207953.75,250900.97,51903.27,50703.18,-1200.1,-1200097.0,40982.34,9720.84,True
2022-03-04,JEA_NSA,zorba,0.01,0.09,base,0.93,False,0.0,1.0,0.03,0.045,ACCEPT_ADJUSTED,0.837837,207953.75,248203.11,51903.27,53389.14,1485.86,1485863.0,43668.3,9720.84,True
2022-03-04,JEA_NSA,zorba,0.01,0.09,high,0.94,False,0.0,1.0,0.03,0.045,ACCEPT_ADJUSTED,0.846846,207953.75,245562.65,51903.27,56075.1,4171.82,4171823.0,46354.26,9720.84,True
2022-03-04,JEA_NSA,zorba,0.01,0.11,low,0.92,False,0.0,1.0,0.05,0.075,REJECTABLE,0.810612,201473.19,248544.54,51903.27,51752.79,-150.49,-150490.0,35551.38,16201.4,True
2022-03-04,JEA_NSA,zorba,0.01,0.11,base,0.93,False,0.0,1.0,0.05,0.075,REJECTABLE,0.819423,201473.19,245872.02,51903.27,54379.71,2476.44,2476439.0,38178.31,16201.4,True
2022-03-04,JEA_NSA,zorba,0.01,0.11,high,0.94,False,0.0,1.0,0.05,0.075,REJECTABLE,0.828234,201473.19,243256.36,51903.27,57006.64,5103.37,5103367.0,40805.24,16201.4,True
2022-03-04,JEA_NSA,zorba,0.02,0.06,low,0.92,False,0.01,0.99,0.0,0.0,ACCEPT_ADJUSTED,0.847504,215514.4,254293.08,51903.27,48593.97,-3309.31,-3309305.0,46433.78,2160.19,True
2022-03-04,JEA_NSA,zorba,0.02,0.06,base,0.93,False,0.01,0.99,0.0,0.0,ACCEPT_ADJUSTED,0.856716,215514.4,251558.75,51903.27,51340.45,-562.82,-562822.0,49180.27,2160.19,True
2022-03-04,JEA_NSA,zorba,0.02,0.06,high,0.94,False,0.01,0.99,0.0,0.0,ACCEPT_ADJUSTED,0.865928,215514.4,248882.59,51903.27,54086.94,2183.66,2183661.0,51926.75,2160.19,True
2022-03-04,JEA_NSA,zorba,0.02,0.07,low,0.92,False,0.01,0.99,0.01,0.015,ACCEPT_ADJUSTED,0.838488,212306.53,253201.63,51903.27,49113.8,-2789.48,-2789475.0,43745.74,5368.06,True
2022-03-04,JEA_NSA,zorba,0.02,0.07,base,0.93,False,0.01,0.99,0.01,0.015,ACCEPT_ADJUSTED,0.847602,212306.53,250479.03,51903.27,51831.06,-72.21,-72210.0,46463.0,5368.06,True
2022-03-04,JEA_NSA,zorba,0.02,0.07,high,0.94,False,0.01,0.99,0.01,0.015,ACCEPT_ADJUSTED,0.856716,212306.53,247814.36,51903.27,54548.33,2645.06,2645055.0,49180.27,5368.06,True
2022-03-04,JEA_NSA,zorba,0.02,0.08,low,0.92,False,0.01,0.99,0.02,0.03,ACCEPT_ADJUSTED,0.829472,209098.65,252086.45,51903.27,49633.63,-2269.65,-2269645.0,41057.69,8575.94,True
2022-03-04,JEA_NSA,zorba,0.02,0.08,base,0.93,False,0.01,0.99,0.02,0.03,ACCEPT_ADJUSTED,0.838488,209098.65,249375.84,51903.27,52321.68,418.4,418402.0,43745.74,8575.94,True
2022-03-04,JEA_NSA,zorba,0.02,0.08,high,0.94,False,0.01,0.99,0.02,0.03,ACCEPT_ADJUSTED,0.847504,209098.65,246722.91,51903.27,55009.72,3106.45,3106450.0,46433.78,8575.94,True
2022-03-04,JEA_NSA,zorba,0.02,0.09,low,0.92,False,0.01,0.99,0.03,0.045,ACCEPT_ADJUSTED,0.820456,205890.77,250946.76,51903.27,50153.46,-1749.82,-1749815.0,38369.64,11783.82,True
2022-03-04,JEA_NSA,zorba,0.02,0.09,base,0.93,False,0.01,0.99,0.03,0.045,ACCEPT_ADJUSTED,0.829374,205890.77,248248.4,51903.27,52812.29,909.01,909014.0,41028.47,11783.82,True
2022-03-04,JEA_NSA,zorba,0.02,0.09,high,0.94,False,0.01,0.99,0.03,0.045,ACCEPT_ADJUSTED,0.838292,205890.77,245607.46,51903.27,55471.12,3567.84,3567844.0,43687.3,11783.82,True
2022-03-04,JEA_NSA,zorba,0.02,0.11,low,0.92,False,0.01,0.99,0.05,0.075,REJECTABLE,0.802424,199475.02,248590.54,51903.27,51193.12,-710.16,-710155.0,32993.55,18199.57,True
2022-03-04,JEA_NSA,zorba,0.02,0.11,base,0.93,False,0.01,0.99,0.05,0.075,REJECTABLE,0.811146,199475.02,245917.53,51903.27,53793.51,1890.24,1890239.0,35593.94,18199.57,True
