week_end,grade,lane,in_window,case,case_group,required,net_arb_inr_t,window_open
2022-01-07,zorba,JEA_NSA,False,base,base,True,18435.05,True
2022-01-07,zorba,USEC_MUN,False,base,base,True,16526.64,True
2022-01-07,taint_tabor,JEA_NSA,False,base,base,True,16093.51,True
2022-01-07,taint_tabor,USEC_MUN,False,base,base,True,14701.63,True
2022-01-07,tense,JEA_NSA,False,base,base,True,32091.55,True
2022-01-07,tense,USEC_MUN,False,base,base,True,30379.28,True
2022-01-14,zorba,JEA_NSA,False,base,base,True,23168.61,True
2022-01-14,zorba,USEC_MUN,False,base,base,True,21279.18,True
2022-01-14,taint_tabor,JEA_NSA,False,base,base,True,20830.5,True
2022-01-14,taint_tabor,USEC_MUN,False,base,base,True,19457.93,True
2022-01-14,tense,JEA_NSA,False,base,base,True,37075.64,True
2022-01-14,tense,USEC_MUN,False,base,base,True,35384.37,True
2022-01-21,zorba,JEA_NSA,False,base,base,True,26119.04,True
2022-01-21,zorba,USEC_MUN,False,base,base,True,24210.51,True
2022-01-21,taint_tabor,JEA_NSA,False,base,base,True,23794.12,True
2022-01-21,taint_tabor,USEC_MUN,False,base,base,True,22403.31,True
2022-01-21,tense,JEA_NSA,False,base,base,True,40551.13,True
2022-01-21,tense,USEC_MUN,False,base,base,True,38844.94,True
2022-01-28,zorba,JEA_NSA,False,base,base,True,26946.12,True
2022-01-28,zorba,USEC_MUN,False,base,base,True,25022.37,True
2022-01-28,taint_tabor,JEA_NSA,False,base,base,True,24610.5,True
2022-01-28,taint_tabor,USEC_MUN,False,base,base,True,23205.2,True
2022-01-28,tense,JEA_NSA,False,base,base,True,41659.03,True
2022-01-28,tense,USEC_MUN,False,base,base,True,39940.05,True
2022-02-04,zorba,JEA_NSA,False,base,base,True,26545.08,True
2022-02-04,zorba,USEC_MUN,False,base,base,True,24722.38,True
2022-02-04,taint_tabor,JEA_NSA,False,base,base,True,24234.24,True
2022-02-04,taint_tabor,USEC_MUN,False,base,base,True,22932.96,True
2022-02-04,tense,JEA_NSA,False,base,base,True,41094.81,True
2022-02-04,tense,USEC_MUN,False,base,base,True,39480.75,True
2022-02-11,zorba,JEA_NSA,False,base,base,True,28032.51,True
2022-02-11,zorba,USEC_MUN,False,base,base,True,26171.61,True
2022-02-11,taint_tabor,JEA_NSA,False,base,base,True,25657.15,True
2022-02-11,taint_tabor,USEC_MUN,False,base,base,True,24319.0,True
2022-02-11,tense,JEA_NSA,False,base,base,True,43254.94,True
2022-02-11,tense,USEC_MUN,False,base,base,True,41608.98,True
2022-02-18,zorba,JEA_NSA,False,base,base,True,32414.51,True
2022-02-18,zorba,USEC_MUN,False,base,base,True,30557.84,True
2022-02-18,taint_tabor,JEA_NSA,False,base,base,True,30084.27,True
2022-02-18,taint_tabor,USEC_MUN,False,base,base,True,28750.76,True
2022-02-18,tense,JEA_NSA,False,base,base,True,48042.48,True
2022-02-18,tense,USEC_MUN,False,base,base,True,46403.78,True
2022-02-25,zorba,JEA_NSA,False,base,base,True,37438.65,True
2022-02-25,zorba,USEC_MUN,False,base,base,True,35599.09,True
2022-02-25,taint_tabor,JEA_NSA,False,base,base,True,35052.77,True
2022-02-25,taint_tabor,USEC_MUN,False,base,base,True,33737.25,True
2022-02-25,tense,JEA_NSA,False,base,base,True,53418.02,True
2022-02-25,tense,USEC_MUN,False,base,base,True,51799.95,True
2022-03-04,zorba,JEA_NSA,True,base,base,True,51903.27,True
2022-03-04,zorba,USEC_MUN,True,base,base,True,49903.86,True
2022-03-04,taint_tabor,JEA_NSA,True,base,base,True,49289.35,True
2022-03-04,taint_tabor,USEC_MUN,True,base,base,True,47816.94,True
2022-03-04,tense,JEA_NSA,True,base,base,True,70765.99,True
2022-03-04,tense,USEC_MUN,True,base,base,True,69010.88,True
2022-03-11,zorba,JEA_NSA,True,base,base,True,46568.52,True
2022-03-11,zorba,USEC_MUN,True,base,base,True,44681.37,True
2022-03-11,taint_tabor,JEA_NSA,True,base,base,True,43920.29,True
2022-03-11,taint_tabor,USEC_MUN,True,base,base,True,42557.23,True
2022-03-11,tense,JEA_NSA,True,base,base,True,63523.34,True
2022-03-11,tense,USEC_MUN,True,base,base,True,61865.03,True
2022-03-18,zorba,JEA_NSA,True,base,base,True,45790.93,True
2022-03-18,zorba,USEC_MUN,True,base,base,True,43942.6,True
2022-03-18,taint_tabor,JEA_NSA,True,base,base,True,43204.94,True
2022-03-18,taint_tabor,USEC_MUN,True,base,base,True,41879.73,True
2022-03-18,tense,JEA_NSA,True,base,base,True,62182.04,True
2022-03-18,tense,USEC_MUN,True,base,base,True,60557.36,True
2022-03-25,zorba,JEA_NSA,True,base,base,True,46314.24,True
2022-03-25,zorba,USEC_MUN,True,base,base,True,44386.41,True
2022-03-25,taint_tabor,JEA_NSA,True,base,base,True,43674.24,True
2022-03-25,taint_tabor,USEC_MUN,True,base,base,True,42271.18,True
2022-03-25,tense,JEA_NSA,True,base,base,True,63749.25,True
2022-03-25,tense,USEC_MUN,True,base,base,True,62054.22,True
2022-04-01,zorba,JEA_NSA,True,base,base,True,40523.37,True
2022-04-01,zorba,USEC_MUN,True,base,base,True,38695.0,True
2022-04-01,taint_tabor,JEA_NSA,True,base,base,True,37923.94,True
2022-04-01,taint_tabor,USEC_MUN,True,base,base,True,36623.37,True
2022-04-01,tense,JEA_NSA,True,base,base,True,57437.81,True
2022-04-01,tense,USEC_MUN,True,base,base,True,55843.88,True
2022-04-08,zorba,JEA_NSA,True,base,base,True,34274.49,True
2022-04-08,zorba,USEC_MUN,True,base,base,True,32430.5,True
2022-04-08,taint_tabor,JEA_NSA,True,base,base,True,31670.02,True
2022-04-08,taint_tabor,USEC_MUN,True,base,base,True,30352.93,True
2022-04-08,tense,JEA_NSA,True,base,base,True,50701.49,True
2022-04-08,tense,USEC_MUN,True,base,base,True,49087.82,True
2022-04-15,zorba,JEA_NSA,True,base,base,True,28618.04,True
2022-04-15,zorba,USEC_MUN,True,base,base,True,26783.86,True
2022-04-15,taint_tabor,JEA_NSA,True,base,base,True,26064.61,True
2022-04-15,taint_tabor,USEC_MUN,True,base,base,True,24756.14,True
2022-04-15,tense,JEA_NSA,True,base,base,True,44280.82,True
2022-04-15,tense,USEC_MUN,True,base,base,True,42669.94,True
2022-04-22,zorba,JEA_NSA,True,base,base,True,25363.12,True
2022-04-22,zorba,USEC_MUN,True,base,base,True,23478.67,True
2022-04-22,taint_tabor,JEA_NSA,True,base,base,True,22828.58,True
2022-04-22,taint_tabor,USEC_MUN,True,base,base,True,21470.18,True
2022-04-22,tense,JEA_NSA,True,base,base,True,41108.54,True
2022-04-22,tense,USEC_MUN,True,base,base,True,39449.16,True
2022-04-29,zorba,JEA_NSA,True,base,base,True,19773.54,True
2022-04-29,zorba,USEC_MUN,True,base,base,True,17922.83,True
2022-04-29,taint_tabor,JEA_NSA,True,base,base,True,17351.9,True
2022-04-29,taint_tabor,USEC_MUN,True,base,base,True,16025.43,True
2022-04-29,tense,JEA_NSA,True,base,base,True,34443.33,True
2022-04-29,tense,USEC_MUN,True,base,base,True,32807.39,True
2022-05-06,zorba,JEA_NSA,True,base,base,True,12841.8,True
2022-05-06,zorba,USEC_MUN,True,base,base,True,11092.89,True
2022-05-06,taint_tabor,JEA_NSA,True,base,base,True,10423.53,True
2022-05-06,taint_tabor,USEC_MUN,True,base,base,True,9200.69,True
2022-05-06,tense,JEA_NSA,True,base,base,True,26593.03,True
2022-05-06,tense,USEC_MUN,True,base,base,True,25056.19,True
2022-05-13,zorba,JEA_NSA,True,base,base,True,9265.29,True
2022-05-13,zorba,USEC_MUN,True,base,base,True,7521.45,True
2022-05-13,taint_tabor,JEA_NSA,True,base,base,True,6908.15,True
2022-05-13,taint_tabor,USEC_MUN,True,base,base,True,5689.69,True
2022-05-13,tense,JEA_NSA,True,base,base,True,22517.19,True
2022-05-13,tense,USEC_MUN,True,base,base,True,20980.44,True
2022-05-20,zorba,JEA_NSA,True,base,base,True,10178.1,True
