ref_case,week_end,grade,lane,freight_terms,freight_shock_pct,bcd_rate_pct,freight_shocked_usd_t,net_arb_base_inr_t,net_arb_shocked_inr_t,window_open_shocked,pnl_impact_1000mt_inr
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-40,0.0,13.8462,51903.27,58407.31,True,6504037.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-40,2.5,13.8462,51903.27,52639.4,True,736129.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-40,5.0,13.8462,51903.27,46871.5,True,-5031779.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-40,7.5,13.8462,51903.27,41103.59,True,-10799687.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-40,10.0,13.8462,51903.27,35335.68,True,-16567595.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-20,0.0,18.4615,51903.27,58049.11,True,6145834.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-20,2.5,18.4615,51903.27,52271.34,True,368065.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-20,5.0,18.4615,51903.27,46493.57,True,-5409705.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-20,7.5,18.4615,51903.27,40715.8,True,-11187474.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,-20,10.0,18.4615,51903.27,34938.03,True,-16965243.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,0,0.0,23.0769,51903.27,57690.91,True,5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,0,2.5,23.0769,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,0,5.0,23.0769,51903.27,46115.64,True,-5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,0,7.5,23.0769,51903.27,40328.01,True,-11575261.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,0,10.0,23.0769,51903.27,34540.38,True,-17362891.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,20,0.0,27.6923,51903.27,57332.7,True,5429427.0
