ref_case,week_end,grade,lane,lme_shock_pct,usdinr,usdinr_is_base,lme_3m_shocked_usd_t,net_arb_base_inr_t,net_arb_shocked_inr_t,window_open_shocked,pnl_impact_1000mt_inr
first_eligible,2022-03-04,zorba,JEA_NSA,-30,74.0,False,2674.0,51903.27,28845.59,True,-23057680.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,74.0,False,2865.0,51903.27,32322.2,True,-19581071.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,74.0,False,3056.0,51903.27,35798.81,True,-16104463.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,74.0,False,3247.0,51903.27,39275.42,True,-12627854.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,74.0,False,3438.0,51903.27,42752.03,True,-9151245.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,74.0,False,3629.0,51903.27,46228.64,True,-5674637.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,74.0,False,3820.0,51903.27,49705.25,True,-2198028.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,74.0,False,4011.0,51903.27,53181.86,True,1278581.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,74.0,False,4202.0,51903.27,56658.46,True,4755189.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,75.0,False,2674.0,51903.27,29501.79,True,-22401482.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,75.0,False,2865.0,51903.27,33025.38,True,-18877892.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,75.0,False,3056.0,51903.27,36548.97,True,-15354302.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,75.0,False,3247.0,51903.27,40072.56,True,-11830712.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,75.0,False,3438.0,51903.27,43596.15,True,-8307122.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,75.0,False,3629.0,51903.27,47119.74,True,-4783532.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,75.0,False,3820.0,51903.27,50643.33,True,-1259943.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,75.0,False,4011.0,51903.27,54166.92,True,2263647.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,75.0,False,4202.0,51903.27,57690.51,True,5787237.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,76.0,False,2674.0,51903.27,30157.99,True,-21745283.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,76.0,False,2865.0,51903.27,33728.56,True,-18174712.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,76.0,False,3056.0,51903.27,37299.13,True,-14604141.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,76.0,False,3247.0,51903.27,40869.7,True,-11033570.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,76.0,False,3438.0,51903.27,44440.28,True,-7462999.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,76.0,False,3629.0,51903.27,48010.85,True,-3892428.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,76.0,False,3820.0,51903.27,51581.42,True,-321857.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,76.0,False,4011.0,51903.27,55151.99,True,3248714.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,76.0,False,4202.0,51903.27,58722.56,True,6819285.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,77.0,False,2674.0,51903.27,30814.19,True,-21089085.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,77.0,False,2865.0,51903.27,34431.74,True,-17471533.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,77.0,False,3056.0,51903.27,38049.29,True,-13853980.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,77.0,False,3247.0,51903.27,41666.85,True,-10236428.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,77.0,False,3438.0,51903.27,45284.4,True,-6618876.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,77.0,False,3629.0,51903.27,48901.95,True,-3001324.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,77.0,False,3820.0,51903.27,52519.5,True,616228.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,77.0,False,4011.0,51903.27,56137.06,True,4233781.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,77.0,False,4202.0,51903.27,59754.61,True,7851333.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,78.0,False,2674.0,51903.27,31470.39,True,-20432887.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,78.0,False,2865.0,51903.27,35134.92,True,-16768353.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,78.0,False,3056.0,51903.27,38799.46,True,-13103820.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,78.0,False,3247.0,51903.27,42463.99,True,-9439286.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,78.0,False,3438.0,51903.27,46128.52,True,-5774753.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,78.0,False,3629.0,51903.27,49793.06,True,-2110220.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,78.0,False,3820.0,51903.27,53457.59,True,1554314.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,78.0,False,4011.0,51903.27,57122.12,True,5218847.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,78.0,False,4202.0,51903.27,60786.66,True,8883381.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,79.0,False,2674.0,51903.27,32126.59,True,-19776688.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,79.0,False,2865.0,51903.27,35838.1,True,-16065174.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,79.0,False,3056.0,51903.27,39549.62,True,-12353659.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,79.0,False,3247.0,51903.27,43261.13,True,-8642144.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,79.0,False,3438.0,51903.27,46972.64,True,-4930630.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,79.0,False,3629.0,51903.27,50684.16,True,-1219115.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,79.0,False,3820.0,51903.27,54395.67,True,2492399.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,79.0,False,4011.0,51903.27,58107.19,True,6203914.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,79.0,False,4202.0,51903.27,61818.7,True,9915429.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,80.0,False,2674.0,51903.27,32782.78,True,-19120490.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,80.0,False,2865.0,51903.27,36541.28,True,-15361994.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,80.0,False,3056.0,51903.27,40299.78,True,-11603498.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,80.0,False,3247.0,51903.27,44058.27,True,-7845003.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,80.0,False,3438.0,51903.27,47816.77,True,-4086507.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,80.0,False,3629.0,51903.27,51575.26,True,-328011.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,80.0,False,3820.0,51903.27,55333.76,True,3430485.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,80.0,False,4011.0,51903.27,59092.26,True,7188981.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,80.0,False,4202.0,51903.27,62850.75,True,10947476.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,81.0,False,2674.0,51903.27,33438.98,True,-18464292.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,81.0,False,2865.0,51903.27,37244.46,True,-14658815.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,81.0,False,3056.0,51903.27,41049.94,True,-10853338.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,81.0,False,3247.0,51903.27,44855.41,True,-7047861.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,81.0,False,3438.0,51903.27,48660.89,True,-3242384.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,81.0,False,3629.0,51903.27,52466.37,True,563093.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,81.0,False,3820.0,51903.27,56271.85,True,4368570.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,81.0,False,4011.0,51903.27,60077.32,True,8174047.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,81.0,False,4202.0,51903.27,63882.8,True,11979524.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,82.0,False,2674.0,51903.27,34095.18,True,-17808093.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,82.0,False,2865.0,51903.27,37947.64,True,-13955635.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,82.0,False,3056.0,51903.27,41800.1,True,-10103177.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,82.0,False,3247.0,51903.27,45652.56,True,-6250719.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,82.0,False,3438.0,51903.27,49505.01,True,-2398261.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,82.0,False,3629.0,51903.27,53357.47,True,1454198.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,82.0,False,3820.0,51903.27,57209.93,True,5306656.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,82.0,False,4011.0,51903.27,61062.39,True,9159114.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,82.0,False,4202.0,51903.27,64914.85,True,13011572.0
first_eligible,2022-03-04,zorba,JEA_NSA,-30,76.3431,True,2674.0,51903.27,30383.13,True,-21520142.0
first_eligible,2022-03-04,zorba,JEA_NSA,-25,76.3431,True,2865.0,51903.27,33969.82,True,-17933451.0
first_eligible,2022-03-04,zorba,JEA_NSA,-20,76.3431,True,3056.0,51903.27,37556.51,True,-14346761.0
first_eligible,2022-03-04,zorba,JEA_NSA,-15,76.3431,True,3247.0,51903.27,41143.2,True,-10760071.0
first_eligible,2022-03-04,zorba,JEA_NSA,-10,76.3431,True,3438.0,51903.27,44729.89,True,-7173381.0
first_eligible,2022-03-04,zorba,JEA_NSA,-5,76.3431,True,3629.0,51903.27,48316.58,True,-3586690.0
first_eligible,2022-03-04,zorba,JEA_NSA,0,76.3431,True,3820.0,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,5,76.3431,True,4011.0,51903.27,55489.97,True,3586690.0
first_eligible,2022-03-04,zorba,JEA_NSA,10,76.3431,True,4202.0,51903.27,59076.66,True,7173381.0
june_trough,2022-06-17,zorba,JEA_NSA,-30,74.0,False,1751.4,-3677.54,-9108.42,False,-5430886.0
june_trough,2022-06-17,zorba,JEA_NSA,-25,74.0,False,1876.5,-3677.54,-8342.81,False,-4665279.0
june_trough,2022-06-17,zorba,JEA_NSA,-20,74.0,False,2001.6,-3677.54,-7577.21,False,-3899671.0
june_trough,2022-06-17,zorba,JEA_NSA,-15,74.0,False,2126.7,-3677.54,-6811.6,False,-3134064.0
june_trough,2022-06-17,zorba,JEA_NSA,-10,74.0,False,2251.8,-3677.54,-6045.99,False,-2368456.0
june_trough,2022-06-17,zorba,JEA_NSA,-5,74.0,False,2376.9,-3677.54,-5280.38,False,-1602849.0
june_trough,2022-06-17,zorba,JEA_NSA,0,74.0,False,2502.0,-3677.54,-4514.78,False,-837242.0
june_trough,2022-06-17,zorba,JEA_NSA,5,74.0,False,2627.1,-3677.54,-3749.17,False,-71634.0
june_trough,2022-06-17,zorba,JEA_NSA,10,74.0,False,2752.2,-3677.54,-2983.56,False,693973.0
june_trough,2022-06-17,zorba,JEA_NSA,-30,75.0,False,1751.4,-3677.54,-8965.12,False,-5287580.0
june_trough,2022-06-17,zorba,JEA_NSA,-25,75.0,False,1876.5,-3677.54,-8189.16,False,-4511626.0
june_trough,2022-06-17,zorba,JEA_NSA,-20,75.0,False,2001.6,-3677.54,-7413.21,False,-3735673.0
june_trough,2022-06-17,zorba,JEA_NSA,-15,75.0,False,2126.7,-3677.54,-6637.26,False,-2959720.0
june_trough,2022-06-17,zorba,JEA_NSA,-10,75.0,False,2251.8,-3677.54,-5861.3,False,-2183766.0
june_trough,2022-06-17,zorba,JEA_NSA,-5,75.0,False,2376.9,-3677.54,-5085.35,False,-1407813.0
june_trough,2022-06-17,zorba,JEA_NSA,0,75.0,False,2502.0,-3677.54,-4309.39,False,-631859.0
june_trough,2022-06-17,zorba,JEA_NSA,5,75.0,False,2627.1,-3677.54,-3533.44,False,144094.0
