ref_case,week_end,grade,lane,lme_shock_pct,usdinr_74,usdinr_75,usdinr_76,usdinr_77,usdinr_78,usdinr_79,usdinr_80,usdinr_81,usdinr_82,usdinr_base_76.3431,usdinr_base_78.0765
first_eligible,2022-03-04,zorba,JEA_NSA,-30,-23057679.8287,-22401481.5244,-21745283.22,-21089084.9157,-20432886.6113,-19776688.307,-19120490.0027,-18464291.6983,-17808093.394,-21520141.5818,
first_eligible,2022-03-04,zorba,JEA_NSA,-25,-19581071.2091,-18877891.7072,-18174712.2053,-17471532.7034,-16768353.2015,-16065173.6996,-15361994.1977,-14658814.6958,-13955635.1939,-17933451.3182,
first_eligible,2022-03-04,zorba,JEA_NSA,-20,-16104462.5894,-15354301.89,-14604141.1905,-13853980.4911,-13103819.7916,-12353659.0921,-11603498.3927,-10853337.6932,-10103176.9937,-14346761.0545,
first_eligible,2022-03-04,zorba,JEA_NSA,-15,-12627853.9698,-11830712.0728,-11033570.1758,-10236428.2787,-9439286.3817,-8642144.4847,-7845002.5877,-7047860.6906,-6250718.7936,-10760070.7909,
first_eligible,2022-03-04,zorba,JEA_NSA,-10,-9151245.3502,-8307122.2556,-7462999.161,-6618876.0664,-5774752.9718,-4930629.8773,-4086506.7827,-3242383.6881,-2398260.5935,-7173380.5273,
first_eligible,2022-03-04,zorba,JEA_NSA,-5,-5674636.7306,-4783532.4384,-3892428.1463,-3001323.8541,-2110219.562,-1219115.2698,-328010.9777,563093.3145,1454197.6066,-3586690.2636,
first_eligible,2022-03-04,zorba,JEA_NSA,0,-2198028.1109,-1259942.6212,-321857.1315,616228.3582,1554313.8479,2492399.3376,3430484.8273,4368570.317,5306655.8067,0.0,
first_eligible,2022-03-04,zorba,JEA_NSA,5,1278580.5087,2263647.196,3248713.8832,4233780.5705,5218847.2578,6203913.9451,7188980.6323,8174047.3196,9159114.0069,3586690.2636,
first_eligible,2022-03-04,zorba,JEA_NSA,10,4755189.1283,5787237.0131,6819284.898,7851332.7828,8883380.6677,9915428.5525,10947476.4373,11979524.3222,13011572.207,7173380.5273,
june_trough,2022-06-17,zorba,JEA_NSA,-30,-5430886.0861,-5287579.9017,-5144273.7174,-5000967.5331,-4857661.3487,-4714355.1644,-4571048.9801,-4427742.7957,-4284436.6114,,-4846698.4256
june_trough,2022-06-17,zorba,JEA_NSA,-25,-4665278.6722,-4511626.4417,-4357974.2113,-4204321.9808,-4050669.7503,-3897017.5199,-3743365.2894,-3589713.0589,-3436060.8285,,-4038915.3547
june_trough,2022-06-17,zorba,JEA_NSA,-20,-3899671.2583,-3735672.9817,-3571674.7051,-3407676.4285,-3243678.1519,-3079679.8753,-2915681.5987,-2751683.3221,-2587685.0455,,-3231132.2838
june_trough,2022-06-17,zorba,JEA_NSA,-15,-3134063.8444,-2959719.5217,-2785375.199,-2611030.8762,-2436686.5535,-2262342.2308,-2087997.908,-1913653.5853,-1739309.2626,,-2423349.2128
june_trough,2022-06-17,zorba,JEA_NSA,-10,-2368456.4306,-2183766.0617,-1999075.6928,-1814385.324,-1629694.9551,-1445004.5862,-1260314.2174,-1075623.8485,-890933.4796,,-1615566.1419
june_trough,2022-06-17,zorba,JEA_NSA,-5,-1602849.0167,-1407812.6017,-1212776.1867,-1017739.7717,-822703.3567,-627666.9417,-432630.5267,-237594.1117,-42557.6967,,-807783.0709
june_trough,2022-06-17,zorba,JEA_NSA,0,-837241.6028,-631859.1417,-426476.6805,-221094.2194,-15711.7583,189670.7029,395053.164,600435.6251,805818.0862,,0.0
june_trough,2022-06-17,zorba,JEA_NSA,5,-71634.1889,144094.3183,359822.8256,575551.3329,791279.8401,1007008.3474,1222736.8547,1438465.3619,1654193.8692,,807783.0709
june_trough,2022-06-17,zorba,JEA_NSA,10,693973.225,920047.7784,1146122.3317,1372196.8851,1598271.4385,1824345.9919,2050420.5453,2276495.0987,2502569.6521,,1615566.1419
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,-30,-22738086.8096,-22089568.0501,-21441049.2906,-20792530.5311,-20144011.7715,-19495493.012,-18846974.2525,-18198455.493,-17549936.7335,-21218542.5042,
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,-25,-19310201.9379,-18615360.4098,-17920518.8818,-17225677.3537,-16530835.8257,-15835994.2976,-15141152.7695,-14446311.2415,-13751469.7134,-17682118.7535,
