case,case_group,required,grade,lane,n_weeks_in_window,open_weeks,flips_vs_base,first_open_week,last_open_week,net_arb_min_inr_t,net_arb_median_inr_t,net_arb_max_inr_t
base,base,True,zorba,JEA_NSA,27,17,0,2022-03-04,2022-08-26,-5126.31,7208.29,51903.27
base,base,True,zorba,USEC_MUN,27,14,0,2022-03-04,2022-08-19,-6768.07,5601.19,49903.86
base,base,True,taint_tabor,JEA_NSA,27,14,0,2022-03-04,2022-08-19,-7317.49,5049.12,49289.35
base,base,True,taint_tabor,USEC_MUN,27,13,0,2022-03-04,2022-08-12,-8430.39,3970.55,47816.94
base,base,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,6367.66,19037.35,70765.99
base,base,True,tense,USEC_MUN,27,26,0,2022-03-04,2022-09-02,4928.55,17590.26,69010.88
mix_lag1,grade_mix,True,zorba,JEA_NSA,27,9,8,2022-03-04,2022-04-29,-15843.99,-2615.59,58724.92
mix_lag1,grade_mix,True,zorba,USEC_MUN,27,9,5,2022-03-04,2022-04-29,-17581.4,-4476.91,56783.37
mix_lag1,grade_mix,True,taint_tabor,JEA_NSA,27,9,5,2022-03-04,2022-04-29,-18035.18,-4956.08,56110.99
mix_lag1,grade_mix,True,taint_tabor,USEC_MUN,27,9,4,2022-03-04,2022-04-29,-19243.72,-6056.47,54696.45
mix_lag1,grade_mix,True,tense,JEA_NSA,27,19,8,2022-03-04,2022-09-02,-4350.03,9496.27,77587.63
mix_lag1,grade_mix,True,tense,USEC_MUN,27,18,8,2022-03-04,2022-09-02,-5884.78,8003.83,75890.39
mix_lag3,grade_mix,True,zorba,JEA_NSA,27,27,10,2022-03-04,2022-09-02,6370.85,12736.02,51163.45
mix_lag3,grade_mix,True,zorba,USEC_MUN,27,26,12,2022-03-04,2022-09-02,4831.68,10971.35,49157.75
mix_lag3,grade_mix,True,taint_tabor,JEA_NSA,27,24,10,2022-03-04,2022-09-02,4179.66,10391.48,48549.52
mix_lag3,grade_mix,True,taint_tabor,USEC_MUN,27,19,8,2022-03-04,2022-09-02,3169.36,9191.23,47070.83
mix_lag3,grade_mix,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,17864.81,25911.19,70026.16
mix_lag3,grade_mix,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,16528.3,24351.35,68264.78
mix_pit,grade_mix,True,zorba,JEA_NSA,27,26,9,2022-03-04,2022-08-26,2122.0,20529.83,32786.42
mix_pit,grade_mix,True,zorba,USEC_MUN,27,24,12,2022-03-04,2022-08-12,537.47,19026.62,31274.13
mix_pit,grade_mix,True,taint_tabor,JEA_NSA,27,24,12,2022-03-04,2022-08-12,24.9,18289.83,30475.07
mix_pit,grade_mix,True,taint_tabor,USEC_MUN,27,24,11,2022-03-04,2022-08-12,-1030.17,17134.42,29489.59
mix_pit,grade_mix,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,13560.29,34879.96,45960.88
mix_pit,grade_mix,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,12179.79,33689.36,44657.8
grade_diff_q25,grade_diff,True,zorba,JEA_NSA,27,20,3,2022-03-04,2022-08-26,-410.52,12003.26,59275.44
grade_diff_q25,grade_diff,True,zorba,USEC_MUN,27,19,5,2022-03-04,2022-08-26,-2010.21,10439.79,57338.55
grade_diff_q25,grade_diff,True,taint_tabor,JEA_NSA,27,22,8,2022-03-04,2022-09-02,145.92,12637.86,60956.86
grade_diff_q25,grade_diff,True,taint_tabor,USEC_MUN,27,20,7,2022-03-04,2022-08-26,-900.39,11628.35,59583.42
grade_diff_q25,grade_diff,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,8764.52,21877.49,74512.99
grade_diff_q25,grade_diff,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,7346.8,20285.49,72789.68
grade_diff_q75,grade_diff,True,zorba,JEA_NSA,27,10,7,2022-03-04,2022-05-06,-10309.77,1937.78,43799.99
grade_diff_q75,grade_diff,True,zorba,USEC_MUN,27,9,5,2022-03-04,2022-04-29,-11997.79,282.72,41731.83
grade_diff_q75,grade_diff,True,taint_tabor,JEA_NSA,27,11,3,2022-03-04,2022-05-20,-9402.57,2929.02,46029.76
grade_diff_q75,grade_diff,True,taint_tabor,USEC_MUN,27,10,3,2022-03-04,2022-05-06,-10534.08,1831.17,44529.69
grade_diff_q75,grade_diff,True,tense,JEA_NSA,27,19,8,2022-03-04,2022-08-26,-2674.17,9798.37,56630.93
grade_diff_q75,grade_diff,True,tense,USEC_MUN,27,17,9,2022-03-04,2022-08-26,-4193.97,8312.93,54755.93
grade_diff_minus_iqr,grade_diff,True,zorba,JEA_NSA,27,26,9,2022-03-04,2022-09-02,4772.94,17273.77,67378.72
grade_diff_minus_iqr,grade_diff,True,zorba,USEC_MUN,27,23,9,2022-03-04,2022-09-02,3219.51,15758.26,65510.58
grade_diff_minus_iqr,grade_diff,True,taint_tabor,JEA_NSA,27,22,8,2022-03-04,2022-09-02,2230.99,14757.95,64216.45
grade_diff_minus_iqr,grade_diff,True,taint_tabor,USEC_MUN,27,22,9,2022-03-04,2022-09-02,1203.3,13767.73,62870.66
grade_diff_minus_iqr,grade_diff,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,17806.35,32591.51,88648.05
grade_diff_minus_iqr,grade_diff,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,16469.32,31092.28,87044.63
grade_diff_plus_iqr,grade_diff,True,zorba,JEA_NSA,27,9,8,2022-03-04,2022-04-29,-15025.55,-2857.2,36427.83
grade_diff_plus_iqr,grade_diff,True,zorba,USEC_MUN,27,9,5,2022-03-04,2022-04-29,-16755.65,-4555.89,34297.14
grade_diff_plus_iqr,grade_diff,True,taint_tabor,JEA_NSA,27,9,5,2022-03-04,2022-04-29,-16865.97,-4659.72,34362.25
grade_diff_plus_iqr,grade_diff,True,taint_tabor,USEC_MUN,27,8,5,2022-03-04,2022-04-22,-18064.08,-5826.62,32763.21
grade_diff_plus_iqr,grade_diff,True,tense,JEA_NSA,27,17,10,2022-03-04,2022-08-26,-5071.04,7361.26,52883.93
grade_diff_plus_iqr,grade_diff,True,tense,USEC_MUN,27,14,12,2022-03-04,2022-08-19,-6612.22,5853.64,50977.13
anchor_premium_-55000,anchor_premium,True,zorba,JEA_NSA,27,4,13,2022-03-04,2022-03-25,-44937.37,-32602.78,12092.21
anchor_premium_-55000,anchor_premium,True,zorba,USEC_MUN,27,1,13,2022-03-04,2022-03-04,-46579.14,-34209.88,10092.79
anchor_premium_-55000,anchor_premium,True,taint_tabor,JEA_NSA,27,1,13,2022-03-04,2022-03-04,-48583.72,-36217.12,8023.12
anchor_premium_-55000,anchor_premium,True,taint_tabor,USEC_MUN,27,1,12,2022-03-04,2022-03-04,-49696.62,-37295.68,6550.71
anchor_premium_-55000,anchor_premium,True,tense,JEA_NSA,27,6,21,2022-03-04,2022-04-08,-35795.67,-23125.97,28602.66
anchor_premium_-55000,anchor_premium,True,tense,USEC_MUN,27,6,20,2022-03-04,2022-04-08,-37234.78,-24573.06,26847.56
anchor_premium_-52000,anchor_premium,True,zorba,JEA_NSA,27,4,13,2022-03-04,2022-03-25,-42341.0,-30006.41,14688.58
anchor_premium_-52000,anchor_premium,True,zorba,USEC_MUN,27,4,10,2022-03-04,2022-03-25,-43982.77,-31613.51,12689.16
anchor_premium_-52000,anchor_premium,True,taint_tabor,JEA_NSA,27,3,11,2022-03-04,2022-03-25,-45892.45,-33525.84,10714.39
anchor_premium_-52000,anchor_premium,True,taint_tabor,USEC_MUN,27,1,12,2022-03-04,2022-03-04,-47005.35,-34604.4,9241.98
anchor_premium_-52000,anchor_premium,True,tense,JEA_NSA,27,6,21,2022-03-04,2022-04-08,-33045.88,-20376.19,31352.44
anchor_premium_-52000,anchor_premium,True,tense,USEC_MUN,27,6,20,2022-03-04,2022-04-08,-34484.99,-21823.28,29597.34
anchor_premium_-9000,anchor_premium,True,zorba,JEA_NSA,27,17,0,2022-03-04,2022-08-26,-5126.31,7208.29,51903.27
anchor_premium_-9000,anchor_premium,True,zorba,USEC_MUN,27,14,0,2022-03-04,2022-08-19,-6768.07,5601.19,49903.86
anchor_premium_-9000,anchor_premium,True,taint_tabor,JEA_NSA,27,14,0,2022-03-04,2022-08-19,-7317.49,5049.12,49289.35
anchor_premium_-9000,anchor_premium,True,taint_tabor,USEC_MUN,27,13,0,2022-03-04,2022-08-12,-8430.39,3970.55,47816.94
anchor_premium_-9000,anchor_premium,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,6367.66,19037.35,70765.99
anchor_premium_-9000,anchor_premium,True,tense,USEC_MUN,27,26,0,2022-03-04,2022-09-02,4928.55,17590.26,69010.88
anchor_premium_+13000,anchor_premium,True,zorba,JEA_NSA,27,27,10,2022-03-04,2022-09-02,13913.77,26248.36,70943.35
anchor_premium_+13000,anchor_premium,True,zorba,USEC_MUN,27,27,13,2022-03-04,2022-09-02,12272.0,24641.26,68943.93
anchor_premium_+13000,anchor_premium,True,taint_tabor,JEA_NSA,27,27,13,2022-03-04,2022-09-02,12418.53,24785.14,69025.37
anchor_premium_+13000,anchor_premium,True,taint_tabor,USEC_MUN,27,27,14,2022-03-04,2022-09-02,11305.63,23706.58,67552.96
anchor_premium_+13000,anchor_premium,True,tense,JEA_NSA,27,27,0,2022-03-04,2022-09-02,26532.73,39202.42,90931.05
anchor_premium_+13000,anchor_premium,True,tense,USEC_MUN,27,27,1,2022-03-04,2022-09-02,25093.62,37755.33,89175.95
anchor_sticky_trailing,anchor_sticky,True,zorba,JEA_NSA,27,26,11,2022-03-11,2022-09-02,-13063.63,32791.2,45297.12
anchor_sticky_trailing,anchor_sticky,True,zorba,USEC_MUN,27,26,14,2022-03-11,2022-09-02,-15890.17,30248.07,42817.24
anchor_sticky_trailing,anchor_sticky,True,taint_tabor,JEA_NSA,27,25,15,2022-03-11,2022-09-02,-18052.21,31102.12,44894.88
anchor_sticky_trailing,anchor_sticky,True,taint_tabor,USEC_MUN,27,25,16,2022-03-11,2022-09-02,-20381.97,29056.02,42913.01
anchor_sticky_trailing,anchor_sticky,True,tense,JEA_NSA,27,26,1,2022-03-11,2022-09-02,1960.48,47721.16,59925.12
anchor_sticky_trailing,anchor_sticky,True,tense,USEC_MUN,27,26,2,2022-03-11,2022-09-02,-670.61,45343.15,57599.2
anchor_mirror_m1,anchor_mirror,True,zorba,JEA_NSA,27,17,2,2022-03-04,2022-08-19,-2323.73,8729.21,42563.34
anchor_mirror_m1,anchor_mirror,True,zorba,USEC_MUN,27,15,1,2022-03-04,2022-08-19,-4818.49,6100.68,39736.8
anchor_mirror_m1,anchor_mirror,True,taint_tabor,JEA_NSA,27,15,1,2022-03-04,2022-08-19,-4500.49,6451.71,39608.02
