date,check,value,tolerance,scope,status
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T01,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T02,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T03,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T04,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T05,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T06,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T07,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T08,PASS
2022-10-31,bs_flows_lifetime_sum,0.0,0.01,T09,PASS
2022-10-31,final_pnl_vs_cashflows,-1.78814e-07,0.01,T01,PASS
2022-10-31,final_pnl_vs_cashflows,-7.451e-09,0.01,T02,PASS
2022-10-31,final_pnl_vs_cashflows,0.0,0.01,T03,PASS
2022-10-31,final_pnl_vs_cashflows,2.4214e-08,0.01,T04,PASS
2022-10-31,final_pnl_vs_cashflows,2.2352e-08,0.01,T05,PASS
2022-10-31,final_pnl_vs_cashflows,-2.2352e-08,0.01,T06,PASS
2022-10-31,final_pnl_vs_cashflows,8.1956e-08,0.01,T07,PASS
2022-10-31,final_pnl_vs_cashflows,-9.3132e-08,0.01,T08,PASS
2022-10-31,final_pnl_vs_cashflows,1.8626e-08,0.01,T09,PASS
2022-10-31,ledger_identity_max_abs,1.78814e-07,0.01,T01,PASS
2022-10-31,ledger_identity_max_abs,2.9802e-08,0.01,T02,PASS
2022-10-31,ledger_identity_max_abs,2.9802e-08,0.01,T03,PASS
2022-10-31,ledger_identity_max_abs,5.9605e-08,0.01,T04,PASS
2022-10-31,ledger_identity_max_abs,1.78814e-07,0.01,T05,PASS
2022-10-31,ledger_identity_max_abs,4.8429e-08,0.01,T06,PASS
2022-10-31,ledger_identity_max_abs,8.9407e-08,0.01,T07,PASS
2022-10-31,ledger_identity_max_abs,1.19209e-07,0.01,T08,PASS
2022-10-31,ledger_identity_max_abs,8.9407e-08,0.01,T09,PASS
2022-10-31,proxy_basis_max_abs,4.9969865e-05,0.001,inr_per_kg,PASS
2022-10-31,replacement_vs_p1_max_abs,0.227871699171,0.5,inr_per_mt (CIP 1m forward),PASS
2022-10-31,replacement_vs_p1_panelfx_max_abs,1.16e-10,0.01,inr_per_mt (panel usdinr_fwd_1m),PASS
2022-03-08,residual_max_abs,5.9605e-08,1.0,trade-day,PASS
2022-03-09,residual_max_abs,4.1327e-08,1.0,trade-day,PASS
2022-03-10,residual_max_abs,1.8859e-08,1.0,trade-day,PASS
2022-03-11,residual_max_abs,3.9116e-08,1.0,trade-day,PASS
2022-03-14,residual_max_abs,3.7835e-08,1.0,trade-day,PASS
2022-03-15,residual_max_abs,3.4459e-08,1.0,trade-day,PASS
2022-03-16,residual_max_abs,3.5041e-08,1.0,trade-day,PASS
2022-03-17,residual_max_abs,1.2107e-08,1.0,trade-day,PASS
2022-03-18,residual_max_abs,5.3085e-08,1.0,trade-day,PASS
2022-03-21,residual_max_abs,7.8682e-08,1.0,trade-day,PASS
2022-03-22,residual_max_abs,6.1467e-08,1.0,trade-day,PASS
2022-03-23,residual_max_abs,8.4081e-08,1.0,trade-day,PASS
2022-03-24,residual_max_abs,8.3819e-08,1.0,trade-day,PASS
2022-03-25,residual_max_abs,6.5193e-08,1.0,trade-day,PASS
2022-03-28,residual_max_abs,2.142e-08,1.0,trade-day,PASS
2022-03-29,residual_max_abs,9.9011e-08,1.0,trade-day,PASS
2022-03-30,residual_max_abs,1.0815e-07,1.0,trade-day,PASS
2022-03-31,residual_max_abs,1.7448e-08,1.0,trade-day,PASS
2022-04-01,residual_max_abs,2.9337e-08,1.0,trade-day,PASS
2022-04-04,residual_max_abs,4.0047e-08,1.0,trade-day,PASS
2022-04-05,residual_max_abs,5.4017e-08,1.0,trade-day,PASS
2022-04-06,residual_max_abs,4.8662e-08,1.0,trade-day,PASS
2022-04-07,residual_max_abs,5.4017e-08,1.0,trade-day,PASS
2022-04-08,residual_max_abs,5.1165e-08,1.0,trade-day,PASS
2022-04-11,residual_max_abs,6.0536e-08,1.0,trade-day,PASS
2022-04-12,residual_max_abs,6.1467e-08,1.0,trade-day,PASS
2022-04-13,residual_max_abs,3.2989e-08,1.0,trade-day,PASS
2022-04-14,residual_max_abs,3.4226e-08,1.0,trade-day,PASS
2022-04-19,residual_max_abs,7.73e-08,1.0,trade-day,PASS
2022-04-20,residual_max_abs,1.09896e-07,1.0,trade-day,PASS
2022-04-21,residual_max_abs,4.7497e-08,1.0,trade-day,PASS
2022-04-22,residual_max_abs,4.4354e-08,1.0,trade-day,PASS
2022-04-25,residual_max_abs,1.52737e-07,1.0,trade-day,PASS
2022-04-26,residual_max_abs,4.4944e-08,1.0,trade-day,PASS
2022-04-27,residual_max_abs,5.8659e-08,1.0,trade-day,PASS
2022-04-28,residual_max_abs,5.9605e-08,1.0,trade-day,PASS
2022-04-29,residual_max_abs,6.2864e-08,1.0,trade-day,PASS
2022-05-03,residual_max_abs,1.04774e-07,1.0,trade-day,PASS
2022-05-04,residual_max_abs,9.191e-08,1.0,trade-day,PASS
2022-05-05,residual_max_abs,1.60187e-07,1.0,trade-day,PASS
2022-05-06,residual_max_abs,9.5984e-08,1.0,trade-day,PASS
2022-05-09,residual_max_abs,5.3085e-08,1.0,trade-day,PASS
2022-05-10,residual_max_abs,1.06142e-07,1.0,trade-day,PASS
2022-05-11,residual_max_abs,7.0519e-08,1.0,trade-day,PASS
2022-05-12,residual_max_abs,6.0405e-08,1.0,trade-day,PASS
2022-05-13,residual_max_abs,6.3272e-08,1.0,trade-day,PASS
2022-05-16,residual_max_abs,1.2602e-07,1.0,trade-day,PASS
2022-05-17,residual_max_abs,3.654e-08,1.0,trade-day,PASS
2022-05-18,residual_max_abs,2.4273e-08,1.0,trade-day,PASS
2022-05-19,residual_max_abs,6.8685e-08,1.0,trade-day,PASS
2022-05-20,residual_max_abs,8.9174e-08,1.0,trade-day,PASS
2022-05-23,residual_max_abs,4.0047e-08,1.0,trade-day,PASS
2022-05-24,residual_max_abs,1.52329e-07,1.0,trade-day,PASS
2022-05-25,residual_max_abs,1.17288e-07,1.0,trade-day,PASS
2022-05-26,residual_max_abs,4.6333e-08,1.0,trade-day,PASS
2022-05-27,residual_max_abs,7.1712e-08,1.0,trade-day,PASS
2022-05-30,residual_max_abs,7.2934e-08,1.0,trade-day,PASS
2022-05-31,residual_max_abs,6.5425e-08,1.0,trade-day,PASS
2022-06-01,residual_max_abs,6.6124e-08,1.0,trade-day,PASS
2022-06-06,residual_max_abs,1.24157e-07,1.0,trade-day,PASS
2022-06-07,residual_max_abs,1.88156e-07,1.0,trade-day,PASS
2022-06-08,residual_max_abs,1.67871e-07,1.0,trade-day,PASS
2022-06-09,residual_max_abs,1.34554e-07,1.0,trade-day,PASS
2022-06-10,residual_max_abs,6.1933e-08,1.0,trade-day,PASS
2022-06-13,residual_max_abs,6.7055e-08,1.0,trade-day,PASS
2022-06-14,residual_max_abs,2.9162e-08,1.0,trade-day,PASS
2022-06-15,residual_max_abs,5.3667e-08,1.0,trade-day,PASS
2022-06-16,residual_max_abs,6.7987e-08,1.0,trade-day,PASS
2022-06-17,residual_max_abs,4.0629e-08,1.0,trade-day,PASS
2022-06-20,residual_max_abs,4.4005e-08,1.0,trade-day,PASS
2022-06-21,residual_max_abs,4.1444e-08,1.0,trade-day,PASS
2022-06-22,residual_max_abs,7.404e-08,1.0,trade-day,PASS
2022-06-23,residual_max_abs,2.3327e-08,1.0,trade-day,PASS
2022-06-24,residual_max_abs,6.007e-08,1.0,trade-day,PASS
2022-06-27,residual_max_abs,5.6287e-08,1.0,trade-day,PASS
2022-06-28,residual_max_abs,4.3306e-08,1.0,trade-day,PASS
2022-06-29,residual_max_abs,6.138e-08,1.0,trade-day,PASS
2022-06-30,residual_max_abs,1.0198e-07,1.0,trade-day,PASS
2022-07-01,residual_max_abs,3.2829e-08,1.0,trade-day,PASS
2022-07-04,residual_max_abs,6.4261e-08,1.0,trade-day,PASS
2022-07-05,residual_max_abs,9.08e-09,1.0,trade-day,PASS
2022-07-06,residual_max_abs,2.3982e-08,1.0,trade-day,PASS
2022-07-07,residual_max_abs,7.7533e-08,1.0,trade-day,PASS
2022-07-08,residual_max_abs,1.09547e-07,1.0,trade-day,PASS
2022-07-11,residual_max_abs,5.8673e-08,1.0,trade-day,PASS
2022-07-12,residual_max_abs,3.7136e-08,1.0,trade-day,PASS
2022-07-13,residual_max_abs,1.1882e-08,1.0,trade-day,PASS
2022-07-14,residual_max_abs,2.1129e-08,1.0,trade-day,PASS
2022-07-15,residual_max_abs,3.0152e-08,1.0,trade-day,PASS
2022-07-18,residual_max_abs,8.7137e-08,1.0,trade-day,PASS
2022-07-19,residual_max_abs,5.7742e-08,1.0,trade-day,PASS
2022-07-20,residual_max_abs,1.08499e-07,1.0,trade-day,PASS
2022-07-21,residual_max_abs,3.7253e-08,1.0,trade-day,PASS
2022-07-22,residual_max_abs,8.3528e-08,1.0,trade-day,PASS
2022-07-25,residual_max_abs,2.6252e-08,1.0,trade-day,PASS
2022-07-26,residual_max_abs,4.3772e-08,1.0,trade-day,PASS
2022-07-27,residual_max_abs,6.7055e-08,1.0,trade-day,PASS
2022-07-28,residual_max_abs,4.3074e-08,1.0,trade-day,PASS
2022-07-29,residual_max_abs,2.9133e-08,1.0,trade-day,PASS
2022-08-01,residual_max_abs,2.6252e-08,1.0,trade-day,PASS
2022-08-02,residual_max_abs,2.9395e-08,1.0,trade-day,PASS
2022-08-03,residual_max_abs,3.3193e-08,1.0,trade-day,PASS
2022-08-04,residual_max_abs,5.2038e-08,1.0,trade-day,PASS
2022-08-05,residual_max_abs,4.7425e-08,1.0,trade-day,PASS
2022-08-08,residual_max_abs,4.4354e-08,1.0,trade-day,PASS
2022-08-09,residual_max_abs,6.1977e-08,1.0,trade-day,PASS
2022-08-10,residual_max_abs,2.631e-08,1.0,trade-day,PASS
2022-08-11,residual_max_abs,3.2713e-08,1.0,trade-day,PASS
2022-08-12,residual_max_abs,1.2398e-08,1.0,trade-day,PASS
2022-08-15,residual_max_abs,1.7128e-08,1.0,trade-day,PASS
2022-08-16,residual_max_abs,2.794e-08,1.0,trade-day,PASS
2022-08-17,residual_max_abs,2.0984e-08,1.0,trade-day,PASS
2022-08-18,residual_max_abs,1.4887e-08,1.0,trade-day,PASS
2022-08-19,residual_max_abs,1.5716e-08,1.0,trade-day,PASS
2022-08-22,residual_max_abs,1.1874e-08,1.0,trade-day,PASS
2022-08-23,residual_max_abs,1.1409e-08,1.0,trade-day,PASS
2022-08-24,residual_max_abs,3.2654e-08,1.0,trade-day,PASS
2022-08-25,residual_max_abs,1.9209e-08,1.0,trade-day,PASS
2022-08-26,residual_max_abs,4.7148e-08,1.0,trade-day,PASS
2022-08-30,residual_max_abs,2.5728e-08,1.0,trade-day,PASS
2022-08-31,residual_max_abs,5.7626e-08,1.0,trade-day,PASS
2022-09-01,residual_max_abs,1.8743e-08,1.0,trade-day,PASS
2022-09-02,residual_max_abs,3.8068e-08,1.0,trade-day,PASS
2022-09-05,residual_max_abs,4.991e-09,1.0,trade-day,PASS
2022-09-06,residual_max_abs,2.9272e-08,1.0,trade-day,PASS
2022-09-07,residual_max_abs,2.9453e-08,1.0,trade-day,PASS
2022-09-08,residual_max_abs,9.234e-09,1.0,trade-day,PASS
2022-09-09,residual_max_abs,2.4203e-08,1.0,trade-day,PASS
2022-09-12,residual_max_abs,9.197e-09,1.0,trade-day,PASS
2022-09-13,residual_max_abs,5.8627e-08,1.0,trade-day,PASS
2022-09-14,residual_max_abs,1.051e-08,1.0,trade-day,PASS
2022-09-15,residual_max_abs,2.2755e-08,1.0,trade-day,PASS
2022-09-16,residual_max_abs,2.5058e-08,1.0,trade-day,PASS
2022-09-19,residual_max_abs,6.3468e-08,1.0,trade-day,PASS
2022-09-20,residual_max_abs,2.3545e-08,1.0,trade-day,PASS
2022-09-21,residual_max_abs,2.1217e-08,1.0,trade-day,PASS
2022-09-22,residual_max_abs,7.3895e-08,1.0,trade-day,PASS
2022-09-23,residual_max_abs,3.3615e-08,1.0,trade-day,PASS
2022-09-26,residual_max_abs,1.4661e-08,1.0,trade-day,PASS
2022-09-27,residual_max_abs,3.3499e-08,1.0,trade-day,PASS
2022-09-28,residual_max_abs,3.7896e-08,1.0,trade-day,PASS
2022-09-29,residual_max_abs,2.8039e-08,1.0,trade-day,PASS
2022-09-30,residual_max_abs,4.0294e-08,1.0,trade-day,PASS
2022-10-03,residual_max_abs,1.7346e-08,1.0,trade-day,PASS
2022-10-04,residual_max_abs,1.4072e-08,1.0,trade-day,PASS
2022-10-05,residual_max_abs,2.3155e-08,1.0,trade-day,PASS
2022-10-06,residual_max_abs,4.5533e-08,1.0,trade-day,PASS
2022-10-07,residual_max_abs,2.0375e-08,1.0,trade-day,PASS
2022-10-10,residual_max_abs,1.8164e-08,1.0,trade-day,PASS
2022-10-11,residual_max_abs,2.9577e-08,1.0,trade-day,PASS
2022-10-12,residual_max_abs,2.0627e-08,1.0,trade-day,PASS
2022-10-13,residual_max_abs,7.1486e-08,1.0,trade-day,PASS
2022-10-14,residual_max_abs,4.343e-08,1.0,trade-day,PASS
2022-10-17,residual_max_abs,4.482e-09,1.0,trade-day,PASS
2022-10-18,residual_max_abs,1.5181e-08,1.0,trade-day,PASS
2022-10-19,residual_max_abs,2.4269e-08,1.0,trade-day,PASS
2022-10-20,residual_max_abs,8.706e-09,1.0,trade-day,PASS
2022-10-21,residual_max_abs,1.0794e-08,1.0,trade-day,PASS
2022-10-24,residual_max_abs,1.4639e-08,1.0,trade-day,PASS
2022-10-25,residual_max_abs,0.0,1.0,trade-day,PASS
2022-10-26,residual_max_abs,0.0,1.0,trade-day,PASS
2022-10-27,residual_max_abs,0.0,1.0,trade-day,PASS
2022-10-28,residual_max_abs,0.0,1.0,trade-day,PASS
2022-10-31,residual_max_abs,0.0,1.0,trade-day,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T01,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T02,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T03,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T04,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T05,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T06,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T07,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T08,PASS
2022-10-31,terminal_mtm_abs,0.0,0.01,T09,PASS
2022-10-31,book_param_fallback,,,boe_lag_days = 1 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,claim_settle_lag_days = 30 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,final_invoice_lag_bdays = 5 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,lc_amount_tolerance_frac = 0.1 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,lc_presentation_period_days = 21 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,lc_sight_payment_lag_days = 7 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,mcx_slippage_ticks = 2 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,mcx_txn_cost_frac = 0.0003 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,book_param_fallback,,,survey_lag_days = 1 (ASSUMPTION; docs/design/30_position_model.md §14 (config/params/book.yaml not present)),INFO
2022-10-31,cashflow_reconciliation_vs_p2,,,not applicable — P3 writes trade_cashflows.csv (written_by=P3); no Phase 2 file to reconcile against,INFO
2022-10-31,sensitivity_base_repricing_vs_book,0.0,0.01,book cum P&L at HORIZON_END,PASS
2022-10-31,roll_carry_metal_component_max_abs,6.3061e-08,0.01,inr (PANEL_PROXY rolls),PASS
