case,family,mechanism,param_key,param_value,flag,trade_id,cum_pnl_horizon_inr,delta_vs_base_inr,pnl_inr_t,label
base,base,REPRICE_SALE,—,,—,T01,64283824.4329,0.0,25509.4541,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T03,29087405.6875,0.0,24239.5047,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T04,6482587.0796,0.0,5144.9104,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T06,8619094.2615,0.0,6630.0725,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T07,1441834.1281,0.0,762.8752,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T08,-9294227.214,0.0,-5532.2781,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,T09,10048450.2613,0.0,8373.7086,SENSITIVITY — not base P&L
base,base,REPRICE_SALE,—,,—,BOOK,194867858.3874,0.0,13579.6417,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T01,13686363.1204,-50597461.3125,5431.0965,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T03,4294766.5601,-24792639.1274,3578.9721,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T04,-19760888.8192,-26243475.8989,-15683.2451,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T06,-17258099.9385,-25877194.2,-13275.4615,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T07,-38266676.8741,-39708511.0022,-20246.919,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T08,-9294227.214,0.0,-5532.2781,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,T09,-15420426.8926,-25468877.154,-12850.3557,SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,BOOK,2179699.6925,-192688158.6949,151.8954,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T01,16986197.5538,-47297626.8791,6740.5546,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T03,5911677.8075,-23175727.88,4926.3982,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T04,-18049357.7824,-24531944.862,-14324.8871,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T06,-15570456.8385,-24189551.1,-11977.2745,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T07,-35676991.3739,-37118825.5021,-18876.715,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T08,-9294227.214,0.0,-5532.2781,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,T09,-13759413.1652,-23807863.4265,-11466.1776,SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,BOOK,14746318.7378,-180121539.6496,1027.618,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T01,64283824.4329,0.0,25509.4541,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T03,29087405.6875,0.0,24239.5047,SENSITIVITY — not base P&L
