case,family,mechanism,param_key,param_value,flag,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,cum_pnl_window_end_inr,cum_pnl_horizon_inr,delta_vs_base_inr,pnl_inr_t,book_pnl_positive,note,label
base,base,REPRICE_SALE,—,,—,165241602.34,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2496952.01,-56585658.25,198688705.7502,194867858.3874,0.0,13579.6417,True,"the published book, re-derived through the same rules (must reproduce it to the rupee)",SENSITIVITY — not base P&L
anchor_premium_-55000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-55000.0,ASSUMPTION,-26094314.3,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2414483.68,-58020368.63,6490992.3418,2179699.6925,-192688158.6949,151.8954,True,"the smelter netback, and therefore every typed sale price, moves with it",SENSITIVITY — not base P&L
anchor_premium_-52000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-52000.0,ASSUMPTION,-13615884.95,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2419862.05,-57926800.56,19025625.8249,14746318.7378,-180121539.6496,1027.618,True,"the smelter netback, and therefore every typed sale price, moves with it",SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,165241602.34,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2496952.01,-56585658.25,198688705.7502,194867858.3874,0.0,13579.6417,True,"the smelter netback, and therefore every typed sale price, moves with it",SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,256750084.21,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2536393.38,-55899492.42,290609351.2934,287023064.7198,92155206.3324,20001.6073,True,"the smelter netback, and therefore every typed sale price, moves with it",SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,181879508.13,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2504123.16,-56460900.83,215401550.3944,211623350.4479,16755492.0604,14747.2718,True,"conversion enters the netback x recovery, so the sale rule moves with it",SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,165241602.34,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2496952.01,-56585658.25,198688705.7502,194867858.3874,0.0,13579.6417,True,"conversion enters the netback x recovery, so the sale rule moves with it",SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,140284743.65,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2486195.27,-56772794.39,173619438.7839,169734620.2968,-25133238.0906,11828.1965,True,"conversion enters the netback x recovery, so the sale rule moves with it",SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,90371026.26,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2464681.79,-57147066.66,123480904.8513,119468144.1155,-75399714.2719,8325.3062,True,"conversion enters the netback x recovery, so the sale rule moves with it",SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,165241602.34,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2496952.01,-56585658.25,198688705.7502,194867858.3874,0.0,13579.6417,True,how much of the modelled arbitrage the desk keeps; 0.50 is the base rule,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,129041728.17,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2481417.65,-56861945.61,162327964.8167,158407231.206,-36460627.1814,11038.8314,True,how much of the modelled arbitrage the desk keeps; 0.50 is the base rule,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,107321803.66,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2472097.04,-57027718.03,140511520.2566,136530854.8971,-58337003.4903,9514.3453,True,how much of the modelled arbitrage the desk keeps; 0.50 is the base rule,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,92841853.99,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2465883.3,-57138232.97,125967223.8832,121946604.0246,-72921254.3629,8498.0212,True,how much of the modelled arbitrage the desk keeps; 0.50 is the base rule,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,139548832.97,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2485442.56,-56790418.69,172886137.5294,168981838.027,-25886020.3605,11775.7378,True,"a competitive import market pays a middleman a margin, not a share of the arb",SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,167573020.35,-29957988.27,0.0,103321077.41,1167793.17,14177984.0,-2497178.11,-56581730.12,201037485.7172,197202978.4284,2335120.041,13742.3678,True,"a competitive import market pays a middleman a margin, not a share of the arb",SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,156116144.55,-29957988.27,0.0,103321077.41,1167793.17,14121623.63,-2480593.34,-56743919.15,189422621.4748,185544138.0021,-9323720.3853,12929.9051,True,the registered band is 0-30 USD/t under parity; the book used 10-15,SENSITIVITY — not base P&L
purchase_discount_30,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),30.0,ASSUMPTION,178606629.89,-29957988.27,0.0,103321077.41,1167793.17,14280482.63,-2521850.68,-56360285.05,212253177.9235,208535859.0996,13668000.7121,14532.1156,True,the registered band is 0-30 USD/t under parity; the book used 10-15,SENSITIVITY — not base P&L
grade_mix_pit_repriced,grade_mix,REPRICE_BOTH,grade_factor_mix_pit,,ASSUMPTION,180805992.54,-15514232.55,0.0,-36796963.75,1167793.17,11033395.13,-3299902.25,-54687066.18,85317876.236,82709016.0956,-112158842.2918,5763.6945,True,the point-in-time mix re-prices BOTH legs and re-marks: the honest grade sensitivity,SENSITIVITY — not base P&L
grade_mix_pit_remark_only,grade_mix,REMARK_ONLY,grade_factor_mix_pit,,ASSUMPTION,293545386.84,-15573203.01,0.0,-36796963.75,1167793.17,9858332.14,-2244913.67,-55088573.32,198688705.7502,194867858.3874,0.0,13579.6417,True,"the published `_grade_pit` variant: marks move, typed prices do not (zero by design)",SENSITIVITY — not base P&L
