anchor,anchor_date,direction,role,week_end,lme_cash_usd_t,lme_cash_logret,n,mean,z_score,adj_mean,adj_z_score
MARCH_SPIKE_UP,2022-02-25,up,lead,2022-02-11,3200,0.0359511,0,,,,
MARCH_SPIKE_UP,2022-02-25,up,lead,2022-02-18,3314,0.0350051,0,,,,
MARCH_SPIKE_UP,2022-02-25,up,lead,2022-02-25,3355.5,0.0124449,17,0.0450765,,0.0668294,
MARCH_SPIKE_UP,2022-02-25,up,after,2022-03-04,3851,0.137732,16,-0.0243313,,0.127281,
MARCH_SPIKE_UP,2022-02-25,up,after,2022-03-11,3472,-0.103602,39,-0.092841,,0.00802308,
MARCH_SPIKE_UP,2022-02-25,up,after,2022-03-18,3380.5,-0.0267072,34,-0.105603,,-0.107268,
MARCH_TOP,2022-03-07,down,lead,2022-02-18,3314,0.0350051,0,,,,
MARCH_TOP,2022-03-07,down,lead,2022-02-25,3355.5,0.0124449,17,0.0450765,,0.0668294,
MARCH_TOP,2022-03-07,down,lead,2022-03-04,3851,0.137732,16,-0.0243313,,0.127281,
MARCH_TOP,2022-03-07,down,after,2022-03-11,3472,-0.103602,39,-0.092841,,0.00802308,
MARCH_TOP,2022-03-07,down,after,2022-03-18,3380.5,-0.0267072,34,-0.105603,,-0.107268,
MARCH_TOP,2022-03-07,down,after,2022-03-25,3583,0.0581768,26,0.0181885,0.900586,0.0593846,0.356755
CRASH_FORTNIGHT,2022-04-22,down,lead,2022-04-08,3395,-0.0255902,23,-0.11823,-1.34482,-0.0800174,-1.44789
CRASH_FORTNIGHT,2022-04-22,down,lead,2022-04-15,3237.5,-0.0475023,17,0.0681529,1.10332,0.131894,1.12247
CRASH_FORTNIGHT,2022-04-22,down,lead,2022-04-22,3244,0.00200571,29,0.0519655,0.770193,0.0623655,0.229625
CRASH_FORTNIGHT,2022-04-22,down,after,2022-04-29,3039,-0.0652786,25,0.007484,0.165403,0.048108,0.054611
CRASH_FORTNIGHT,2022-04-22,down,after,2022-05-06,2832.5,-0.0703688,18,0.113506,1.52168,0.141839,1.18759
CRASH_FORTNIGHT,2022-04-22,down,after,2022-05-13,2723,-0.0394255,17,-0.0894353,-1.16493,-0.0819059,-1.60831
JULY_TROUGH,2022-07-15,up,lead,2022-07-01,2384,-0.0215776,24,0.0744458,0.727484,0.0663375,0.347797
JULY_TROUGH,2022-07-15,up,lead,2022-07-08,2399.5,0.00648063,24,0.0625125,0.576783,0.08505,0.516649
JULY_TROUGH,2022-07-15,up,lead,2022-07-15,2320.5,-0.0334777,15,-0.0177933,-0.279211,0.00848667,-0.245385
JULY_TROUGH,2022-07-15,up,after,2022-07-22,2460,0.0583787,26,0.0715615,0.681688,0.03805,0.0557343
JULY_TROUGH,2022-07-15,up,after,2022-07-29,2452,-0.00325733,27,0.131022,1.3029,0.12053,0.898214
JULY_TROUGH,2022-07-15,up,after,2022-08-05,2447.5,-0.00183692,29,-0.00307931,-0.201967,0.0054069,-0.320121
