variant,variant_label,is_primary,lag_weeks,reading,n_pairs,pearson_r,pearson_p_naive,fisher_ci_lo,fisher_ci_hi,boot_ci_lo,boot_ci_hi,boot_ci_excludes_zero,boot_valid_draws,spearman_rho,spearman_p_naive,significant_naive_5pct,significant_bonferroni_7lags,n_boot,block_weeks
vader_all,"Raw VADER, all headlines (primary)",True,-3,LME leads sentiment by 3 weeks,25,-0.0430895,0.837953,-0.430884,0.358139,-0.331527,0.283089,False,10000,-0.198462,0.341599,False,False,10000,3
vader_all,"Raw VADER, all headlines (primary)",True,-2,LME leads sentiment by 2 weeks,26,-0.0688978,0.738054,-0.44439,0.327186,-0.619881,0.573088,False,10000,-0.0495726,0.809952,False,False,10000,3
vader_all,"Raw VADER, all headlines (primary)",True,-1,LME leads sentiment by 1 week,27,0.168798,0.399978,-0.225693,0.51573,-0.08722,0.555691,False,10000,0.233822,0.240458,False,False,10000,3
vader_all,"Raw VADER, all headlines (primary)",True,0,same week,28,-0.171723,0.382248,-0.511998,0.215137,-0.55562,0.260148,False,10000,-0.114395,0.562162,False,False,10000,3
vader_all,"Raw VADER, all headlines (primary)",True,1,sentiment leads LME by 1 week,27,-0.0071177,0.971892,-0.386087,0.373908,-0.344456,0.227538,False,10000,0.0842491,0.676093,False,False,10000,3
vader_all,"Raw VADER, all headlines (primary)",True,2,sentiment leads LME by 2 weeks,26,0.00707121,0.972651,-0.381325,0.393346,-0.44417,0.429735,False,10000,0.037265,0.856578,False,False,10000,3
vader_all,"Raw VADER, all headlines (primary)",True,3,sentiment leads LME by 3 weeks,25,-0.0844814,0.688052,-0.464119,0.321377,-0.299548,0.283985,False,10000,-0.156923,0.453794,False,False,10000,3
adjusted_all,"Price-direction adjusted, all headlines",False,-3,LME leads sentiment by 3 weeks,25,0.00666144,0.974789,-0.389495,0.400738,-0.314905,0.331494,False,10000,-0.176923,0.397536,False,False,10000,3
adjusted_all,"Price-direction adjusted, all headlines",False,-2,LME leads sentiment by 2 weeks,26,-0.032776,0.873709,-0.414861,0.359135,-0.681081,0.626751,False,10000,-0.0406838,0.843572,False,False,10000,3
adjusted_all,"Price-direction adjusted, all headlines",False,-1,LME leads sentiment by 1 week,27,0.286794,0.146952,-0.104622,0.601277,0.0821717,0.559467,True,10000,0.333333,0.0893047,False,False,10000,3
adjusted_all,"Price-direction adjusted, all headlines",False,0,same week,28,-0.0945539,0.632226,-0.451697,0.288707,-0.595579,0.357299,False,10000,-0.0388615,0.844349,False,False,10000,3
