word,group,vader_valence,adjusted_valence,action,n_headlines_hit
surge,up,,1.5,added,8
surges,up,,1.5,added,5
surged,up,,1.5,added,0
surging,up,,1.5,added,2
soar,up,,1.5,added,4
soars,up,,1.5,added,1
soared,up,,1.5,added,0
soaring,up,,1.5,added,4
jump,up,,1.5,added,6
jumps,up,,1.5,added,1
jumped,up,,1.5,added,0
rally,up,,1.5,added,2
rallies,up,,1.5,added,0
rallied,up,,1.5,added,0
rallying,up,,1.5,added,0
rise,up,,1.5,added,14
rises,up,,1.5,added,2
rose,up,,1.5,added,1
rising,up,,1.5,added,7
climb,up,,1.5,added,0
climbs,up,,1.5,added,0
climbed,up,,1.5,added,0
climbing,up,,1.5,added,0
rebound,up,,1.5,added,1
rebounds,up,,1.5,added,0
rebounded,up,,1.5,added,0
bullish,up,,1.5,added,0
deficit,up,-1.7,1.5,flipped,0
deficits,up,,1.5,added,0
shortage,up,-1,1.5,flipped,3
shortages,up,-0.6,1.5,flipped,0
tight,up,,1.5,added,1
tighter,up,,1.5,added,0
tightness,up,,1.5,added,0
slump,down,,-1.5,added,0
slumps,down,,-1.5,added,0
slumped,down,,-1.5,added,0
plunge,down,,-1.5,added,1
plunges,down,,-1.5,added,1
plunged,down,,-1.5,added,0
plunging,down,,-1.5,added,2
tumble,down,,-1.5,added,2
tumbles,down,,-1.5,added,1
tumbled,down,,-1.5,added,0
fall,down,,-1.5,added,8
falls,down,,-1.5,added,5
fell,down,,-1.5,added,1
slide,down,,-1.5,added,1
slides,down,,-1.5,added,4
slid,down,,-1.5,added,0
decline,down,,-1.5,added,1
declines,down,,-1.5,added,1
declined,down,,-1.5,added,0
declining,down,,-1.5,added,0
sink,down,,-1.5,added,0
sinks,down,,-1.5,added,1
sank,down,,-1.5,added,0
slip,down,,-1.5,added,0
slips,down,,-1.5,added,1
slipped,down,,-1.5,added,0
dip,down,,-1.5,added,0
dips,down,,-1.5,added,0
dipped,down,,-1.5,added,0
drops,down,,-1.5,added,2
dropped,down,,-1.5,added,0
crashes,down,,-1.5,added,0
crashed,down,,-1.5,added,1
plummet,down,,-1.5,added,0
plummets,down,,-1.5,added,0
plummeted,down,,-1.5,added,0
bearish,down,,-1.5,added,0
glut,down,,-1.5,added,0
gluts,down,,-1.5,added,0
surplus,down,,-1.5,added,0
surpluses,down,,-1.5,added,0
oversupply,down,,-1.5,added,0
slowdown,down,,-1.5,added,0
soften,down,,-1.5,added,1
softens,down,,-1.5,added,0
softened,down,,-1.5,added,0
softer,down,,-1.5,added,0
demand,neutral,-0.5,,removed,20
