week_end,week_start,in_window,n,mean,median,se,pos_share,neg_share,neutral_share,z_score,adj_mean,adj_median,adj_se,adj_pos_share,adj_neg_share,adj_neutral_share,adj_z_score,n_lexicon_hit,core_n,core_mean,core_adj_mean,n_cites_later_date,lme_close_date,lme_cash_usd_t,lme_cash_logret
2022-02-25,2022-02-19,False,17,0.0450765,0,0.0476734,0.294118,0.117647,0.588235,,0.0668294,0,0.0419303,0.352941,0.0588235,0.588235,,1,11,-0.00201818,0.0316,0,2022-02-25,3355.5,0.0124449
2022-03-04,2022-02-26,True,16,-0.0243313,0,0.068292,0.0625,0.1875,0.75,,0.127281,0.0258,0.0822026,0.5,0.125,0.375,,8,8,-0.106175,0.060525,0,2022-03-04,3851,0.137732
2022-03-11,2022-03-05,True,39,-0.092841,0,0.0529655,0.205128,0.410256,0.384615,,0.00802308,0,0.0639063,0.435897,0.358974,0.205128,,15,12,-0.155892,-0.1723,0,2022-03-11,3472,-0.103602
2022-03-18,2022-03-12,True,34,-0.105603,0,0.0642409,0.205882,0.382353,0.411765,,-0.107268,0,0.0710175,0.235294,0.411765,0.352941,,9,18,-0.0621056,-0.0542444,1,2022-03-18,3380.5,-0.0267072
2022-03-25,2022-03-19,True,26,0.0181885,0,0.0606101,0.346154,0.230769,0.423077,0.900586,0.0593846,0,0.0620352,0.423077,0.230769,0.346154,0.356755,6,13,-0.128146,-0.100362,0,2022-03-25,3583,0.0581768
2022-04-01,2022-03-26,True,19,0.102442,0,0.0627794,0.315789,0.105263,0.578947,2.02316,0.121453,0,0.0639239,0.368421,0.105263,0.526316,1.02909,1,9,0.222,0.222,0,2022-04-01,3483,-0.0283064
2022-04-08,2022-04-02,True,23,-0.11823,0,0.0647,0.173913,0.304348,0.521739,-1.34482,-0.0800174,0,0.0752246,0.26087,0.304348,0.434783,-1.44789,5,10,-0.21003,-0.18503,0,2022-04-08,3395,-0.0255902
2022-04-15,2022-04-09,True,17,0.0681529,0,0.0855927,0.235294,0.176471,0.588235,1.10332,0.131894,0,0.0892643,0.411765,0.176471,0.411765,1.12247,3,9,0.1449,0.1449,0,2022-04-14,3237.5,-0.0475023
2022-04-22,2022-04-16,True,29,0.0519655,0,0.0475985,0.275862,0.275862,0.448276,0.770193,0.0623655,0,0.0560554,0.344828,0.206897,0.448276,0.229625,6,14,0.109693,0.100893,1,2022-04-22,3244,0.00200571
2022-04-29,2022-04-23,True,25,0.007484,0,0.0745281,0.36,0.32,0.32,0.165403,0.048108,0,0.0752439,0.4,0.32,0.28,0.054611,3,11,0.0117727,0.0117727,0,2022-04-29,3039,-0.0652786
2022-05-06,2022-04-30,True,18,0.113506,0.11315,0.0942984,0.5,0.222222,0.277778,1.52168,0.141839,0.11315,0.0993161,0.5,0.222222,0.277778,1.18759,3,9,0.238056,0.265967,0,2022-05-06,2832.5,-0.0703688
2022-05-13,2022-05-07,True,17,-0.0894353,0,0.056368,0.117647,0.352941,0.529412,-1.16493,-0.0819059,0,0.0644752,0.176471,0.352941,0.470588,-1.60831,3,12,-0.151367,-0.1708,0,2022-05-13,2723,-0.0394255
2022-05-20,2022-05-14,True,14,-0.22855,0,0.0782868,0,0.428571,0.571429,-2.73609,-0.235821,-0.148,0.0724364,0,0.5,0.5,-3.12408,2,7,-0.232814,-0.232814,0,2022-05-20,2931,0.0736094
2022-05-27,2022-05-21,True,31,0.105813,0,0.0422447,0.354839,0.193548,0.451613,1.23762,0.0890032,0,0.0471662,0.322581,0.225806,0.451613,0.600534,6,16,0.0949563,0.102038,1,2022-05-27,2823,-0.0375435
2022-06-03,2022-05-28,True,25,0.16596,0,0.0558451,0.44,0.12,0.44,1.71608,0.19798,0,0.0555697,0.48,0.08,0.44,1.54849,4,13,0.281462,0.326115,1,2022-06-01,2701.5,-0.043993
2022-06-10,2022-06-04,True,26,-0.00487308,0,0.0577623,0.192308,0.230769,0.576923,-0.0566765,-0.0194962,0,0.0609048,0.192308,0.307692,0.5,-0.48165,3,16,0.00305625,0.00186875,1,2022-06-10,2695,-0.00240897
2022-06-17,2022-06-11,True,24,0.00800833,0,0.071804,0.25,0.25,0.5,0.0672839,-0.0213292,0,0.0767194,0.25,0.291667,0.458333,-0.47997,2,13,-0.0682308,-0.0682308,0,2022-06-17,2474,-0.0855619
2022-06-24,2022-06-18,True,12,0.0200333,0,0.0899677,0.416667,0.25,0.333333,0.183268,0.0136167,0,0.104358,0.416667,0.333333,0.25,-0.147243,2,4,-0.018975,-0.018975,1,2022-06-24,2436,-0.0154789
2022-07-01,2022-06-25,True,24,0.0744458,0,0.0575756,0.25,0.125,0.625,0.727484,0.0663375,0,0.0623129,0.25,0.166667,0.583333,0.347797,3,8,0.126175,0.126175,1,2022-07-01,2384,-0.0215776
2022-07-08,2022-07-02,True,24,0.0625125,0,0.0779943,0.375,0.166667,0.458333,0.576783,0.08505,0,0.0791929,0.416667,0.125,0.458333,0.516649,3,11,0.154945,0.187782,0,2022-07-08,2399.5,0.00648063
2022-07-15,2022-07-09,True,15,-0.0177933,0,0.105655,0.466667,0.466667,0.0666667,-0.279211,0.00848667,0.1027,0.109718,0.533333,0.4,0.0666667,-0.245385,3,8,-0.0975375,-0.0207625,0,2022-07-15,2320.5,-0.0334777
2022-07-22,2022-07-16,True,26,0.0715615,0,0.0505284,0.346154,0.153846,0.5,0.681688,0.03805,0,0.0557943,0.307692,0.269231,0.423077,0.0557343,5,17,0.0734,0.0510353,0,2022-07-22,2460,0.0583787
2022-07-29,2022-07-23,True,27,0.131022,0,0.0495942,0.407407,0.0740741,0.518519,1.3029,0.12053,0,0.0598143,0.407407,0.148148,0.444444,0.898214,4,13,0.157592,0.191369,0,2022-07-29,2452,-0.00325733
2022-08-05,2022-07-30,True,29,-0.00307931,0,0.0571709,0.172414,0.241379,0.586207,-0.201967,0.0054069,0,0.05638,0.172414,0.206897,0.62069,-0.320121,2,19,0.0306632,0.0374,0,2022-08-05,2447.5,-0.00183692
