contract_month,m1_expiry,m2_expiry,mcx_published_expiry,expiry_matches_published,roll_date,in_window,mcx_al_m1_inr_kg,mcx_al_m2_inr_kg,roll_spread_inr_kg,short_hedge_roll_yield_inr_t,short_hedge_roll_yield_1000mt_inr,lots_per_1000mt,mirror_date,mirror_m1_inr_kg,mirror_m2_inr_kg,mirror_short_hedge_roll_yield_1000mt_inr,lme_cash_usd_t,lme_3m_usd_t,lme_structure,roll_days,lme_equiv_carry_usd_t,lme_equiv_short_roll_yield_1000mt_inr,usdinr
2022-01,2022-01-31,2022-02-28,,,2022-01-20,False,250.7284,251.4259,0.6975,697.5,697500.0,200,2022-01-20,245.75,246.35,600000.0,3109.5,3082.0,BACKWARDATION,28,-8.9535,-666197.0,74.4064
2022-02,2022-02-28,2022-03-31,,,2022-02-17,False,267.795,268.6551,0.8601,860.1,860100.0,200,2022-02-17,261.55,263.0,1450000.0,3294.0,3241.0,BACKWARDATION,31,-19.3294,-1450021.0,75.0163
2022-03,2022-03-31,2022-04-29,2022-03-31,True,2022-03-22,True,292.8327,293.7113,0.8786,878.6,878600.0,200,2022-03-22,280.25,286.95,6700000.0,3550.5,3550.5,FLAT,29,0.0,0.0,76.1198
2022-04,2022-04-29,2022-05-31,2022-04-29,True,2022-04-20,True,267.8723,268.7933,0.921,921.0,921000.0,200,2022-04-20,269.3,271.3,2000000.0,3240.0,3250.0,CONTANGO,32,3.5955,274344.0,76.3018
2022-05,2022-05-31,2022-06-30,2022-05-31,True,2022-05-20,True,246.8141,247.7731,0.959,959.0,959000.0,200,2022-05-20,248.4,249.4,1000000.0,2931.0,2935.0,CONTANGO,30,1.3333,103573.0,77.6796
2022-06,2022-06-30,2022-07-29,2022-06-30,True,2022-06-21,True,213.348,214.2183,0.8703,870.3,870300.0,200,2022-06-21,216.6,215.55,-1050000.0,2519.5,2532.0,CONTANGO,29,4.0278,314675.0,78.1261
2022-07,2022-07-29,2022-08-31,2022-07-29,True,2022-07-20,True,213.0299,214.0517,1.0218,1021.8,1021800.0,200,2022-07-20,209.45,209.05,-400000.0,2456.5,2448.0,BACKWARDATION,33,-3.1167,-249355.0,80.0069
2022-08,2022-08-31,2022-09-30,2022-08-30,False,2022-08-19,True,205.8019,206.7546,0.9527,952.7,952700.0,200,2022-08-19,209.95,213.2,3250000.0,2376.0,2373.5,BACKWARDATION,30,-0.8333,-66556.0,79.8675
2022-09,2022-09-30,2022-10-31,2022-09-30,True,2022-09-21,False,189.7897,190.7217,0.932,932.0,932000.0,200,2022-09-21,193.55,198.95,5400000.0,2191.0,2218.0,CONTANGO,31,9.4045,751481.0,79.9066
2022-10,2022-10-31,2022-11-30,2022-10-31,True,2022-10-20,False,198.6733,199.698,1.0247,1024.7,1024700.0,200,2022-10-20,197.75,199.95,2200000.0,2214.0,2228.0,CONTANGO,30,4.7727,394892.0,82.7393
