week_end,value_date,in_window,lme_cash_usd_t,lme_3m_usd_t,lme_cash_3m_spread_usd_t,structure,cash_prompt_date,three_m_prompt_date,days_cash_to_3m,carry_3m_usd_t,carry_3m_pct_pa,usdinr,mplus1_month,mplus1_implied_avg_cash_usd_t,mplus1_implied_minus_3m_usd_t,structure_effect_buyer_usd_t,structure_effect_buyer_1000mt_usd,structure_effect_buyer_1000mt_inr,hindsight_realised_mplus1_avg_cash_usd_t,hindsight_price_move_vs_implied_usd_t,hindsight_effect_buyer_vs_3m_1000mt_inr,hindsight_n_fixing_days
2022-01-07,2022-01-07,False,2919.5,2932.0,-12.5,CONTANGO,2022-01-11,2022-04-07,86,12.5,0.01817172,74.33,2022-02,2924.8343,-7.1657,7.1657,7166.0,532626.0,3260.825,335.9907,-24441562.0,20
2022-01-14,2022-01-14,False,2977.5,2980.0,-2.5,CONTANGO,2022-01-18,2022-04-14,86,2.5,0.00356355,74.2068,2022-02,2978.3634,-1.6366,1.6366,1637.0,121449.0,3260.825,282.4616,-20839125.0,20
2022-01-21,2022-01-21,False,3079.5,3061.0,18.5,BACKWARDATION,2022-01-25,2022-04-21,86,-18.5,-0.02549682,74.3911,2022-02,3074.6169,13.6169,-13.6169,-13617.0,-1012973.0,3260.825,186.2081,-14865202.0,20
2022-01-28,2022-01-28,False,3110.0,3085.5,24.5,BACKWARDATION,2022-02-01,2022-04-28,86,-24.5,-0.03343491,75.0597,2022-02,3105.5273,20.0273,-20.0273,-20027.0,-1503245.0,3260.825,155.2977,-13159842.0,20
2022-02-04,2022-02-04,False,3087.0,3065.0,22.0,BACKWARDATION,2022-02-08,2022-05-04,85,-22.0,-0.03060272,74.7073,2022-03,3076.9621,11.9621,-11.9621,-11962.0,-893660.0,3537.8478,460.8857,-35325184.0,23
2022-02-11,2022-02-11,False,3200.0,3180.0,20.0,BACKWARDATION,2022-02-15,2022-05-11,85,-20.0,-0.02683824,75.198,2022-03,3192.5217,12.5217,-12.5217,-12522.0,-941610.0,3537.8478,345.3261,-26909441.0,23
2022-02-18,2022-02-18,False,3314.0,3265.0,49.0,BACKWARDATION,2022-02-22,2022-05-18,85,-49.0,-0.06349178,74.5574,2022-03,3299.7136,34.7136,-34.7136,-34714.0,-2588152.0,3537.8478,238.1343,-20342825.0,23
2022-02-25,2022-02-25,False,3355.5,3314.0,41.5,BACKWARDATION,2022-03-01,2022-05-25,85,-41.5,-0.05310859,75.2024,2022-03,3346.8179,32.8179,-32.8179,-32818.0,-2467985.0,3537.8478,191.0299,-16833894.0,23
2022-03-04,2022-03-04,True,3851.0,3820.0,31.0,BACKWARDATION,2022-03-08,2022-06-06,90,-31.0,-0.03264664,76.3431,2022-04,3836.6646,16.6646,-16.6646,-16665.0,-1272223.0,3256.5789,-580.0856,43013310.0,19
2022-03-11,2022-03-11,True,3472.0,3500.0,-28.0,CONTANGO,2022-03-15,2022-06-13,90,28.0,0.03270609,76.4217,2022-04,3482.7704,-17.2296,17.2296,17230.0,1316718.0,3256.5789,-226.1914,18602651.0,19
2022-03-18,2022-03-18,True,3380.5,3400.0,-19.5,CONTANGO,2022-03-22,2022-06-20,90,19.5,0.02339398,76.1106,2022-04,3386.4841,-13.5159,13.5159,13516.0,1028701.0,3256.5789,-129.9052,10915862.0,19
2022-03-25,2022-03-25,True,3583.0,3590.5,-7.5,CONTANGO,2022-03-29,2022-06-27,90,7.5,0.00848916,76.1893,2022-04,3584.7183,-5.7817,5.7817,5782.0,440507.0,3256.5789,-328.1393,25441211.0,19
2022-04-01,2022-04-01,True,3483.0,3499.0,-16.0,CONTANGO,2022-04-05,2022-07-01,87,16.0,0.01927259,75.9905,2022-05,3491.0334,-7.9666,7.9666,7967.0,605383.0,2826.3571,-664.6763,51114467.0,21
2022-04-08,2022-04-08,True,3395.0,3423.0,-28.0,CONTANGO,2022-04-12,2022-07-08,87,28.0,0.03460126,75.8577,2022-05,3406.8056,-16.1944,16.1944,16194.0,1228467.0,2826.3571,-580.4485,45259955.0,21
2022-04-15,2022-04-14,True,3237.5,3266.0,-28.5,CONTANGO,2022-04-18,2022-07-14,87,28.5,0.0369325,76.1298,2022-05,3247.5509,-18.4491,18.4491,18449.0,1404523.0,2826.3571,-421.1938,33469923.0,21
2022-04-22,2022-04-22,True,3244.0,3261.0,-17.0,CONTANGO,2022-04-26,2022-07-22,87,17.0,0.02198577,76.4485,2022-05,3248.4321,-12.5679,12.5679,12568.0,960799.0,2826.3571,-422.0749,33227794.0,21
2022-04-29,2022-04-29,True,3039.0,3044.0,-5.0,CONTANGO,2022-05-03,2022-07-29,87,5.0,0.0069026,76.5066,2022-05,3039.9013,-4.0987,4.0987,4099.0,313581.0,2826.3571,-213.5441,16651115.0,21
2022-05-06,2022-05-06,True,2832.5,2870.0,-37.5,CONTANGO,2022-05-10,2022-08-08,90,37.5,0.05369226,76.9139,2022-06,2848.9583,-21.0417,21.0417,21042.0,1618397.0,2562.925,-286.0333,23618336.0,20
2022-05-13,2022-05-13,True,2723.0,2750.0,-27.0,CONTANGO,2022-05-17,2022-08-15,90,27.0,0.040213,77.4497,2022-06,2732.75,-17.25,17.25,17250.0,1336007.0,2562.925,-169.825,14488903.0,20
2022-05-20,2022-05-20,True,2931.0,2935.0,-4.0,CONTANGO,2022-05-24,2022-08-22,90,4.0,0.00553471,77.6796,2022-06,2932.1333,-2.8667,2.8667,2867.0,222682.0,2562.925,-369.2083,28902637.0,20
2022-05-27,2022-05-27,True,2823.0,2847.0,-24.0,CONTANGO,2022-05-31,2022-08-29,90,24.0,0.03447869,77.5895,2022-06,2827.9333,-19.0667,19.0667,19067.0,1479373.0,2562.925,-265.0083,22041237.0,20
2022-06-03,2022-06-01,True,2701.5,2730.0,-28.5,CONTANGO,2022-06-03,2022-09-01,90,28.5,0.04278487,77.5308,2022-07,2715.946,-14.054,14.054,14054.0,1089615.0,2401.5714,-314.3746,25463330.0,21
2022-06-10,2022-06-10,True,2695.0,2710.0,-15.0,CONTANGO,2022-06-14,2022-09-12,90,15.0,0.02257267,77.8365,2022-07,2700.7698,-9.2302,9.2302,9230.0,718443.0,2401.5714,-299.1984,24007001.0,21
2022-06-17,2022-06-17,True,2474.0,2502.0,-28.0,CONTANGO,2022-06-21,2022-09-19,90,28.0,0.04589958,78.0765,2022-07,2482.5926,-19.4074,19.4074,19407.0,1515262.0,2401.5714,-81.0212,7841111.0,21
2022-06-24,2022-06-24,True,2436.0,2450.5,-14.5,CONTANGO,2022-06-28,2022-09-26,90,14.5,0.02414021,78.2958,2022-07,2439.322,-11.178,11.178,11178.0,875194.0,2401.5714,-37.7505,3830902.0,21
2022-07-01,2022-07-01,True,2384.0,2400.0,-16.0,CONTANGO,2022-07-05,2022-10-03,90,16.0,0.02721849,79.0165,2022-08,2391.8841,-8.1159,8.1159,8116.0,641293.0,2431.3182,39.4341,-2474653.0,22
2022-07-08,2022-07-08,True,2399.5,2414.5,-15.0,CONTANGO,2022-07-12,2022-10-10,90,15.0,0.0253525,79.2364,2022-08,2405.7246,-8.7754,8.7754,8775.0,695328.0,2431.3182,25.5935,-1332612.0,22
2022-07-15,2022-07-15,True,2320.5,2336.0,-15.5,CONTANGO,2022-07-19,2022-10-17,90,15.5,0.02708947,79.8449,2022-08,2325.7266,-10.2734,10.2734,10273.0,820281.0,2431.3182,105.5916,-7610671.0,22
2022-07-22,2022-07-22,True,2460.0,2457.5,2.5,BACKWARDATION,2022-07-26,2022-10-24,90,-2.5,-0.0041215,79.8665,2022-08,2459.3514,1.8514,-1.8514,-1851.0,-147869.0,2431.3182,-28.0333,2091050.0,22
2022-07-29,2022-07-29,True,2452.0,2438.0,14.0,BACKWARDATION,2022-08-02,2022-10-31,90,-14.0,-0.0231557,79.3116,2022-08,2449.457,11.457,-11.457,-11457.0,-908673.0,2431.3182,-18.1388,529946.0,22
2022-08-05,2022-08-05,True,2447.5,2441.0,6.5,BACKWARDATION,2022-08-09,2022-11-07,90,-6.5,-0.01077063,79.2015,2022-09,2444.5422,3.5422,-3.5422,-3542.0,-280545.0,2229.9091,-214.6331,16718717.0,22
2022-08-12,2022-08-12,True,2468.5,2466.0,2.5,BACKWARDATION,2022-08-16,2022-11-14,90,-2.5,-0.00410731,79.7214,2022-09,2467.5568,1.5568,-1.5568,-1557.0,-124112.0,2229.9091,-237.6477,18821498.0,22
2022-08-19,2022-08-19,True,2376.0,2373.5,2.5,BACKWARDATION,2022-08-23,2022-11-21,90,-2.5,-0.00426721,79.8675,2022-09,2375.2513,1.7513,-1.7513,-1751.0,-139869.0,2229.9091,-145.3422,11468247.0,22
2022-08-26,2022-08-26,True,2495.0,2485.5,9.5,BACKWARDATION,2022-08-30,2022-11-28,90,-9.5,-0.015442,79.8466,2022-09,2492.8937,7.3937,-7.3937,-7394.0,-590361.0,2229.9091,-262.9846,20408065.0,22
2022-09-02,2022-09-02,True,2309.0,2301.0,8.0,BACKWARDATION,2022-09-06,2022-12-02,87,-8.0,-0.01453582,79.8655,2022-10,2305.046,4.046,-4.046,-4046.0,-323134.0,2243.2857,-61.7603,4609380.0,21
2022-09-09,2022-09-09,False,2280.0,2290.0,-10.0,CONTANGO,2022-09-13,2022-12-09,87,10.0,0.01840089,79.5786,2022-10,2284.1379,-5.8621,5.8621,5862.0,466495.0,2243.2857,-40.8522,3717457.0,21
2022-09-16,2022-09-16,False,2259.0,2267.0,-8.0,CONTANGO,2022-09-20,2022-12-16,87,8.0,0.01485756,79.7272,2022-10,2261.6667,-5.3333,5.3333,5333.0,425212.0,2243.2857,-18.381,1890674.0,21
2022-09-23,2022-09-23,False,2153.0,2172.0,-19.0,CONTANGO,2022-09-27,2022-12-23,87,19.0,0.03702399,81.0647,2022-10,2157.8046,-14.1954,14.1954,14195.0,1150746.0,2243.2857,85.4811,-5778755.0,21
2022-09-30,2022-09-30,False,2180.0,2197.0,-17.0,CONTANGO,2022-10-04,2022-12-30,87,17.0,0.03271644,81.4783,2022-10,2182.931,-14.069,14.069,14069.0,1146315.0,2243.2857,60.3547,-3771281.0,21
2022-10-07,2022-10-07,False,2342.0,2345.5,-3.5,CONTANGO,2022-10-11,2023-01-09,90,3.5,0.00606082,82.215,2022-11,2343.4795,-2.0205,2.0205,2020.0,166112.0,2335.2727,-8.2068,840835.0,22
2022-10-14,2022-10-14,False,2309.0,2303.0,6.0,BACKWARDATION,2022-10-18,2023-01-16,90,-6.0,-0.01053847,82.2985,2022-11,2306.9303,3.9303,-3.9303,-3930.0,-323458.0,2335.2727,28.3424,-2655997.0,22
2022-10-21,2022-10-21,False,2155.5,2175.5,-20.0,CONTANGO,2022-10-25,2023-01-23,90,20.0,0.03762984,82.9794,2022-11,2160.8434,-14.6566,14.6566,14657.0,1216193.0,2335.2727,174.4293,-13257845.0,22
2022-10-28,2022-10-28,False,2226.0,2236.0,-10.0,CONTANGO,2022-11-01,2023-01-30,90,10.0,0.01821903,82.4606,2022-11,2227.8939,-8.1061,8.1061,8106.0,668431.0,2335.2727,107.3788,-8186089.0,22
