scenario,trade_id,leg_id,leg_type,cf_type,pnl_class,currency,contract_date,fixing_date,due_date_contractual,settle_date,amount_ccy,fx_rate_used,fx_rule,amount_inr,amount_inr_est_at_trade_date,date_rule,weakest_input_flag,event_ids,formula,label,written_by
PLANNED_AT_TRADE_DATE,T01,INSURANCE:L1,INSURANCE,INSURANCE,PNL,USD,2022-03-08,2022-03-29,2022-03-29,2022-03-29,-2260.48,77.2021,CIP forward to the settle date,-174514.09,-174514.09,roll following on the LME panel calendar,ASSUMPTION,,-insurance_rate x insured_value_uplift x cfr_value_usd,,P3
PLANNED_AT_TRADE_DATE,T01,INSURANCE:L2,INSURANCE,INSURANCE,PNL,USD,2022-03-08,2022-04-04,2022-04-04,2022-04-04,-2260.48,77.2453,CIP forward to the settle date,-174611.67,-174611.67,roll following on the LME panel calendar,ASSUMPTION,,-insurance_rate x insured_value_uplift x cfr_value_usd,,P3
PLANNED_AT_TRADE_DATE,T01,BILL_COMMISSION:L1,IMPORT_BILL_COMMISSION,IMPORT_BILL_COMMISSION,PNL,USD,2022-03-08,2022-04-05,2022-04-05,2022-04-05,-2358.72,77.2525,CIP forward to the settle date,-182216.99,-182216.99,roll following on the LME panel calendar,DIRECT,,-import_bill_commission_frac x bill_usd,,P3
PLANNED_AT_TRADE_DATE,T01,FX:T01-FX-1,FX_FORWARD,FX_FORWARD,PNL,INR,2022-03-08,2022-04-05,2022-04-05,2022-04-05,-196560.0,1.0,n/a (INR flow),-196560.0,-196560.0,roll following on the LME panel calendar,PROXY,,"sign x notional x (X(tau, value_date) - K)",,P3
PLANNED_AT_TRADE_DATE,T01,PURCHASE:L1,PURCHASE_INVOICE,PURCHASE_INVOICE,PNL,USD,2022-03-08,,2022-04-05,2022-04-05,-1965600.0,77.2525,CIP forward to the settle date,-151847494.06,-151847494.06,roll following on the LME panel calendar,SIM,,-q_bl x price_usd_t,,P3
PLANNED_AT_TRADE_DATE,T01,INSURANCE:L3,INSURANCE,INSURANCE,PNL,USD,2022-03-08,2022-04-07,2022-04-07,2022-04-07,-2260.48,77.2669,CIP forward to the settle date,-174660.45,-174660.45,roll following on the LME panel calendar,ASSUMPTION,,-insurance_rate x insured_value_uplift x cfr_value_usd,,P3
PLANNED_AT_TRADE_DATE,T01,BILL_COMMISSION:L2,IMPORT_BILL_COMMISSION,IMPORT_BILL_COMMISSION,PNL,USD,2022-03-08,2022-04-11,2022-04-11,2022-04-11,-2358.72,77.2957,CIP forward to the settle date,-182318.8,-182318.8,roll following on the LME panel calendar,DIRECT,,-import_bill_commission_frac x bill_usd,,P3
PLANNED_AT_TRADE_DATE,T01,FX:T01-FX-2,FX_FORWARD,FX_FORWARD,PNL,INR,2022-03-08,2022-04-11,2022-04-11,2022-04-11,-196560.0,1.0,n/a (INR flow),-196560.0,-196560.0,roll following on the LME panel calendar,PROXY,,"sign x notional x (X(tau, value_date) - K)",,P3
PLANNED_AT_TRADE_DATE,T01,PURCHASE:L2,PURCHASE_INVOICE,PURCHASE_INVOICE,PNL,USD,2022-03-08,,2022-04-11,2022-04-11,-1965600.0,77.2957,CIP forward to the settle date,-151932332.35,-151932332.35,roll following on the LME panel calendar,SIM,,-q_bl x price_usd_t,,P3
PLANNED_AT_TRADE_DATE,T01,BILL_COMMISSION:L3,IMPORT_BILL_COMMISSION,IMPORT_BILL_COMMISSION,PNL,USD,2022-03-08,2022-04-14,2022-04-14,2022-04-14,-2358.72,77.3172,CIP forward to the settle date,-182369.7,-182369.7,roll following on the LME panel calendar,DIRECT,,-import_bill_commission_frac x bill_usd,,P3
