trade_id,sale_id,buyer_id,contract_date,due_date,qty_mt,price_inr_t,invoice_value_inr,credit_value_inr,buyer_name,exposure_before_inr,exposure_after_inr,credit_limit_inr,utilisation_frac,within_limit
T02,S1,BUY_JNPT_01,2022-03-11,2022-05-30,1200.0,211744.31079999998,254093172.95999998,254093172.95999998,Taloja Alloys and Smelters Pvt Ltd (SIM),0.0,254093172.96,560000000.0,0.453738,True
T05,S1,BUY_MUN_01,2022-04-21,2022-08-08,2100.0,206347.4428,433329629.88,433329629.88,Kandla Metal Industries Pvt Ltd (SIM),0.0,433329629.88,650000000.0,0.666661,True
T01,S1,BUY_MUN_01,2022-04-25,2022-06-23,1680.0,201000.0,337680000.0,168840000.0,Kandla Metal Industries Pvt Ltd (SIM),433329629.88,602169629.88,650000000.0,0.926415,True
T03,S1,BUY_JNPT_01,2022-04-26,2022-06-08,1200.0,201250.0,241500000.0,241500000.0,Taloja Alloys and Smelters Pvt Ltd (SIM),254093172.96,495593172.96,560000000.0,0.884988,True
T01,S2,BUY_RJK_01,2022-05-09,2022-05-27,840.0,180500.0,151620000.0,0.0,Saurashtra Castings and Alloys Pvt Ltd (SIM),0.0,0.0,120000000.0,0.0,True
T04,S1,BUY_RJK_01,2022-05-24,2022-07-25,1260.0,194500.0,245070000.0,61267500.0,Saurashtra Castings and Alloys Pvt Ltd (SIM),0.0,61267500.0,120000000.0,0.510563,True
T06,S1,BUY_JNPT_01,2022-06-01,2022-08-08,1300.0,185250.0,240825000.0,240825000.0,Taloja Alloys and Smelters Pvt Ltd (SIM),241500000.0,482325000.0,560000000.0,0.861295,True
T07,S1,BUY_RJK_01,2022-07-26,2022-09-15,1890.0,165750.0,313267500.0,93980250.00000001,Saurashtra Castings and Alloys Pvt Ltd (SIM),0.0,93980250.0,120000000.0,0.783169,True
T08,S1,BUY_MUN_01,2022-08-09,2022-10-10,1680.0,167016.4288,280587600.384,280587600.384,Kandla Metal Industries Pvt Ltd (SIM),0.0,280587600.38,650000000.0,0.431673,True
T09,S1,BUY_JNPT_01,2022-08-26,2022-10-10,1200.0,168500.0,202200000.0,151650000.0,Taloja Alloys and Smelters Pvt Ltd (SIM),0.0,151650000.0,560000000.0,0.270804,True
