trade_id,instrument,hedge_id,decision_date,contract_month,direct_expiry,panel_expiry_slot,roll_deadline,direction,lots,lot_mt,position_mt,entry_date,exit_date,exit_reason,roll_to,entry_price_inr_kg,entry_price_src,exit_price_inr_kg,exit_price_src,contract_value_at_entry_inr,im_required_at_entry_inr,hedge_ratio_target,hedge_ratio_actual,open_lots_after_entry,exposure_inr_per_usd_t_at_entry,lme_eq_mt_at_entry,sizing_basis,notional_usd,booking_date,value_date,cancel_date,matched_leg,forward_mid_inr,bank_margin_inr,rate_inr,index_usd_box_at_fixture,fixture_vs_index_frac,basis_risk_note,weakest_input_flag
T01,MCX_ALUMINIUM_FUTURE,T01-MCX-1,2022-03-09,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,200,5.0,1000.0,2022-03-09,2022-04-20,ROLL,T01-MCX-3,294.405,PANEL_M2,267.8723,PANEL_M1,294405000.0,29440500.0,0.9,0.901208,300,138736.45,1664.432,"unsold 2,520 MT at replacement value x grade factor 0.696786; k = 79.0116 ₹/t per USD/t, one lot = 422.05 ₹ per USD/t",,,,,,,,,,,"MCX Aluminium is a primary-ingot contract priced at duty-paid import parity; the desk is long Zorba 95/5 scrap whose CFR price is a reconstructed percentage of LME 3M. The hedge covers the LME leg of the exposure and nothing else: if the Zorba discount narrows or widens, that lands in the grade-spread bucket, not in the hedge, and on this ticket it is the larger number of the two. Three further mismatches are carried knowingly — LME official cash is fixed at the London midday ring while MCX settles in the Indian evening; the duty-parity relationship can break, as it visibly did in the first week of March 2022; and the physical cargo's duty base runs on the CBIC notified rate while MCX's uplift runs on the market rate. In base runs the panel MCX series is itself a parity proxy, so the measured cross-exchange basis is zero by construction and only the third-party mirror run shows it. The line is split 200/100 lots from the outset because the cargo is expected to be sold in two parcels, and a tranche is lifted as each sale fixes its price. The hedge goes on the day AFTER the trade: the near-month contract moved 12.0 % on the trade date, past the 9 % maximum daily price limit (mcx_al_dpl_max_frac), so it would have been limit-locked and no short could have been filled. The desk carries one session of the cargo unhedged and says so rather than claiming a fill it could not have had.",PROXY
T01,MCX_ALUMINIUM_FUTURE,T01-MCX-2,2022-03-09,2022-04,2022-04-29,2022-04-29,2022-04-20,SELL,100,5.0,500.0,2022-03-09,2022-04-20,ROLL,T01-MCX-4,294.405,PANEL_M2,267.8723,PANEL_M1,147202500.0,14720250.0,0.9,0.901208,300,138736.45,1664.432,"unsold 2,520 MT at replacement value x grade factor 0.696786; k = 79.0116 ₹/t per USD/t, one lot = 422.05 ₹ per USD/t",,,,,,,,,,,"MCX Aluminium is a primary-ingot contract priced at duty-paid import parity; the desk is long Zorba 95/5 scrap whose CFR price is a reconstructed percentage of LME 3M. The hedge covers the LME leg of the exposure and nothing else: if the Zorba discount narrows or widens, that lands in the grade-spread bucket, not in the hedge, and on this ticket it is the larger number of the two. Three further mismatches are carried knowingly — LME official cash is fixed at the London midday ring while MCX settles in the Indian evening; the duty-parity relationship can break, as it visibly did in the first week of March 2022; and the physical cargo's duty base runs on the CBIC notified rate while MCX's uplift runs on the market rate. In base runs the panel MCX series is itself a parity proxy, so the measured cross-exchange basis is zero by construction and only the third-party mirror run shows it. The line is split 200/100 lots from the outset because the cargo is expected to be sold in two parcels, and a tranche is lifted as each sale fixes its price. The hedge goes on the day AFTER the trade: the near-month contract moved 12.0 % on the trade date, past the 9 % maximum daily price limit (mcx_al_dpl_max_frac), so it would have been limit-locked and no short could have been filled. The desk carries one session of the cargo unhedged and says so rather than claiming a fill it could not have had.",PROXY
T01,MCX_ALUMINIUM_FUTURE,T01-MCX-3,2022-04-20,2022-05,2022-05-31,2022-05-31,2022-05-20,SELL,200,5.0,1000.0,2022-04-20,2022-04-25,UNWIND,,268.7933,PANEL_M2,257.2341,PANEL_M2,268793300.0,26879330.0,0.9,,300,149426.25,1801.165,rolled: a roll keeps the position of the line it continues,,,,,,,,,,,"MCX Aluminium is a primary-ingot contract priced at duty-paid import parity; the desk is long Zorba 95/5 scrap whose CFR price is a reconstructed percentage of LME 3M. The hedge covers the LME leg of the exposure and nothing else: if the Zorba discount narrows or widens, that lands in the grade-spread bucket, not in the hedge, and on this ticket it is the larger number of the two. Three further mismatches are carried knowingly — LME official cash is fixed at the London midday ring while MCX settles in the Indian evening; the duty-parity relationship can break, as it visibly did in the first week of March 2022; and the physical cargo's duty base runs on the CBIC notified rate while MCX's uplift runs on the market rate. In base runs the panel MCX series is itself a parity proxy, so the measured cross-exchange basis is zero by construction and only the third-party mirror run shows it. The line is split 200/100 lots from the outset because the cargo is expected to be sold in two parcels, and a tranche is lifted as each sale fixes its price. The hedge goes on the day AFTER the trade: the near-month contract moved 12.0 % on the trade date, past the 9 % maximum daily price limit (mcx_al_dpl_max_frac), so it would have been limit-locked and no short could have been filled. The desk carries one session of the cargo unhedged and says so rather than claiming a fill it could not have had.",PROXY
T01,MCX_ALUMINIUM_FUTURE,T01-MCX-4,2022-04-20,2022-05,2022-05-31,2022-05-31,2022-05-20,SELL,100,5.0,500.0,2022-04-20,2022-05-09,UNWIND,,268.7933,PANEL_M2,227.58,PANEL_M1,134396650.0,13439665.0,0.9,,300,149426.25,1801.165,rolled: a roll keeps the position of the line it continues,,,,,,,,,,,"MCX Aluminium is a primary-ingot contract priced at duty-paid import parity; the desk is long Zorba 95/5 scrap whose CFR price is a reconstructed percentage of LME 3M. The hedge covers the LME leg of the exposure and nothing else: if the Zorba discount narrows or widens, that lands in the grade-spread bucket, not in the hedge, and on this ticket it is the larger number of the two. Three further mismatches are carried knowingly — LME official cash is fixed at the London midday ring while MCX settles in the Indian evening; the duty-parity relationship can break, as it visibly did in the first week of March 2022; and the physical cargo's duty base runs on the CBIC notified rate while MCX's uplift runs on the market rate. In base runs the panel MCX series is itself a parity proxy, so the measured cross-exchange basis is zero by construction and only the third-party mirror run shows it. The line is split 200/100 lots from the outset because the cargo is expected to be sold in two parcels, and a tranche is lifted as each sale fixes its price. The hedge goes on the day AFTER the trade: the near-month contract moved 12.0 % on the trade date, past the 9 % maximum daily price limit (mcx_al_dpl_max_frac), so it would have been limit-locked and no short could have been filled. The desk carries one session of the cargo unhedged and says so rather than claiming a fill it could not have had.",PROXY
T01,USDINR_FORWARD,T01-FX-1,2022-03-08,,,,,BUY_USD,,,,2022-03-08,2022-04-05,SETTLED_AT_VALUE_DATE,,,,,,152044054.06,,1.0,,,,,matched to PURCHASE_INVOICE; tenor 28 days from booking,1965600.0,2022-03-08,2022-04-05,,PURCHASE_INVOICE,77.25249,0.1,77.35249,,,"Deliverable outright against the LC/usance payment date. The forward mid is covered interest parity off the booking day's spot and 3-month rates (PROXY), so the hedge is exact against the panel and carries the panel's own FX proxy error, not a market quote.",PROXY
T01,USDINR_FORWARD,T01-FX-2,2022-03-08,,,,,BUY_USD,,,,2022-03-08,2022-04-11,SETTLED_AT_VALUE_DATE,,,,,,152128892.35,,1.0,,,,,matched to PURCHASE_INVOICE; tenor 34 days from booking,1965600.0,2022-03-08,2022-04-11,,PURCHASE_INVOICE,77.295651,0.1,77.395651,,,"Deliverable outright against the LC/usance payment date. The forward mid is covered interest parity off the booking day's spot and 3-month rates (PROXY), so the hedge is exact against the panel and carries the panel's own FX proxy error, not a market quote.",PROXY
T01,USDINR_FORWARD,T01-FX-3,2022-03-08,,,,,BUY_USD,,,,2022-03-08,2022-04-14,SETTLED_AT_VALUE_DATE,,,,,,152171307.62,,1.0,,,,,matched to PURCHASE_INVOICE; tenor 37 days from booking,1965600.0,2022-03-08,2022-04-14,,PURCHASE_INVOICE,77.31723,0.1,77.41723,,,"Deliverable outright against the LC/usance payment date. The forward mid is covered interest parity off the booking day's spot and 3-month rates (PROXY), so the hedge is exact against the panel and carries the panel's own FX proxy error, not a market quote.",PROXY
T01,USDINR_FORWARD,T01-FX-4,2022-03-18,,,,,BUY_USD,,,,2022-03-18,2022-05-16,SETTLED_AT_VALUE_DATE,,,,,,19952805.02,,1.0,,,,,matched to FREIGHT; tenor 59 days from booking,260400.0,2022-03-18,2022-05-16,,FREIGHT,76.523675,0.1,76.623675,,,"Deliverable outright against the LC/usance payment date. The forward mid is covered interest parity off the booking day's spot and 3-month rates (PROXY), so the hedge is exact against the panel and carries the panel's own FX proxy error, not a market quote.",PROXY
T01,FREIGHT_FIXTURE,T01-FRT-1,2022-03-18,,,,,BUY_SPACE,120,21.0,2520.0,2022-03-18,2022-05-17,COLLECT_AT_ARRIVAL,,,,,,19819200.24,,0.0,0.0,,,,"120 boxes fixed all-in; stop-loss 2,570 USD/FEU, book-by 2022-03-18",260400.0,2022-03-18,2022-05-17,,FREIGHT,,,,2127.09,0.020173,"Table 4 row 2.7(d): no accessible India-lane container derivative existed in 2022, so the freight layer is UNHEDGED with a stated stop-loss rather than a hedge. Once fixed, the box rate is a fixed payable and the only live freight exposure left is the difference against the later market, which is a competitiveness memo and not a loss on this cargo (a CFR-basis grade factor does not fall when freight falls). The lane index itself is an ASSUMPTION-level reconstruction and the fixture spread over it is an ASSUMPTION.",ASSUMPTION
T02,MCX_ALUMINIUM_FUTURE,T02-MCX-1,2022-03-11,2022-03,2022-03-31,2022-03-31,2022-03-22,SELL,74,5.0,370.0,2022-03-11,2022-03-22,ROLL,T02-MCX-2,287.8213,PANEL_M1,292.8327,PANEL_M1,106493881.0,10649388.1,1.0,0.988217,74,31037.92,374.412,"S1 MCX-average leg 1,200 MT x 0.916; purchase leg floating x factor 0.638; k = 78.8355 ₹/t per USD/t, one lot = 421.00 ₹ per USD/t",,,,,,,,,,,"Both legs float, but against different exchanges, different references and different months: the purchase settles on the LME official cash average for the month after shipment, the sale on the MCX near-month average over nine days in April. Until the sale prices, the desk is net long roughly a third of a tonne of LME-equivalent metal per tonne of scrap — the sale's recovery factor grossed up by duty parity (0.916 x 1.0825) less the purchase factor 0.638 — so the hedge starts short. Once the sale's average is behind us and the purchase's is not, the position is short the full purchase factor and the hedge flips long. What no hedge can cover here is the gap between MCX duty-paid primary parity and an LME-priced scrap cargo, nor the fact that the two averaging windows do not overlap at all; the desk treats an averaging leg as fully open before its window and closed after its midpoint trading day, which is an approximation and is the reason the flip is one decision rather than nine. In base runs the panel MCX series is a parity proxy, so the reported basis is zero by construction.",PROXY
