sample,method,date,position_date,var_inr,pnl_inr,shortfall_inr,loss_to_var_frac,sigma_lme_frac,sigma_fx_frac,lme_ret_frac,fx_ret_frac,pnl_lme_flat_inr,pnl_fx_inr,pnl_freight_inr,pnl_cross_exchange_basis_inr,largest_loss_bucket,label
book_window,garch,2022-04-07,2022-04-06,5891620.8,-6927543.01,1035922.21,1.17582975,0.01534372,0.00391782,-0.02872279,0.00204841,-6280990.54,-652464.44,5911.97,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,garch,2022-04-11,2022-04-08,6471056.32,-10646507.82,4175451.5,1.64525037,0.01741401,0.00362629,-0.0484294,0.00028602,-10599531.64,-46976.18,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,garch,2022-04-25,2022-04-22,3351623.13,-5455268.56,2103645.43,1.62764976,0.01717187,0.00326435,-0.04863605,0.0020607,-5584395.25,129126.69,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,garch,2022-05-03,2022-04-29,4676291.5,-6085707.6,1409416.1,1.30139612,0.01820856,0.00293312,-0.0428601,0.00100986,-6311154.83,225447.23,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,garch,2022-06-01,2022-05-31,2030485.96,-2728631.44,698145.48,1.34383172,0.01728248,0.00282637,-0.04168781,-0.00207187,-2880317.91,151686.47,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,garch,2022-06-13,2022-06-10,4349813.26,-5110200.45,760387.19,1.17480916,0.01868004,0.00270985,-0.0399334,0.00279683,-5481666.79,371466.34,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,garch,2022-07-28,2022-07-27,138756.49,-174693.98,35937.49,1.2589968,0.01508594,0.00277752,0.02784546,-0.00299245,-154371.72,-20322.26,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,hist250,2022-04-11,2022-04-08,7141857.49,-10646507.82,3504650.33,1.49071972,0.01929727,0.00291546,-0.0484294,0.00028602,-10599531.64,-46976.18,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,hist250,2022-04-25,2022-04-22,3817726.21,-5455268.56,1637542.35,1.42893132,0.01961746,0.00283668,-0.04863605,0.0020607,-5584395.25,129126.69,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,hist250,2022-05-03,2022-04-29,5060227.66,-6085707.6,1025479.94,1.2026549,0.01984488,0.00281759,-0.0428601,0.00100986,-6311154.83,225447.23,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
book_window,hist250,2022-06-01,2022-05-31,2363037.95,-2728631.44,365593.49,1.15471334,0.02017686,0.0028652,-0.04168781,-0.00207187,-2880317.91,151686.47,0.0,0.0,lme_flat,ACADEMIC SIMULATION — not actual trades
