sample,period,method,n,exceptions,expected,std_pnl_over_var_sigma,mean_var_inr,note
book_window,2022-03,garch,17,0,0.85,0.64348096,6512915.63,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-04,garch,19,3,0.95,1.06810699,6194953.65,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-05,garch,21,1,1.05,0.95504004,5364808.92,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-06,garch,20,2,1.0,1.16549222,3567668.4,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-07,garch,21,1,1.05,0.97340824,3237518.74,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-08,garch,22,0,1.1,0.94789616,1472161.73,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,ALL,garch,120,7,6.0,0.9829709,4273445.77,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-03,hist250,17,0,0.85,0.89847045,3768684.72,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-04,hist250,19,2,0.95,0.97521873,6131696.28,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-05,hist250,21,1,1.05,0.96568242,5014857.47,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-06,hist250,20,2,1.0,1.10232505,3649964.61,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-07,hist250,21,0,1.05,0.77635164,3894208.65,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-08,hist250,22,0,1.1,0.83386749,1693337.15,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,ALL,hist250,120,5,6.0,0.93280755,3982608.06,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-03,hist60,17,0,0.85,0.74330476,4768522.08,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-04,hist60,19,1,0.95,0.68211411,8803683.23,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-05,hist60,21,0,1.05,0.66810617,7282098.98,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-06,hist60,20,1,1.0,1.06497039,3903607.79,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-07,hist60,21,0,1.05,0.79904894,3804513.47,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,2022-08,hist60,22,0,1.1,0.97571786,1445077.07,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
book_window,ALL,hist60,120,2,6.0,0.84191668,4925146.41,"std_pnl_over_var_sigma = std of P&L / (VaR / 1.645): >1 VaR too tight, <1 too loose"
