date,in_window,position_date,lme_cash_usd_t_prev,usdinr_prev,exp_lme_inr,exp_lme_physical_inr,exp_lme_mcx_inr,exp_fx_inr,exp_fx_physical_forwards_inr,exp_fx_mcx_inr,exp_freight_inr,exp_spread_inr_per_usd_t,memo_customs_fx_delta_usd,lme_ret_frac,fx_ret_frac,position_held,position_date_mcx_exit_or_roll,sigma_lme_garch_frac,sigma_lme_hist250_frac,sigma_lme_hist60_frac,sigma_fx_garch_frac,sigma_fx_hist250_frac,sigma_fx_hist60_frac,sigma_freight_hist250_frac,sigma_spread_hist250_usd_t,corr_lme_fx,corr_lme_freight,corr_fx_freight,corr_lme_spread,corr_fx_spread,corr_freight_spread,var_garch_inr,var_garch_incl_spread_memo_inr,var_hist250_inr,var_hist250_incl_spread_memo_inr,var_hist60_inr,var_hist60_incl_spread_memo_inr,var_garch_lme_inr,var_garch_lme_physical_inr,var_garch_lme_mcx_inr,var_garch_fx_inr,var_garch_fx_physical_forwards_inr,var_garch_fx_mcx_inr,var_garch_mcx_beta_sensitivity_inr,var_garch_mcx_beta_weekly_sensitivity_inr,var_hist250_lme_inr,var_hist250_lme_physical_inr,var_hist250_lme_mcx_inr,var_hist250_fx_inr,var_hist250_fx_physical_forwards_inr,var_hist250_fx_mcx_inr,var_hist250_mcx_beta_sensitivity_inr,var_hist250_mcx_beta_weekly_sensitivity_inr,var_freight_hist250_inr,pnl_lme_flat_inr,pnl_cross_exchange_basis_inr,pnl_freight_inr,pnl_fx_inr,pnl_market_inr,memo_pnl_grade_spread_inr,memo_pnl_roll_term_structure_inr,memo_pnl_funding_carry_inr,memo_pnl_roll_ex_funding_inr,memo_pnl_broad_inr,memo_pnl_new_deal_inr,memo_pnl_demurrage_penalty_inr,daily_pnl_inr,exception_garch,exception_hist250,exception_hist60
2022-03-01,True,2022-02-28,3450.0,75.5014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131022,0.00268773,False,False,0.0300875,0.01624719,0.01848001,0.00457856,0.00304386,0.00318377,0.01499318,9.806,-0.03589995,-0.01430592,0.03244143,0.38472045,0.16284239,0.07453743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2022-03-02,True,2022-03-01,3495.5,75.7046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03084534,0.00117625,False,False,0.02792852,0.01623854,0.01854394,0.00436968,0.00304752,0.00319775,0.01498489,9.9662,-0.03562488,-0.0178385,0.03055551,0.3850606,0.16872708,0.07020261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2022-03-03,True,2022-03-02,3605.0,75.7937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03368424,0.00267474,False,False,0.02792486,0.01634869,0.01896362,0.00412512,0.0030361,0.0031928,0.01498489,9.9071,-0.03496009,-0.01871027,0.03136899,0.38504459,0.16112602,0.07157435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2022-03-04,True,2022-03-03,3728.5,75.9967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03232685,0.00454774,False,False,0.02835357,0.01645965,0.01931498,0.00397877,0.00303053,0.00317814,0.01504424,9.8484,-0.02309266,-0.03150538,0.02679259,0.36838083,0.16904912,0.07713912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2022-03-07,True,2022-03-04,3851.0,76.3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03407898,0.00762577,False,False,0.0284903,0.01658268,0.01972359,0.00400265,0.00302838,0.0032319,0.01504424,9.8529,-0.01545823,-0.03280276,0.02479477,0.36975431,0.1697855,0.07638239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2022-03-08,True,2022-03-07,3984.5,76.9275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12950602,0.00160412,False,False,0.0288763,0.01672029,0.02020826,0.00442447,0.00306654,0.00337816,0.01504424,9.893,0.00347238,-0.03374833,0.02287093,0.35430612,0.15256807,0.07679147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732880.85,0.0,1732880.85,False,False,False
2022-03-09,True,2022-03-08,3500.5,77.051,490187581.8,490187579.1,0.0,1668255.09,1668255.09,0.0,-21379344.93,-140033.59,843.13,0.00895847,-0.00591616,True,False,0.05396829,0.01861659,0.02622699,0.0041901,0.00304803,0.00337324,0.01503548,10.0954,-0.0088924,-0.02516099,0.01733724,0.40065895,0.14203429,0.07639201,43530334.54,42654385.99,15032834.26,14269072.5,21166299.89,20351861.86,43513924.94,43513924.7,0.0,11497.77,11497.77,0.0,43530334.3,43530334.3,15010312.47,15010312.39,0.0,8363.9,8363.9,0.0,15032834.18,15032834.18,528736.0,4411058.05,0.0,0.0,-25116.42,4385941.63,-1750705.95,-1689451.34,0.0,-1689451.34,2696490.29,-282437.24,0.0,663347.1,False,False,False
2022-03-10,True,2022-03-09,3532.0,76.5965,48277495.2,490017447.25,-441739953.93,-439150243.91,2589713.88,-441739957.79,-21253904.57,-138736.54,1160.49,0.00084902,-0.00345128,True,False,0.04930721,0.01861591,0.02625109,0.00433364,0.00307005,0.00345593,0.01503548,10.1224,-0.01112148,-0.02582472,0.01872418,0.40055075,0.13123323,0.07508211,5083970.06,5100708.2,2745199.96,3415142.53,3327913.7,3774799.5,3915456.78,39741956.95,35826500.32,3130353.73,18460.02,3148813.75,34524587.43,15790383.93,1478278.35,15004551.88,13526273.59,2217616.27,13077.51,2230693.78,13141734.03,6176668.98,525633.72,41005.79,0.0,227699.01,1517970.89,1786675.69,-1735963.13,-887264.59,-11567.4,-875697.19,910978.5,0.0,0.0,-836552.04,False,False,False
2022-03-11,True,2022-03-10,3535.0,76.3326,46645986.45,487060393.32,-440414428.44,-439787716.23,626703.62,-440414419.09,-20953812.44,-137782.29,442.55,-0.0179825,0.00116658,True,False,0.0449667,0.01856833,0.02612889,0.00421094,0.00307613,0.00348272,0.0150509,10.1318,-0.00839304,-0.02494937,0.02250444,0.40050832,0.12779778,0.07253911,4667772.43,4761873.16,2718910.25,3394611.57,3291018.83,3750651.58,3450106.59,36024755.86,32574650.87,3046133.57,4340.78,3050474.34,31331333.55,14293670.91,1424670.1,14875886.01,13451216.57,2225229.34,3170.98,2228400.32,13040913.93,6108837.18,518743.71,-831314.56,0.0,0.0,-515972.03,-1347286.59,-1695910.72,4475670.8,-11225.83,4486896.63,3139610.04,38922624.2,0.0,40355097.69,False,False,False
2022-03-14,True,2022-03-11,3472.0,76.4217,42241740.8,581793325.74,-539551573.07,-435875949.95,103675612.45,-539551562.4,-20975380.15,-93348.12,-75256.32,-0.02124953,0.00206142,True,False,0.04318645,0.01860086,0.02615603,0.00399518,0.00307673,0.00346998,0.0150509,10.3319,-0.01011488,-0.02442867,0.02211807,0.40517003,0.12136603,0.07310565,4218284.67,4204355.88,2635711.63,2961771.63,3155367.62,3348909.5,3000658.47,41327914.89,38327255.58,2864354.44,681303.25,3545657.69,36116538.36,15860103.39,1292415.37,17800370.45,16507954.72,2205868.57,524678.58,2730547.15,15655514.42,6996823.87,519277.65,-888147.55,0.0,0.0,-911082.07,-1799229.62,-5033252.98,-1221651.83,-35700.43,-1185951.4,-2985181.02,-1061573.82,0.0,-9115708.25,False,False,False
