series,dist,block,first_target,sample_end,n_obs,omega_pct2,alpha,beta,persistence,half_life_days,uncond_vol_daily_frac,nu,loglik,converged,boundary_fit
lme,normal,2018-12-22/2018-12-28,2018-12-28,2018-12-27,250,0.34278121,0.19819793,0.67195054,0.87014847,4.9834,0.01624744,,-450.46552916,True,False
lme,normal,2018-12-29/2019-01-04,2018-12-31,2018-12-28,251,0.34105104,0.19862364,0.67203037,0.87065401,5.0043,0.01623802,,-451.82684555,True,False
lme,normal,2019-01-05/2019-01-11,2019-01-07,2019-01-04,255,0.35963443,0.208248,0.66054728,0.86879528,4.9282,0.01655602,,-459.95283736,True,False
lme,normal,2019-01-12/2019-01-18,2019-01-14,2019-01-11,260,0.35334498,0.19866666,0.6668591,0.86552576,4.7996,0.01620988,,-467.8583924,True,False
lme,normal,2019-01-19/2019-01-25,2019-01-21,2019-01-18,265,0.35865885,0.20673365,0.66279832,0.86953196,4.9581,0.01658016,,-479.10344917,True,False
lme,normal,2019-01-26/2019-02-01,2019-01-28,2019-01-25,270,0.35884614,0.19983244,0.66405902,0.86389147,4.7376,0.01623721,,-487.16250939,True,False
lme,normal,2019-02-02/2019-02-08,2019-02-04,2019-02-01,275,0.35802893,0.20521395,0.65605747,0.86127142,4.6412,0.01606483,,-493.45813389,True,False
lme,normal,2019-02-09/2019-02-15,2019-02-11,2019-02-08,280,0.37160267,0.20169446,0.65531338,0.85700784,4.492,0.01612068,,-504.02792557,True,False
lme,normal,2019-02-16/2019-02-22,2019-02-18,2019-02-15,285,0.37106331,0.2083354,0.64598092,0.85431633,4.4022,0.01595947,,-510.20632584,True,False
lme,normal,2019-02-23/2019-03-01,2019-02-25,2019-02-22,290,0.37214174,0.213791,0.64087159,0.85466259,4.4136,0.01600168,,-517.57773287,True,False
lme,normal,2019-03-02/2019-03-08,2019-03-04,2019-03-01,295,0.36142424,0.20795082,0.64683539,0.85478621,4.4177,0.01577628,,-524.54398132,True,False
lme,normal,2019-03-09/2019-03-15,2019-03-11,2019-03-08,300,0.35531779,0.2045167,0.65031956,0.85483625,4.4193,0.01564514,,-531.87091101,True,False
lme,normal,2019-03-16/2019-03-22,2019-03-18,2019-03-15,305,0.34823195,0.20417885,0.65160812,0.85578697,4.4508,0.01553932,,-538.72336817,True,False
lme,normal,2019-03-23/2019-03-29,2019-03-25,2019-03-22,310,0.34853171,0.20335136,0.65218956,0.85554092,4.4426,0.01553276,,-546.91920219,True,False
lme,normal,2019-03-30/2019-04-05,2019-04-01,2019-03-29,315,0.3436026,0.19192356,0.66279288,0.85471644,4.4154,0.01537871,,-555.61162624,True,False
lme,normal,2019-04-06/2019-04-12,2019-04-08,2019-04-05,320,0.33997918,0.19140529,0.6622074,0.85361269,4.3793,0.01523963,,-562.51629066,True,False
lme,normal,2019-04-13/2019-04-19,2019-04-15,2019-04-12,325,0.3284594,0.20126494,0.65658843,0.85785337,4.5209,0.01520101,,-567.64462685,True,False
lme,normal,2019-04-20/2019-04-26,2019-04-23,2019-04-18,329,0.30932153,0.21100134,0.65623413,0.86723548,4.8661,0.01526385,,-571.30807947,True,False
lme,normal,2019-04-27/2019-05-03,2019-04-29,2019-04-26,333,0.29841294,0.21310819,0.65894215,0.87205035,5.0629,0.01527177,,-575.97947439,True,False
lme,normal,2019-05-04/2019-05-10,2019-05-07,2019-05-03,338,0.29986734,0.21007997,0.66058285,0.87066282,5.0047,0.0152266,,-584.13515987,True,False
lme,normal,2019-05-11/2019-05-17,2019-05-13,2019-05-10,342,0.29464459,0.21007801,0.66040439,0.8704824,4.9972,0.0150829,,-588.92389438,True,False
lme,normal,2019-05-18/2019-05-24,2019-05-20,2019-05-17,347,0.2969438,0.20904493,0.66049728,0.86954221,4.9585,0.01508697,,-597.03960551,True,False
lme,normal,2019-05-25/2019-05-31,2019-05-28,2019-05-24,352,0.2936544,0.20581323,0.66293253,0.86874576,4.9263,0.01495759,,-604.52259174,True,False
lme,normal,2019-06-01/2019-06-07,2019-06-03,2019-05-31,356,0.28886181,0.20843204,0.66067182,0.86910386,4.9407,0.01485531,,-608.99105952,True,False
lme,normal,2019-06-08/2019-06-14,2019-06-10,2019-06-07,361,0.28372837,0.21109478,0.66002602,0.87112081,5.0237,0.01483747,,-615.31606438,True,False
lme,normal,2019-06-15/2019-06-21,2019-06-17,2019-06-14,366,0.28262502,0.20629517,0.66354841,0.86984358,4.9709,0.01473576,,-623.00187849,True,False
lme,normal,2019-06-22/2019-06-28,2019-06-24,2019-06-21,371,0.28567762,0.20864543,0.66113404,0.86977948,4.9682,0.01481148,,-631.62960699,True,False
lme,normal,2019-06-29/2019-07-05,2019-07-01,2019-06-28,376,0.28310352,0.20361037,0.66483836,0.86844873,4.9143,0.01466983,,-639.67626938,True,False
lme,normal,2019-07-06/2019-07-12,2019-07-08,2019-07-05,381,0.28154823,0.20371576,0.66327523,0.86699099,4.8565,0.01454909,,-646.19827012,True,False
lme,normal,2019-07-13/2019-07-19,2019-07-15,2019-07-12,386,0.27691835,0.20151369,0.66575955,0.86727324,4.8676,0.0144443,,-652.58864926,True,False
