metric,scope,value,unit,note
book_days_with_position,book_window,120.0,count,2022-03-09 .. 2022-08-31
var_mean_garch,book_window,4273445.77,inr,
var_median_garch,book_window,3584856.52,inr,
var_max_garch,book_window,43530334.54,inr,on 2022-03-09
var_min_garch,book_window,24708.14,inr,on 2022-08-31
exceptions_garch,book_window,7.0,count,
var_mean_hist250,book_window,3982608.06,inr,
var_median_hist250,book_window,3315345.75,inr,
var_max_hist250,book_window,20851511.71,inr,on 2022-04-21
var_min_hist250,book_window,23511.53,inr,on 2022-08-31
exceptions_hist250,book_window,5.0,count,
var_mean_hist60,book_window,4925146.41,inr,
var_median_hist60,book_window,4008287.87,inr,
var_max_hist60,book_window,30063773.2,inr,on 2022-04-21
var_min_hist60,book_window,21543.71,inr,on 2022-08-31
exceptions_hist60,book_window,2.0,count,
days_garch_var_above_hist_base,book_window,53.0,count,
days_after_mcx_exit_or_roll,book_window,16.0,count,exposure on these days still carries the exiting MCX contract (docs/40 §7)
var_mean_garch_ex_mcx_exit_roll_days,book_window,3920972.16,inr,
var_mean_hist250_ex_mcx_exit_roll_days,book_window,3545879.71,inr,
var_mean_hist60_ex_mcx_exit_roll_days,book_window,4424363.27,inr,
ratio_mean_var_garch_to_hist_base,book_window,1.07302695,x,
realised_market_pnl_worst_day,book_window,-10646507.82,inr,on 2022-04-11
realised_market_pnl_std,book_window,2761097.17,inr,sample std of the backtest P&L; 1.645 x this is a no-model yardstick for the VaR level
realised_market_pnl_sum,book_window,-14561635.34,inr,"(a)+(b)+(d)+(e) over the backtest days; NOT the book P&L (which is ₹195.9 m at WINDOW_END, not sign-robust: −₹105.4 m .. +₹334.3 m across the registered anchor-premium grid)"
garch_var_lme_physical_plus_mcx_standalone_mean,book_window,36126363.36,inr,gross LME VaR if the MCX short did not offset the physical (both standalone)
garch_var_lme_net_mean,book_window,3947757.68,inr,
garch_var_fx_physical_forwards_standalone_mean,book_window,2340210.45,inr,
garch_var_fx_mcx_leg_standalone_mean,book_window,2614322.2,inr,
garch_var_fx_net_mean,book_window,1168603.26,inr,physical+forwards and the MCX leg's FX delta netted on one USD/INR factor (unit beta)
var_freight_hist250_mean,book_window,51384.16,inr,
var_freight_hist250_max,book_window,528736.0,inr,
garch_var_incl_spread_memo_mean,book_window,5027280.96,inr,
garch_var_mcx_beta_sensitivity_mean,book_window,17250339.18,inr,"SENSITIVITY, PESSIMISTIC END: MCX leg at the DAILY beta 0.452 + basis residual from R² 0.294 (mcx_basis_risk.csv); asynchronous MCX/LME closes bias a daily beta down (var_mcx_beta.csv)"
hist_base_var_mcx_beta_sensitivity_mean,book_window,16075925.84,inr,"SENSITIVITY, as above"
garch_var_mcx_beta_weekly_sensitivity_mean,book_window,8478145.81,inr,"SENSITIVITY, CENTRAL: MCX leg at the WEEKLY beta 0.752 + basis residual from weekly R² 0.903 (var_mcx_beta.csv)"
hist_base_var_mcx_beta_weekly_sensitivity_mean,book_window,7827810.7,inr,"SENSITIVITY, as above"
crash_fortnight_var_mean_garch,E1_CRASH_FORTNIGHT,5001759.39,inr,return days after 2022-04-22 .. 2022-05-09
crash_fortnight_exceptions_garch,E1_CRASH_FORTNIGHT,2.0,count,
crash_fortnight_var_mean_hist250,E1_CRASH_FORTNIGHT,4869383.98,inr,return days after 2022-04-22 .. 2022-05-09
crash_fortnight_exceptions_hist250,E1_CRASH_FORTNIGHT,2.0,count,
crash_fortnight_var_mean_hist60,E1_CRASH_FORTNIGHT,7100627.07,inr,return days after 2022-04-22 .. 2022-05-09
crash_fortnight_exceptions_hist60,E1_CRASH_FORTNIGHT,0.0,count,
crash_fortnight_market_pnl_sum,E1_CRASH_FORTNIGHT,-24741033.04,inr,
lme_return_2022_03_08,LME,-0.12950602,frac,the day after the all-time high (DIRECT)
sigma_lme_forecast_for_2022_03_08_garch,LME,0.0288763,frac,forecast made at the 2022-03-07 ATH close
z_of_2022_03_08_return_garch,LME,-4.4848552,sigma,
