date,lme_ret,sigma_lme_garch_frac,sigma_lme_hist250_frac,sigma_lme_hist60_frac,sigma_lme_garch_t_frac,nu_lme_garch_t,lme_garch_sample_end,lme_garch_boundary_fit,fx_ret,sigma_fx_garch_frac,sigma_fx_hist250_frac,sigma_fx_hist60_frac,sigma_fx_garch_t_frac,nu_fx_garch_t,fx_garch_sample_end,fx_garch_boundary_fit,sigma_freight_hist250_frac,sigma_spread_hist250_usd_t,corr_lme_fx,corr_lme_freight,corr_fx_freight,corr_lme_spread,corr_fx_spread,corr_freight_spread
2018-12-28,-0.00899715,0.01140729,0.0166137,0.01284865,0.01086644,5.21841382,2018-12-27,False,-0.0032357,0.00530944,0.00423625,0.00582339,0.00554617,4.57216187,2018-12-27,True,,8.8296,-0.09843508,,,0.41177089,-0.01506231,
2018-12-31,-0.00613253,0.01171911,0.01661809,0.01177996,0.01127234,5.26404134,2018-12-28,False,-0.00584933,0.00530673,0.00424117,0.00583827,0.00553724,4.59599276,2018-12-28,True,,8.8418,-0.09662875,,,0.40967397,-0.01785522,
2019-01-02,-0.00617038,0.01157022,0.0166197,0.01091174,0.01108907,5.26404134,2018-12-28,False,0.00784188,0.0053147,0.00425623,0.00587466,0.00554578,4.59599276,2018-12-28,True,,8.8373,-0.09476626,,,0.40942269,-0.01829445,
2019-01-03,-0.01764672,0.0114731,0.01660959,0.00908409,0.01097368,5.26404134,2018-12-28,False,-0.00042185,0.00532265,0.00428489,0.00595131,0.0055543,4.59599276,2018-12-28,True,,8.8652,-0.09710532,,,0.40883926,-0.02815689,
2019-01-04,0.0288858,0.01358008,0.01662742,0.0084322,0.0134955,5.26404134,2018-12-28,False,-0.00705532,0.0053306,0.00428278,0.00593019,0.0055628,4.59599276,2018-12-28,True,,8.8727,-0.09503747,,,0.41204195,-0.02810354,
2019-01-07,-0.01123908,0.01829481,0.01669784,0.00883341,0.01901079,5.31364064,2019-01-04,False,-0.00043364,0.00535754,0.00430114,0.00596968,0.00557944,4.77524983,2019-01-04,True,,8.9042,-0.10396964,,,0.41730002,-0.03649265,
2019-01-08,-0.01136683,0.01683312,0.01670675,0.00895037,0.01710435,5.31364064,2019-01-04,False,0.00738347,0.00536551,0.00429965,0.00596174,0.00558794,4.77524983,2019-01-04,True,,9.1411,-0.10254639,,,0.4146265,-0.03188139,
2019-01-09,0.00271813,0.01581261,0.01671204,0.00906428,0.01582023,5.31364064,2019-01-04,False,0.00355775,0.00537347,0.00432395,0.00603291,0.00559643,4.77524983,2019-01-04,True,,9.1481,-0.10677763,,,0.41541593,-0.03616753,
2019-01-10,0.00108519,0.01423603,0.01668076,0.00897265,0.01391601,5.31364064,2019-01-04,False,9.94e-06,0.00538141,0.00432892,0.00597986,0.0056049,4.77524983,2019-01-04,True,,9.1451,-0.10462272,,,0.41471737,-0.0349295,
2019-01-11,-0.01530084,0.0130414,0.01667711,0.0089088,0.01252015,5.31364064,2019-01-04,False,0.00198255,0.00538935,0.00432815,0.00596511,0.00561337,4.77524983,2019-01-04,True,,9.1539,-0.10411636,,,0.41411352,-0.03451123,
2019-01-14,-0.02255421,0.013959,0.01662877,0.00911714,0.01374901,5.33920997,2019-01-11,False,0.00416374,0.0053558,0.00429797,0.00594018,0.00556584,4.80394648,2019-01-11,True,,9.1762,-0.0954927,,,0.4151466,-0.03210958,
2019-01-15,0.01952098,0.01631976,0.01668416,0.0095674,0.016543,5.33920997,2019-01-11,False,0.00389899,0.00536361,0.00430441,0.00595742,0.00557415,4.80394648,2019-01-11,True,,9.2174,-0.09873412,,,0.41945001,-0.03664529,
2019-01-16,0.01589075,0.01698964,0.01669426,0.0098708,0.01724625,5.33920997,2019-01-11,False,0.00028826,0.00537141,0.00431079,0.00597855,0.00558244,4.80394648,2019-01-11,True,,9.2118,-0.09296453,,,0.41972786,-0.02993333,
2019-01-17,-0.01948737,0.01667298,0.01670158,0.01003582,0.01680484,5.33920997,2019-01-11,False,-0.00097339,0.0053792,0.00431082,0.00596046,0.00559072,4.80394648,2019-01-11,True,,9.2079,-0.0926032,,,0.42077572,-0.03017254,
2019-01-18,0.02571961,0.01720926,0.01673654,0.0102665,0.01739711,5.33920997,2019-01-11,False,0.00084404,0.00538698,0.0043107,0.00594982,0.00559899,4.80394648,2019-01-11,True,,9.2027,-0.09062991,,,0.41711001,-0.03029486,
2019-01-21,-0.00460269,0.0193126,0.01680429,0.01078424,0.01995734,5.73019158,2019-01-18,False,0.00161294,0.00533289,0.00430888,0.00595077,0.00552686,4.80066708,2019-01-18,True,,9.2653,-0.09095672,,,0.42395531,-0.02951795,
2019-01-22,0.01347729,0.01695446,0.01680666,0.01078304,0.01697451,5.73019158,2019-01-18,False,0.00209378,0.0053405,0.00430931,0.00591123,0.00553492,4.80066708,2019-01-18,True,,9.2743,-0.09103877,,,0.42417661,-0.0303416,
2019-01-23,0.00534047,0.01624624,0.01681718,0.01091432,0.01614084,5.73019158,2019-01-18,False,-0.00105125,0.0053481,0.00430948,0.00591403,0.00554296,4.80066708,2019-01-18,True,,9.3098,-0.08829796,,,0.42646767,-0.0276027,
2019-01-24,-0.01421507,0.01472078,0.01682056,0.01085733,0.01429466,5.73019158,2019-01-18,False,-0.00262735,0.00535569,0.00430976,0.00590679,0.005551,4.80066708,2019-01-18,True,,9.3518,-0.08877545,,,0.42228577,-0.02537617,
2019-01-25,0.00833899,0.01487513,0.01684028,0.01093699,0.01461602,5.73019158,2019-01-18,False,-0.00071314,0.00536327,0.00431285,0.00591612,0.00555902,4.80066708,2019-01-18,True,,9.3548,-0.08595953,,,0.42428844,-0.02403636,
2019-01-28,-0.00348853,0.01395895,0.01683655,0.01082936,0.01355699,5.77406409,2019-01-25,False,0.0010632,0.00529928,0.00431256,0.00590573,0.00548027,4.73260253,2019-01-25,True,,9.3356,-0.08621438,,,0.42735865,-0.02463201,
2019-01-29,-0.00377054,0.01295029,0.01683752,0.01083143,0.01236567,5.77406409,2019-01-25,False,0.00056068,0.00530667,0.00431225,0.0058749,0.00548807,4.73260253,2019-01-25,True,,9.3399,-0.08646152,,,0.42745007,-0.02497078,
2019-01-30,0.0096671,0.01225133,0.01683819,0.01079695,0.01157946,5.77406409,2019-01-25,False,-5.9e-05,0.00531405,0.0042882,0.00580119,0.00549587,4.73260253,2019-01-25,True,,9.3412,-0.08608059,,,0.42717372,-0.02513159,
2019-01-31,0.00506465,0.012419,0.01684688,0.01086168,0.01190107,5.77406409,2019-01-25,False,-0.00104017,0.00532143,0.00428807,0.00552162,0.00550365,4.73260253,2019-01-25,True,,9.3433,-0.08634207,,,0.42795833,-0.02528167,
2019-02-01,-0.00426326,0.01197619,0.01683356,0.01086862,0.01139379,5.77406409,2019-01-25,False,0.00252124,0.00532879,0.00428834,0.00540649,0.00551143,4.73260253,2019-01-25,True,,9.3468,-0.08666677,,,0.42689158,-0.02456639,
2019-02-04,-0.01750886,0.01146317,0.01683484,0.01086629,0.01084478,5.7119206,2019-02-01,False,0.00738655,0.00526193,0.00428804,0.00541211,0.00344784,4.54510617,2019-02-01,True,,9.3479,-0.08683205,,,0.42664068,-0.02438003,
2019-02-05,0.03024451,0.01359861,0.01686602,0.01109846,0.01357685,5.7119206,2019-02-01,False,-0.00235609,0.0052691,0.00431333,0.00543434,0.00390403,4.54510617,2019-02-01,True,,9.3611,-0.09299762,,,0.42892871,-0.02955416,
2019-02-06,-0.00528682,0.01856981,0.0169696,0.01164527,0.01944325,5.7119206,2019-02-01,False,-0.00095936,0.00527627,0.00431565,0.00544044,0.00383901,4.54510617,2019-02-01,True,,9.3606,-0.09696631,,,0.42822027,-0.03020176,
2019-02-07,-0.01280359,0.01636375,0.01695573,0.01163648,0.016576,5.7119206,2019-02-01,False,-0.00144427,0.00528342,0.00431536,0.00543915,0.00373635,4.54510617,2019-02-01,True,,9.3502,-0.09614909,,,0.42693026,-0.0297575,
2019-02-08,0.00134138,0.01565624,0.01697102,0.0115784,0.01566207,5.7119206,2019-02-01,False,-0.00280501,0.00529057,0.00431617,0.00539918,0.00365391,4.54510617,2019-02-01,True,,9.351,-0.09507749,,,0.42749367,-0.0291411,
2019-02-11,-0.00915708,0.01410006,0.01697029,0.01156402,0.0137192,5.69195197,2019-02-08,False,-0.00191,0.00525973,0.00431944,0.00539782,0.00377053,4.54169717,2019-02-08,True,,9.3351,-0.0954857,,,0.4278516,-0.03170969,
2019-02-12,-0.0040667,0.0135778,0.01697472,0.01161735,0.01316077,5.69195197,2019-02-08,False,-0.00692476,0.00526678,0.00431641,0.00536286,0.00371419,4.54169717,2019-02-08,True,,9.3266,-0.09299625,,,0.42620956,-0.02993274,
2019-02-13,-0.0002717,0.01270068,0.01695944,0.0115912,0.01214086,5.69195197,2019-02-08,False,0.00251787,0.00527381,0.00433578,0.00540537,0.00399773,4.54169717,2019-02-08,True,,9.3291,-0.08926141,,,0.42621668,-0.02633337,
2019-02-14,-0.0059962,0.01195333,0.01694326,0.01158949,0.01129607,5.69195197,2019-02-08,False,0.0049887,0.00528084,0.00432823,0.0054132,0.00394432,4.54169717,2019-02-08,True,,9.3077,-0.09241596,,,0.42450054,-0.03071213,
2019-02-15,-0.00027341,0.01174924,0.01680774,0.01161219,0.01115418,5.69195197,2019-02-08,False,0.00267843,0.00528785,0.0043396,0.00543436,0.00403085,4.54169717,2019-02-08,True,,9.087,-0.09451576,,,0.40854171,-0.0302431,
2019-02-18,-0.00328677,0.01112668,0.01679064,0.0115965,0.0104653,5.58370772,2019-02-15,False,0.00045948,0.00526787,0.0043056,0.00543712,0.00540917,4.79636479,2019-02-15,True,,9.1073,-0.08990484,,,0.40557279,-0.02645512,
2019-02-19,0.00601752,0.01092389,0.01673351,0.01154202,0.01029185,5.58370772,2019-02-15,False,0.00071542,0.00527481,0.00430508,0.00542703,0.00541641,4.79636479,2019-02-15,True,,9.0297,-0.09206285,,,0.39943601,-0.02964763,
2019-02-20,-0.002184,0.0110334,0.01673744,0.01156579,0.01050803,5.58370772,2019-02-15,False,-0.00417792,0.00528173,0.004294,0.00531021,0.00542364,4.79636479,2019-02-15,True,,9.0308,-0.09276759,,,0.39994908,-0.02873855,
